date,tmax,tmin,prec,rs,rh,u2_obs,eto
2013-01-01,30.74,22.6,2.28,21.19,80.05,1.11,4.509920407521245
2013-01-02,28.35,22.8,5.1,18.74,84.2,1.62,3.8495101025144276
2013-01-03,28.68,21.64,1.93,15.84,84.41,1.54,3.3814230398970064
2013-01-04,30.51,20.75,0.29,20.8,81.01,1.8,4.3104391082903035
2013-01-05,31.04,22.06,0.48,17.74,78.76,1.73,4.028836813224997
2013-01-06,32.1,22.6,0.22,21.61,74.05,1.38,4.887030365331601
2013-01-07,32.27,23.74,0.49,18.71,73.25,1.15,4.538045689819133
2013-01-08,30.0,24.38,8.63,19.28,82.48,1.47,4.171594716771004
2013-01-09,29.99,23.73,11.97,17.39,86.92,1.38,3.679347619236152
2013-01-10,29.26,22.89,6.49,16.23,86.89,1.7,3.426679422770738
2013-01-11,30.18,23.02,34.76,13.5,86.41,1.28,3.0699584498822774
2013-01-12,28.95,23.62,10.07,11.91,85.76,0.92,2.8195909102014256
2013-01-13,30.54,21.91,9.43,22.76,84.0,1.69,4.568338213386895
2013-01-14,28.89,23.06,14.28,15.59,88.1,1.36,3.272052783071805
2013-01-15,26.43,22.97,34.21,4.37,91.99,0.97,1.3416110778484436
2013-01-16,30.72,21.49,0.01,21.74,80.1,1.3,4.540575919658397
2013-01-17,31.03,22.73,3.3,19.31,79.33,1.05,4.281622055395162
2013-01-18,27.61,23.73,2.8,10.91,89.13,0.91,2.4874683682586385
2013-01-19,29.75,23.06,10.45,16.57,83.75,1.34,3.634536088241949
2013-01-20,28.94,20.73,0.88,15.3,76.94,1.47,3.572833039718008
2013-01-21,30.59,21.76,1.2,17.43,79.2,0.79,3.9325416864768536
2013-01-22,29.9,22.86,11.7,14.99,84.64,0.94,3.3577781603162644
2013-01-23,28.35,23.71,10.61,15.58,87.99,1.13,3.278298331796677
2013-01-24,28.57,23.46,28.86,7.12,84.86,0.73,2.112808306822837
2013-01-25,27.22,23.18,11.96,13.52,89.7,0.76,2.831930021026545
2013-01-26,26.56,23.39,7.09,19.77,88.95,0.96,3.7725275192402896
2013-01-27,29.57,22.76,10.49,18.65,88.38,1.1,3.7635715691429334
2013-01-28,31.06,23.66,5.17,14.45,82.16,1.01,3.4594198796198388
2013-01-29,30.52,23.85,3.57,12.13,83.43,1.02,3.022623861525325
2013-01-30,29.91,24.15,18.76,16.87,84.34,1.08,3.7174170707106455
2013-01-31,30.47,23.1,4.57,16.41,81.1,1.03,3.7569751089023944
2013-02-01,30.02,23.57,4.16,15.91,82.91,1.29,3.604648338194943
2013-02-02,29.27,23.35,9.33,12.87,84.55,0.82,3.0269911532540856
2013-02-03,28.56,23.23,27.6,18.98,90.92,1.42,3.6895543343627
2013-02-04,31.21,22.26,4.07,20.62,81.49,0.67,4.404025367777571
2013-02-05,28.69,23.89,3.2,10.19,89.83,0.78,2.3875185998925503
2013-02-06,28.95,23.64,7.26,16.2,84.98,1.3,3.5197534437927582
2013-02-07,26.9,22.55,19.44,15.92,90.8,1.51,3.116621895712219
2013-02-08,25.65,22.63,3.71,20.78,91.34,1.41,3.7533609234260217
2013-02-09,30.42,21.41,7.11,15.73,81.9,1.01,3.5566840772927484
2013-02-10,30.05,22.88,3.08,17.68,85.52,1.26,3.755937844012204
2013-02-11,30.61,22.67,16.07,14.58,83.39,1.09,3.3770688765630132
2013-02-12,29.8,23.2,16.59,19.49,89.4,1.54,3.8971921993932637
2013-02-13,27.25,21.98,23.06,16.85,89.33,1.76,3.3034131680825274
2013-02-14,29.14,21.61,1.74,21.22,85.58,1.45,4.179825481951462
2013-02-15,30.5,21.94,0.4,21.77,82.46,1.13,4.482916359077275
2013-02-16,27.69,23.13,10.88,18.06,88.93,1.32,3.571408751548328
2013-02-17,29.08,21.91,4.17,21.85,84.99,1.52,4.306469471030877
2013-02-18,29.35,22.84,2.46,21.74,85.71,1.17,4.332934391322861
2013-02-19,28.93,22.58,4.0,15.65,86.7,1.32,3.3278779744980955
2013-02-20,29.69,22.56,5.2,15.59,86.33,1.43,3.3690700281916395
2013-02-21,28.65,23.2,0.68,21.28,88.12,1.35,4.151469670018761
2013-02-22,29.93,23.32,0.01,20.64,85.43,1.0,4.2352770530086525
2013-02-23,30.26,22.95,0.35,22.3,82.93,1.04,4.583950858613078
2013-02-24,30.97,23.0,0.89,19.93,83.99,1.11,4.226848044631714
2013-02-25,27.98,23.99,3.35,16.71,89.57,0.79,3.3919309620897122
2013-02-26,29.03,23.21,2.72,18.09,85.49,0.96,3.7769198591644177
2013-02-27,29.36,23.34,7.29,17.63,86.05,1.25,3.708823834762899
2013-02-28,30.68,23.29,4.79,18.05,84.01,1.4,3.923337776986617
2013-03-01,29.03,23.9,0.37,20.42,86.43,1.45,4.135567318173145
2013-03-02,31.05,23.29,1.86,20.27,81.94,1.6,4.371747132208066
2013-03-03,28.58,23.88,2.23,16.64,87.27,0.98,3.490250869807406
2013-03-04,30.75,23.43,0.21,21.01,81.31,1.17,4.495544186154323
2013-03-05,28.28,24.63,0.21,18.26,87.87,1.05,3.73700462224438
2013-03-06,28.76,23.02,3.74,18.03,87.9,1.25,3.651341648106077
2013-03-07,29.37,23.15,1.64,18.85,86.07,1.51,3.8845004886992385
2013-03-08,31.18,22.38,0.63,17.67,83.16,1.05,3.881453790548594
2013-03-09,31.58,22.71,0.95,20.68,80.2,1.24,4.501138627367459
2013-03-10,32.09,23.29,0.17,18.5,81.46,1.64,4.171112158959032
2013-03-11,30.91,24.02,6.76,17.13,84.14,1.48,3.810232635596648
2013-03-12,30.25,23.1,20.59,18.34,87.36,1.37,3.8020920219090146
2013-03-13,30.84,24.07,2.34,17.44,84.34,1.38,3.848637245058441
2013-03-14,28.32,24.0,0.23,21.41,89.34,1.06,4.137669808690393
2013-03-15,31.13,23.45,0.48,17.85,86.09,0.94,3.8354644203259047
2013-03-16,27.71,24.29,6.54,18.13,90.69,1.39,3.5579186983031583
2013-03-17,30.02,23.16,9.2,17.16,86.49,1.46,3.6340008420826444
2013-03-18,28.36,22.56,37.28,13.68,86.63,0.75,2.9924675008392114
2013-03-19,25.33,23.25,31.37,13.99,93.39,1.36,2.681863167426101
2013-03-20,27.96,22.4,18.72,18.73,85.75,0.73,3.746863782523806
2013-03-21,30.31,22.49,8.68,16.09,85.7,0.95,3.481330761972347
2013-03-22,30.01,22.89,9.38,19.5,84.89,1.49,4.036869436714223
2013-03-23,30.38,23.23,1.81,16.39,82.46,0.88,3.6828122779765398
2013-03-24,26.11,22.94,8.81,13.03,93.65,1.42,2.5428613288400954
2013-03-25,28.27,22.19,5.17,9.59,88.02,1.63,2.30541725816507
2013-03-26,29.94,22.29,9.45,20.55,85.56,1.3,4.133153590589691
2013-03-27,31.03,22.36,3.29,21.8,84.44,1.36,4.442045587241624
2013-03-28,29.05,23.27,2.66,19.31,84.74,1.29,3.9620192366281173
2013-03-29,30.49,22.99,29.81,15.25,87.43,1.07,3.3005520828795825
2013-03-30,26.62,23.2,36.38,16.86,93.79,1.57,3.129777456213789
2013-03-31,30.4,22.34,7.27,19.18,82.86,0.96,4.043544514266001
2013-04-01,31.64,23.27,3.49,21.29,82.48,1.53,4.512158786742846
2013-04-02,30.89,23.1,1.24,19.99,83.86,1.53,4.196587940172706
2013-04-03,31.37,22.23,1.09,20.13,83.77,1.4,4.209343249684289
2013-04-04,30.35,23.44,5.23,18.75,85.69,1.39,3.915177083558711
2013-04-05,27.94,24.1,9.11,17.68,89.4,1.36,3.5077623041000208
2013-04-06,28.04,23.0,6.31,18.79,88.66,1.1,3.653779017562047
2013-04-07,30.03,22.92,1.91,17.57,82.57,1.0,3.799229831835572
2013-04-08,31.4,22.94,0.96,21.06,79.33,0.88,4.53393451768953
2013-04-09,30.65,23.92,4.1,20.67,81.86,0.91,4.381372023474593
2013-04-10,28.8,23.52,13.39,16.32,89.2,1.81,3.315829600372129
2013-04-11,28.52,22.84,7.42,17.7,90.11,1.22,3.446207390309681
2013-04-12,31.12,22.63,0.42,23.66,84.79,1.5,4.7003371659918765
2013-04-13,31.59,23.31,4.62,19.99,84.07,1.21,4.2210117141519925
2013-04-14,31.62,23.8,1.63,21.18,83.52,1.59,4.452861798983173
2013-04-15,31.86,22.89,0.61,20.65,81.62,1.25,4.403154258859217
2013-04-16,30.38,23.35,1.92,16.88,87.35,1.49,3.5343826203994513
2013-04-17,28.58,23.04,12.23,16.1,87.86,1.08,3.287027408383424
