Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2015	23.74	34.78	1.01	5.5588
2	1	2015	24.06	35.90	0.34	5.2469
3	1	2015	24.64	34.85	5.21	5.6915
4	1	2015	24.64	30.15	8.25	4.1960
5	1	2015	24.00	32.22	0.38	5.2618
6	1	2015	21.97	34.84	3.01	5.6792
7	1	2015	22.98	34.00	3.75	3.9787
8	1	2015	23.74	33.00	1.12	4.7269
9	1	2015	23.62	34.40	12.43	5.6088
10	1	2015	23.65	31.57	3.38	4.2182
11	1	2015	23.11	32.19	0.05	4.4500
12	1	2015	24.27	30.98	1.94	4.2649
13	1	2015	23.54	29.43	2.35	4.3397
14	1	2015	22.63	29.40	12.69	3.2748
15	1	2015	23.10	30.12	4.74	4.0428
16	1	2015	23.25	28.03	1.42	2.9271
17	1	2015	22.55	30.43	0.68	3.2723
18	1	2015	22.75	28.11	2.76	3.3656
19	1	2015	22.63	27.90	4.50	2.5583
20	1	2015	22.36	28.59	13.92	3.0414
21	1	2015	21.59	28.41	5.75	3.6136
22	1	2015	22.22	30.26	0.96	4.0208
23	1	2015	21.62	30.76	9.78	3.3421
24	1	2015	22.73	27.35	28.34	3.3062
25	1	2015	21.77	28.48	7.08	3.0227
26	1	2015	21.44	29.66	3.25	4.0736
27	1	2015	21.84	30.66	0.42	4.8027
28	1	2015	20.94	31.92	0.18	5.1274
29	1	2015	22.30	31.55	0.03	4.8369
30	1	2015	22.41	32.23	0.00	5.2531
31	1	2015	23.70	29.13	1.96	4.2287
1	2	2015	22.89	28.08	2.81	2.2864
2	2	2015	22.93	29.64	0.31	3.1597
3	2	2015	22.52	30.68	0.19	4.9061
4	2	2015	21.99	31.27	1.82	3.7739
5	2	2015	22.53	31.08	4.71	3.9508
6	2	2015	21.88	32.62	5.06	4.2035
7	2	2015	23.69	28.18	6.82	2.9821
8	2	2015	22.42	31.70	0.22	3.9339
9	2	2015	23.07	32.00	15.52	4.8550
10	2	2015	23.59	29.99	7.31	2.5192
11	2	2015	22.65	31.27	0.45	3.9971
12	2	2015	23.79	29.59	0.01	3.8803
13	2	2015	22.47	31.88	4.37	4.6964
14	2	2015	22.86	28.57	5.88	4.0923
15	2	2015	22.37	30.42	1.04	3.8861
16	2	2015	22.79	30.17	10.97	3.7004
17	2	2015	23.22	30.67	6.30	4.2413
18	2	2015	23.25	28.64	6.08	3.0307
19	2	2015	22.83	28.48	3.74	3.5504
20	2	2015	22.17	26.50	13.51	2.9772
21	2	2015	21.66	28.49	10.91	3.6715
22	2	2015	21.49	27.52	4.05	2.6789
23	2	2015	21.16	29.58	4.75	4.1776
24	2	2015	21.72	29.19	7.77	3.6349
25	2	2015	21.25	31.01	0.29	4.4990
26	2	2015	22.95	27.97	3.12	3.8711
27	2	2015	22.77	29.33	1.33	3.8171
28	2	2015	21.66	29.16	8.04	4.0779
1	3	2015	21.76	28.38	1.15	4.2804
2	3	2015	22.19	30.32	2.14	3.9382
3	3	2015	22.25	27.79	7.23	3.4057
4	3	2015	21.38	27.86	1.25	3.1826
5	3	2015	22.13	28.75	1.60	3.1278
6	3	2015	21.71	29.83	3.76	3.5971
7	3	2015	23.10	27.38	5.20	3.2886
8	3	2015	22.62	30.58	4.41	4.4770
9	3	2015	22.28	31.01	1.63	4.1525
10	3	2015	22.23	31.45	2.80	3.9616
11	3	2015	23.22	30.15	3.49	4.0152
12	3	2015	22.88	30.74	0.60	3.8534
13	3	2015	23.49	31.62	4.27	4.5049
14	3	2015	23.66	30.11	3.74	3.2392
15	3	2015	23.45	31.68	0.27	4.7569
16	3	2015	24.34	31.51	0.29	4.1312
17	3	2015	23.93	28.76	5.71	2.6485
18	3	2015	23.06	30.10	1.52	3.4899
19	3	2015	22.58	26.70	13.28	3.4355
20	3	2015	22.08	28.72	24.83	1.6978
21	3	2015	22.37	29.14	12.01	3.6635
22	3	2015	20.51	30.66	2.77	3.8250
