date,tmax,tmin,prec,rs,rh,u2_obs,eto
2023-01-01,30.35,23.13,7.33,21.73,83.08,1.85,4.487799999581027
2023-01-02,30.92,21.95,0.68,21.17,82.71,1.58,4.393701494913964
2023-01-03,30.81,22.68,1.96,21.56,82.48,1.83,4.491928566539369
2023-01-04,31.16,22.47,1.96,23.26,82.52,1.28,4.769466433532278
2023-01-05,30.39,23.6,16.26,13.38,83.91,1.43,3.1791370586540793
2023-01-06,30.01,23.39,2.44,18.36,81.95,0.94,4.00073534815673
2023-01-07,30.74,23.0,1.16,13.3,77.49,1.08,3.425075093680322
2023-01-08,31.01,22.4,2.91,18.52,80.59,1.35,4.093386417931015
2023-01-09,29.73,22.99,0.62,16.9,83.3,1.28,3.6940519164246752
2023-01-10,27.7,23.85,5.62,17.15,85.64,0.89,3.5747866431378266
2023-01-11,28.59,22.82,2.79,14.8,82.7,0.85,3.336108203062479
2023-01-12,30.94,22.57,1.97,22.78,80.26,1.28,4.764455445017353
2023-01-13,30.52,22.89,2.43,15.25,82.49,1.24,3.510970395519344
2023-01-14,29.73,23.71,6.48,11.48,84.66,1.07,2.830449022553694
2023-01-15,28.82,22.91,4.35,16.35,85.64,1.1,3.472979996034983
2023-01-16,29.72,22.76,0.71,17.4,81.73,1.59,3.821763614086212
2023-01-17,30.16,22.07,1.57,19.68,81.36,1.81,4.176084717237869
2023-01-18,28.7,22.28,1.85,11.05,86.53,1.15,2.6118936481502986
2023-01-19,25.54,22.08,5.96,14.88,88.1,1.23,2.982062894175173
2023-01-20,30.49,20.49,0.02,23.89,79.53,1.26,4.81127357290893
2023-01-21,31.25,21.35,0.07,23.99,79.63,1.6,4.932832286722259
2023-01-22,30.39,22.1,3.02,21.42,81.16,1.42,4.4661924168671
2023-01-23,30.81,22.54,1.47,19.02,81.41,1.4,4.14069013264953
2023-01-24,31.02,23.16,2.75,19.34,79.27,1.0,4.311547046830266
2023-01-25,29.72,23.1,11.91,18.81,81.75,0.8,4.054814080709853
2023-01-26,29.08,21.78,4.15,19.53,85.81,1.13,3.9163127534190143
2023-01-27,30.14,21.98,4.66,18.25,82.55,1.29,3.9159742785678193
2023-01-28,30.86,22.05,0.26,16.99,79.73,1.62,3.8771333319760903
2023-01-29,30.52,23.48,0.17,23.18,79.77,1.18,4.871698239117953
2023-01-30,30.27,22.68,0.05,20.26,78.92,1.11,4.394514974802241
2023-01-31,30.31,22.38,1.0,24.37,78.95,0.9,5.0011328456264055
2023-02-01,28.22,23.15,4.76,14.73,85.81,1.42,3.2084386347624645
2023-02-02,30.52,21.96,9.47,17.89,84.27,1.59,3.820929517061515
2023-02-03,31.22,22.0,0.11,20.61,80.51,1.69,4.425280220744983
2023-02-04,32.07,22.54,0.6,23.73,77.94,1.64,5.091347584838161
2023-02-05,31.5,23.16,1.09,15.84,79.39,1.26,3.7959429161600466
2023-02-06,30.44,23.57,0.44,21.06,81.5,1.22,4.485858813006553
2023-02-07,31.51,22.82,4.23,14.22,79.59,0.88,3.5234407324771095
2023-02-08,31.21,23.81,0.54,17.5,78.7,0.95,4.09334258482379
2023-02-09,33.47,22.29,0.09,23.67,73.2,1.32,5.350058851327073
2023-02-10,33.91,22.81,0.03,24.66,73.73,1.54,5.5562332110832635
2023-02-11,31.85,24.26,0.21,18.34,78.45,1.55,4.295887134257029
2023-02-12,32.99,23.99,0.14,20.68,75.15,1.71,4.8581647702850335
2023-02-13,32.41,24.12,1.72,23.28,77.16,1.71,5.166088408828422
2023-02-14,31.16,24.36,0.3,20.67,81.85,1.74,4.503955740189282
2023-02-15,31.06,23.68,0.43,14.77,80.83,1.6,3.568121701898702
2023-02-16,30.7,23.02,1.62,19.26,80.06,1.78,4.250093306143068
2023-02-17,31.88,22.62,11.07,19.61,80.65,1.14,4.342496871742235
2023-02-18,29.75,23.43,19.81,14.61,85.39,1.2,3.2888348730857326
2023-02-19,27.76,22.83,8.13,15.39,87.98,1.71,3.1944044183993077
2023-02-20,30.38,21.61,7.51,14.23,84.02,1.68,3.2507241216877607
2023-02-21,30.92,22.38,9.17,20.14,82.39,1.52,4.28520516882517
2023-02-22,30.5,22.7,9.87,8.12,84.54,0.94,2.317994410975907
2023-02-23,29.81,22.8,3.77,13.28,82.6,1.39,3.175493864715647
2023-02-24,30.92,21.91,1.17,21.86,81.04,1.12,4.574047927199278
2023-02-25,30.2,23.71,9.93,16.94,84.37,1.6,3.726741821537451
2023-02-26,30.22,22.85,4.51,18.89,85.0,1.28,3.9716055375801598
2023-02-27,28.42,23.34,5.04,17.53,87.16,1.05,3.6016628314752763
2023-02-28,29.77,23.28,2.45,18.26,85.84,1.5,3.8346029106969057
2023-03-01,30.05,23.53,1.55,19.24,84.87,1.4,4.051529767359008
2023-03-02,30.9,22.73,0.38,22.0,82.93,1.33,4.568551984731696
2023-03-03,30.55,23.81,0.17,18.01,81.88,1.29,4.011113176388066
2023-03-04,30.1,23.5,1.32,17.05,82.08,1.49,3.813817077921206
2023-03-05,32.14,22.23,0.36,21.37,79.62,1.33,4.650192522403001
2023-03-06,31.7,23.47,2.64,17.55,81.31,1.66,4.011862820218126
2023-03-07,31.44,23.57,5.07,16.72,83.15,1.41,3.7967145022229216
2023-03-08,30.47,23.65,10.52,17.98,80.68,1.14,4.035999565677222
2023-03-09,31.7,22.88,2.26,19.12,79.38,1.03,4.303788881666851
2023-03-10,30.26,24.07,0.94,18.67,82.45,1.89,4.0830712085391685
2023-03-11,32.19,22.66,5.73,16.82,80.95,1.38,3.9020815332727867
2023-03-12,31.43,23.29,26.3,18.89,85.52,1.52,4.037823753446052
2023-03-13,27.39,23.36,23.59,8.16,92.4,1.22,1.9154786001545248
2023-03-14,29.35,21.96,35.02,15.09,87.83,0.98,3.1851599752338746
2023-03-15,29.01,22.65,9.74,15.25,86.09,0.65,3.2853281580168816
2023-03-16,27.67,22.62,15.15,22.06,87.21,1.73,4.1879690298931465
2023-03-17,26.84,21.76,16.82,10.66,91.02,1.42,2.2940591714415586
2023-03-18,28.32,21.47,18.69,19.7,83.26,0.89,3.9568385971129416
2023-03-19,28.85,22.52,11.93,7.98,83.18,0.98,2.2993121446516724
2023-03-20,29.23,21.2,8.71,19.15,82.39,0.94,3.9487888557235205
2023-03-21,29.16,22.05,19.36,8.09,87.66,1.66,2.119754130170465
2023-03-22,29.39,22.61,3.38,17.94,86.95,1.18,3.672494920906811
2023-03-23,29.92,21.21,24.73,16.77,84.99,1.54,3.537998784813029
2023-03-24,27.25,22.72,17.41,13.87,89.11,0.9,2.8776429200165827
2023-03-25,29.1,21.4,0.44,22.29,87.31,1.19,4.23359840720217
2023-03-26,30.17,22.04,1.53,16.48,86.23,0.99,3.489211572801281
2023-03-27,30.23,22.54,3.63,17.24,85.54,1.49,3.65420043819919
2023-03-28,30.3,22.87,6.99,12.78,85.36,1.22,2.9867898773413306
2023-03-29,29.76,22.28,13.36,20.56,86.19,1.63,4.094369131363982
2023-03-30,30.58,21.63,1.58,18.63,86.07,1.48,3.8238557765125574
2023-03-31,28.42,23.15,7.83,14.61,91.21,1.56,2.9625348538311647
2023-04-01,30.08,22.69,4.8,19.07,82.41,1.07,4.037049192386369
