Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2021	22.37	28.89	1.09	3.9185
2	1	2021	22.53	27.91	2.14	3.6259
3	1	2021	22.84	27.35	6.60	3.3411
4	1	2021	22.87	27.45	6.93	3.7700
5	1	2021	22.40	30.49	1.05	4.0382
6	1	2021	22.38	31.08	1.89	4.3160
7	1	2021	23.07	31.02	1.26	4.7775
8	1	2021	23.35	30.33	1.15	4.0113
9	1	2021	23.01	29.81	2.24	3.6707
10	1	2021	23.42	28.32	2.48	3.7039
11	1	2021	22.53	30.02	4.93	3.1632
12	1	2021	22.58	26.77	10.82	3.3534
13	1	2021	21.61	30.27	7.99	3.2254
14	1	2021	22.65	29.03	5.99	3.5094
15	1	2021	22.61	27.75	2.58	3.3343
16	1	2021	22.82	28.33	1.76	3.6855
17	1	2021	22.65	28.60	0.70	3.6168
18	1	2021	22.47	29.20	1.34	3.9800
19	1	2021	22.10	29.18	5.53	3.5618
20	1	2021	20.88	25.72	1.57	2.2993
21	1	2021	21.12	26.83	0.90	2.7225
22	1	2021	21.34	30.38	6.85	3.5189
23	1	2021	22.01	28.57	0.46	2.6644
24	1	2021	20.41	31.38	0.13	4.4538
25	1	2021	21.24	31.24	2.83	3.8959
26	1	2021	22.38	28.51	5.12	3.3598
27	1	2021	22.84	28.31	16.11	3.1526
28	1	2021	22.02	27.50	10.57	3.1605
29	1	2021	22.16	27.12	1.68	2.4432
30	1	2021	21.46	29.55	3.75	3.1324
31	1	2021	21.31	31.41	0.22	3.1567
1	2	2021	21.55	31.39	0.24	4.6748
2	2	2021	22.35	32.20	0.09	4.8006
3	2	2021	22.69	31.74	0.01	5.0841
4	2	2021	22.42	32.10	0.02	4.8912
5	2	2021	24.02	30.28	0.00	4.6628
6	2	2021	22.39	32.43	0.00	5.1691
7	2	2021	23.13	30.45	2.03	4.9355
8	2	2021	22.85	30.32	5.88	3.9474
9	2	2021	22.39	26.79	7.25	2.6379
10	2	2021	21.16	30.71	0.42	4.0397
11	2	2021	22.75	29.98	16.11	3.8386
12	2	2021	23.01	27.89	14.15	3.6969
13	2	2021	22.44	28.00	3.40	2.7724
14	2	2021	22.82	29.03	9.86	3.4974
15	2	2021	22.69	26.59	37.01	2.6280
16	2	2021	21.81	27.07	5.25	2.4258
17	2	2021	21.56	28.29	11.78	3.6353
18	2	2021	22.06	27.46	22.10	2.3419
19	2	2021	21.77	26.29	3.24	2.9568
20	2	2021	21.98	26.62	2.29	3.5551
21	2	2021	21.84	29.29	1.86	3.7600
22	2	2021	21.59	27.42	14.87	2.8196
23	2	2021	21.68	26.67	14.62	3.8531
24	2	2021	21.47	28.82	2.26	3.7930
25	2	2021	22.44	27.05	15.33	3.4270
26	2	2021	21.86	25.55	32.08	3.2219
27	2	2021	21.34	29.62	7.99	3.7831
28	2	2021	21.05	30.03	2.39	4.6457
1	3	2021	22.09	26.77	15.15	2.5902
2	3	2021	21.16	27.48	17.07	3.2573
3	3	2021	21.69	28.54	1.60	3.6981
4	3	2021	21.48	28.77	2.24	4.0571
5	3	2021	22.04	28.35	1.21	3.8133
6	3	2021	22.08	29.08	1.47	3.7804
7	3	2021	22.15	29.19	1.90	3.7028
8	3	2021	21.70	30.14	0.49	4.2526
9	3	2021	22.78	28.49	2.34	3.7586
10	3	2021	21.87	29.21	1.57	3.9198
11	3	2021	22.47	29.70	2.62	3.6754
12	3	2021	21.98	29.18	6.70	3.4649
13	3	2021	21.93	29.84	7.40	3.9334
14	3	2021	22.85	30.20	7.56	4.2651
15	3	2021	23.10	28.85	15.68	3.8053
16	3	2021	21.91	29.10	4.03	4.1976
17	3	2021	21.87	28.88	7.46	3.6836
18	3	2021	21.98	28.76	8.44	3.4414
19	3	2021	21.65	25.21	25.74	2.7072
20	3	2021	20.74	28.43	16.04	3.7350
21	3	2021	22.02	28.02	4.62	2.9362
22	3	2021	21.80	25.73	4.87	2.8486
23	3	2021	20.38	29.66	0.79	4.1328
24	3	2021	22.26	28.75	10.37	3.6128
25	3	2021	21.66	25.75	30.31	2.6429
26	3	2021	21.02	28.55	22.72	3.8705
27	3	2021	21.60	27.87	11.53	3.5639
28	3	2021	21.88	27.79	0.64	4.2835
29	3	2021	21.09	29.39	0.29	3.8980
30	3	2021	22.89	29.19	0.24	3.9500
31	3	2021	22.49	28.09	2.26	3.6899
1	4	2021	21.97	29.26	17.67	3.6006
2	4	2021	21.75	28.85	3.18	3.9233
3	4	2021	22.42	29.45	0.15	4.5582
4	4	2021	22.45	30.29	0.03	4.3370
5	4	2021	23.34	29.27	1.19	3.5371
6	4	2021	22.46	30.61	0.25	4.6025
7	4	2021	21.72	30.85	0.00	5.1334
8	4	2021	22.05	29.88	0.08	4.7390
9	4	2021	22.15	29.73	1.16	3.3795
10	4	2021	22.67	29.84	0.68	4.5856
11	4	2021	22.17	28.95	1.34	3.5399
12	4	2021	22.09	30.18	0.40	4.4855
13	4	2021	22.41	30.32	3.43	4.2640
14	4	2021	23.05	29.05	2.32	3.9818
15	4	2021	22.84	28.08	4.34	2.6471
16	4	2021	22.37	29.52	2.84	3.4242
17	4	2021	22.02	28.50	1.75	2.8631
18	4	2021	21.57	27.22	8.23	3.8014
19	4	2021	21.25	24.96	9.89	1.8590
20	4	2021	20.78	28.33	0.47	3.4185
21	4	2021	21.58	28.19	5.39	3.5197
22	4	2021	21.82	29.32	5.66	3.5894
23	4	2021	22.12	26.65	1.61	3.7970
24	4	2021	22.16	29.52	1.00	3.2498
25	4	2021	21.73	29.93	4.71	3.0423
26	4	2021	22.24	29.81	3.00	3.8527
27	4	2021	22.54	30.18	3.64	3.5201
28	4	2021	22.66	26.26	8.98	3.3592
29	4	2021	21.40	29.72	1.29	3.7346
30	4	2021	22.71	28.66	7.04	3.2937
1	5	2021	22.45	28.11	2.38	2.8485
2	5	2021	21.80	29.39	0.16	3.9886
3	5	2021	21.65	29.64	0.04	4.2666
4	5	2021	21.99	27.89	12.29	3.1731
5	5	2021	21.01	27.13	8.04	2.6911
6	5	2021	21.94	28.81	1.64	3.6433
7	5	2021	21.60	29.47	0.73	3.5226
8	5	2021	21.89	29.66	1.78	3.6037
9	5	2021	23.23	29.60	0.55	3.8475
10	5	2021	22.58	30.04	0.10	4.1219
11	5	2021	22.34	29.79	0.00	4.2925
12	5	2021	22.20	29.98	0.00	4.2747
13	5	2021	22.70	29.84	0.10	4.2140
14	5	2021	21.96	28.60	0.28	3.5161
15	5	2021	21.57	27.63	0.62	2.9069
16	5	2021	20.73	29.57	0.12	3.7791
17	5	2021	23.14	28.57	0.09	2.7313
18	5	2021	21.68	30.11	0.32	3.9228
19	5	2021	22.46	30.57	0.23	3.6836
20	5	2021	22.27	30.16	1.08	3.8532
21	5	2021	22.61	30.93	0.14	4.1582
22	5	2021	23.19	31.08	0.50	3.4777
23	5	2021	22.89	31.22	0.19	4.1563
24	5	2021	23.04	31.20	0.00	4.0300
25	5	2021	23.40	32.10	0.00	4.7545
26	5	2021	22.97	32.35	0.00	4.6981
27	5	2021	22.12	32.01	0.00	4.5078
28	5	2021	21.95	31.78	0.00	4.4920
29	5	2021	21.90	31.53	0.37	4.3486
30	5	2021	22.50	32.58	0.05	4.6041
31	5	2021	22.41	32.30	0.00	4.7271
1	6	2021	22.09	31.67	0.00	4.5101
2	6	2021	22.25	32.11	0.03	3.8818
3	6	2021	23.50	32.06	1.55	3.3676
4	6	2021	22.63	31.70	0.16	3.7638
5	6	2021	22.02	31.56	0.01	3.9222
6	6	2021	22.60	32.32	0.00	4.5840
7	6	2021	22.12	32.95	0.00	4.3901
8	6	2021	22.91	32.30	0.04	3.6219
9	6	2021	23.36	31.34	1.67	3.2802
10	6	2021	23.13	30.33	1.80	3.5082
11	6	2021	22.89	30.01	0.84	3.6035
12	6	2021	21.92	30.21	0.25	3.4696
13	6	2021	22.44	31.59	0.65	4.0850
14	6	2021	22.77	30.35	1.32	3.4087
15	6	2021	22.97	31.26	0.15	3.7177
16	6	2021	21.78	32.86	0.01	4.1862
17	6	2021	22.49	32.42	0.30	4.0866
18	6	2021	22.25	31.76	0.09	3.5925
19	6	2021	22.13	32.38	0.01	3.9962
20	6	2021	21.64	33.21	0.00	4.4416
21	6	2021	21.02	33.36	0.05	4.3147
22	6	2021	21.99	32.99	0.02	3.9694
23	6	2021	22.56	32.66	0.41	3.9199
24	6	2021	22.73	31.54	5.07	4.0537
25	6	2021	21.69	31.86	0.41	4.0462
26	6	2021	22.11	32.26	0.03	4.0714
27	6	2021	22.07	32.54	0.00	4.5963
28	6	2021	21.20	33.28	0.01	4.8802
29	6	2021	20.60	33.20	0.00	5.0227
30	6	2021	19.81	33.47	0.00	4.9793
1	7	2021	21.94	34.13	0.01	4.8319
2	7	2021	23.68	30.06	0.71	3.6004
3	7	2021	22.48	33.04	0.24	4.3699
4	7	2021	22.28	33.25	0.10	4.5517
5	7	2021	21.90	33.84	0.10	4.7659
6	7	2021	22.46	34.39	0.05	5.0111
7	7	2021	22.52	34.09	0.02	4.7234
8	7	2021	22.97	32.57	0.01	4.3518
9	7	2021	22.36	34.13	0.08	4.5377
10	7	2021	22.94	34.12	0.10	4.7701
11	7	2021	23.24	31.79	0.09	3.8414
12	7	2021	23.13	34.50	0.01	4.4722
13	7	2021	22.80	34.72	0.00	5.1480
14	7	2021	21.84	34.95	0.08	5.2514
15	7	2021	22.33	34.83	0.09	4.8839
16	7	2021	22.56	34.83	0.09	4.8962
17	7	2021	23.01	34.57	0.02	4.3045
18	7	2021	22.97	34.27	0.33	4.6474
19	7	2021	22.53	35.00	0.06	4.7710
20	7	2021	22.88	35.85	0.09	4.3003
21	7	2021	23.23	34.12	0.36	4.2182
22	7	2021	22.51	35.43	0.02	5.4513
23	7	2021	22.03	34.86	0.00	5.8337
24	7	2021	21.09	35.01	0.00	5.8445
25	7	2021	21.05	34.81	0.00	5.7133
26	7	2021	22.08	35.37	0.00	5.8643
27	7	2021	21.51	35.56	0.01	5.5146
28	7	2021	22.72	35.99	0.56	5.1625
29	7	2021	23.32	34.52	0.96	4.8639
30	7	2021	22.91	34.05	0.92	4.0266
31	7	2021	23.15	34.57	1.97	4.1093
1	8	2021	21.79	34.18	1.25	5.0988
2	8	2021	21.78	34.92	0.00	5.9397
3	8	2021	19.96	35.78	0.00	6.1803
4	8	2021	22.25	36.22	0.00	5.8578
5	8	2021	21.66	35.88	0.00	6.0449
6	8	2021	19.96	35.89	0.00	6.0729
7	8	2021	22.35	35.99	0.00	6.2090
8	8	2021	23.28	35.76	0.00	6.3699
9	8	2021	21.90	36.43	0.00	6.3101
10	8	2021	21.48	37.29	0.00	6.1740
11	8	2021	23.61	37.19	0.02	5.2970
12	8	2021	24.27	35.37	0.08	4.8719
13	8	2021	24.25	33.79	0.09	4.7763
14	8	2021	23.48	35.73	0.01	4.8882
15	8	2021	23.28	37.50	0.00	5.6074
16	8	2021	21.94	35.22	0.00	4.8652
17	8	2021	22.33	36.60	0.00	5.5975
18	8	2021	22.73	37.05	0.00	6.3616
19	8	2021	21.24	36.48	0.00	6.2862
20	8	2021	22.18	37.52	0.00	6.4706
21	8	2021	22.36	37.41	0.00	6.0474
22	8	2021	23.66	37.83	0.00	5.8647
23	8	2021	23.50	38.21	0.00	6.1052
24	8	2021	23.17	37.29	1.33	4.9729
25	8	2021	23.68	36.44	0.54	5.0966
26	8	2021	24.96	34.52	0.42	4.9758
27	8	2021	23.62	36.57	0.87	4.5373
28	8	2021	23.74	36.94	0.31	5.7577
29	8	2021	23.36	38.37	0.01	6.1550
30	8	2021	23.96	37.40	0.00	5.4776
31	8	2021	24.74	34.68	0.65	4.8079
1	9	2021	24.00	33.12	0.95	4.1366
2	9	2021	23.86	34.15	2.60	4.3596
3	9	2021	23.53	36.42	0.77	4.9484
4	9	2021	24.02	35.02	0.01	4.8535
5	9	2021	23.88	37.63	0.00	6.4446
6	9	2021	23.35	37.32	0.63	6.0991
7	9	2021	23.86	36.37	0.29	4.9039
8	9	2021	24.41	35.89	0.01	5.1519
9	9	2021	24.54	37.62	0.00	5.4801
10	9	2021	24.21	37.94	0.00	4.9837
11	9	2021	24.02	37.48	0.89	5.5421
12	9	2021	23.41	36.75	1.35	4.7606
13	9	2021	24.31	36.22	0.02	5.7255
14	9	2021	24.39	35.17	0.63	5.3923
15	9	2021	23.07	35.39	4.93	5.1523
16	9	2021	22.99	34.40	1.61	5.1995
17	9	2021	23.67	35.82	0.40	5.4173
18	9	2021	23.11	36.55	0.07	5.3931
19	9	2021	23.48	37.70	0.00	5.5836
20	9	2021	24.18	37.82	0.00	6.0613
21	9	2021	24.76	37.41	0.53	5.8731
22	9	2021	23.58	36.78	0.11	5.2654
23	9	2021	24.96	34.68	1.60	5.2216
24	9	2021	24.28	35.85	1.52	5.1730
25	9	2021	23.22	35.35	2.35	5.1484
26	9	2021	24.32	36.37	0.13	5.4988
27	9	2021	24.68	36.18	0.62	5.4055
28	9	2021	23.68	34.49	9.86	3.9987
29	9	2021	23.16	30.89	2.69	4.2058
30	9	2021	23.35	29.14	5.71	4.0376
1	10	2021	22.27	31.40	21.05	4.1697
2	10	2021	22.35	30.13	13.40	2.4442
3	10	2021	21.17	32.04	0.35	4.5702
4	10	2021	22.18	33.78	0.00	4.9533
5	10	2021	22.51	34.84	0.00	5.6850
6	10	2021	23.42	35.60	0.13	5.6574
7	10	2021	23.65	36.31	0.11	5.4996
8	10	2021	24.31	36.60	0.06	5.1988
9	10	2021	24.05	36.19	0.10	5.4786
10	10	2021	24.89	32.09	0.11	4.6401
11	10	2021	23.83	36.84	0.04	5.5043
12	10	2021	24.93	36.90	0.04	6.1058
13	10	2021	25.05	36.93	0.09	5.2600
14	10	2021	24.99	36.93	0.77	5.7526
15	10	2021	24.09	37.81	0.89	5.4281
16	10	2021	25.10	36.19	0.21	5.1478
17	10	2021	24.46	37.11	2.66	4.9627
18	10	2021	24.08	33.42	8.82	4.1659
19	10	2021	22.60	35.19	0.77	4.8062
20	10	2021	24.32	36.45	0.12	5.4614
21	10	2021	24.69	34.62	18.82	5.3056
22	10	2021	23.79	27.71	63.81	2.8657
23	10	2021	22.94	30.72	35.32	3.1883
24	10	2021	22.77	31.51	1.37	4.7446
25	10	2021	23.61	31.60	0.10	4.6243
26	10	2021	23.10	30.66	2.61	3.4972
27	10	2021	22.07	32.35	1.18	4.3842
28	10	2021	22.94	31.92	1.33	4.2261
29	10	2021	22.25	30.73	0.43	4.3392
30	10	2021	22.00	32.21	0.08	4.7025
31	10	2021	23.05	32.65	0.52	4.8057
1	11	2021	22.38	33.11	2.61	4.0115
2	11	2021	23.19	27.59	3.06	3.5300
3	11	2021	22.06	30.01	3.20	4.2166
4	11	2021	22.21	32.75	1.14	4.4074
5	11	2021	23.31	31.18	15.03	4.0083
6	11	2021	22.66	27.10	40.81	3.3712
7	11	2021	22.16	29.38	3.43	3.1605
8	11	2021	22.55	28.78	0.42	3.9190
9	11	2021	22.48	30.22	11.54	2.9683
10	11	2021	22.25	25.77	32.03	2.7229
11	11	2021	21.75	30.89	0.04	4.5891
12	11	2021	21.68	31.67	0.00	4.7541
13	11	2021	22.84	31.80	0.98	4.5380
14	11	2021	22.61	31.84	4.65	4.2926
15	11	2021	23.01	28.66	4.43	3.8971
16	11	2021	21.95	31.15	3.29	3.7719
17	11	2021	22.15	32.16	0.90	4.4092
18	11	2021	23.27	32.50	0.11	4.5804
19	11	2021	23.71	32.54	0.67	4.6292
20	11	2021	23.16	32.13	4.22	3.8833
21	11	2021	23.20	33.10	3.75	4.0270
22	11	2021	23.03	33.30	0.61	5.2751
23	11	2021	22.98	33.40	2.84	4.9006
24	11	2021	24.14	32.95	0.44	4.7753
25	11	2021	23.62	32.65	0.69	4.5002
26	11	2021	24.08	28.79	5.77	4.0233
27	11	2021	23.35	28.18	7.16	3.8579
28	11	2021	23.04	32.43	2.39	4.7134
29	11	2021	23.52	28.09	10.87	3.8328
30	11	2021	22.73	29.91	1.79	3.4376
