date,tmax,tmin,prec
2020-06-16,29.5,20.88,0.0
2020-06-17,28.96,21.52,0.0
2020-06-18,29.53,21.19,0.0
2020-06-19,29.17,20.06,0.0
2020-06-20,29.88,20.68,0.12
2020-06-21,29.82,22.14,0.02
2020-06-22,29.6,20.3,0.0
2020-06-23,29.68,21.03,0.13
2020-06-24,28.84,21.36,1.73
2020-06-25,30.06,20.96,0.02
2020-06-26,30.04,21.0,0.0
2020-06-27,30.32,21.16,0.0
2020-06-28,30.58,21.73,0.0
2020-06-29,30.66,21.66,0.12
2020-06-30,29.4,21.99,0.01
2020-07-01,30.16,21.09,0.05
2020-07-02,30.5,21.38,0.01
2020-07-03,30.91,21.61,1.45
2020-07-04,31.17,21.21,0.58
2020-07-05,30.87,21.53,0.0
2020-07-06,31.0,21.45,0.0
2020-07-07,30.02,21.52,0.01
2020-07-08,30.87,21.43,0.0
2020-07-09,31.42,20.86,0.0
2020-07-10,30.8,21.2,0.4
2020-07-11,30.89,21.88,0.52
2020-07-12,31.61,22.37,0.02
2020-07-13,31.5,21.91,0.0
2020-07-14,30.57,22.8,0.09
2020-07-15,31.69,20.95,0.01
2020-07-16,31.68,21.43,0.0
2020-07-17,31.69,21.53,0.33
2020-07-18,31.8,20.11,0.03
2020-07-19,31.86,20.81,0.0
2020-07-20,31.74,20.75,0.0
2020-07-21,31.2,20.08,0.0
2020-07-22,31.47,20.94,0.0
2020-07-23,32.33,20.6,0.0
2020-07-24,32.46,21.07,0.0
2020-07-25,31.92,20.44,0.0
2020-07-26,32.37,19.59,0.0
2020-07-27,32.15,18.39,0.0
2020-07-28,32.23,18.73,0.0
2020-07-29,32.11,20.48,0.0
2020-07-30,33.22,22.86,0.0
2020-07-31,33.38,21.5,0.0
2020-08-01,32.57,18.65,0.0
2020-08-02,32.71,21.29,0.0
2020-08-03,33.15,21.67,0.0
2020-08-04,33.33,21.78,0.0
2020-08-05,33.48,20.48,0.0
2020-08-06,33.47,20.61,0.0
2020-08-07,34.08,21.09,0.0
2020-08-08,33.81,20.66,0.0
2020-08-09,34.58,20.98,0.0
2020-08-10,35.1,20.24,0.0
2020-08-11,35.22,23.05,0.0
2020-08-12,35.26,23.17,0.0
2020-08-13,35.58,22.21,0.0
2020-08-14,35.27,21.64,0.0
2020-08-15,35.43,22.79,0.0
2020-08-16,36.31,22.01,0.0
2020-08-17,36.75,22.34,0.0
2020-08-18,36.56,22.81,0.0
2020-08-19,35.94,23.64,0.0
2020-08-20,37.1,23.44,0.0
2020-08-21,37.22,23.34,0.0
2020-08-22,36.41,23.87,0.0
2020-08-23,35.34,24.28,1.6
2020-08-24,33.22,23.49,0.14
2020-08-25,35.93,22.23,0.02
2020-08-26,36.42,23.22,0.0
2020-08-27,35.73,24.64,2.34
2020-08-28,35.6,23.6,0.25
2020-08-29,36.43,23.53,0.0
2020-08-30,36.46,22.54,0.0
2020-08-31,36.91,24.86,0.0
2020-09-01,36.43,22.22,0.0
2020-09-02,36.45,23.57,0.0
2020-09-03,36.49,21.44,0.0
2020-09-04,36.72,21.52,0.0
2020-09-05,37.44,22.61,0.02
2020-09-06,37.18,24.23,0.0
2020-09-07,37.29,23.3,0.0
2020-09-08,38.41,22.5,0.09
2020-09-09,37.68,25.33,0.02
2020-09-10,37.84,25.36,0.0
2020-09-11,37.44,23.98,0.0
2020-09-12,37.66,24.36,0.0
2020-09-13,37.34,24.83,0.0
2020-09-14,37.64,23.37,0.0
2020-09-15,37.61,23.26,0.0
2020-09-16,38.35,24.95,0.0
2020-09-17,37.56,25.02,0.0
2020-09-18,38.02,25.75,0.0
2020-09-19,37.28,25.1,0.05
2020-09-20,38.0,25.37,0.0
2020-09-21,37.52,26.69,0.0
2020-09-22,38.2,25.83,0.14
2020-09-23,38.2,25.27,0.04
2020-09-24,37.9,25.94,0.12
2020-09-25,35.94,25.34,0.33
2020-09-26,34.96,25.32,0.03
2020-09-27,37.43,24.19,0.0
2020-09-28,35.64,25.84,0.43
2020-09-29,36.03,24.44,1.1
2020-09-30,36.31,24.62,0.44
2020-10-01,36.16,24.47,0.01
2020-10-02,36.7,25.67,0.0
2020-10-03,37.45,25.6,0.0
2020-10-04,37.67,25.72,0.0
2020-10-05,37.06,25.67,0.02
2020-10-06,36.8,25.85,0.16
2020-10-07,37.96,25.4,0.03
2020-10-08,38.61,24.54,0.42
2020-10-09,38.11,24.95,0.34
2020-10-10,38.37,25.83,24.01
2020-10-11,34.33,23.16,3.94
2020-10-12,34.27,23.93,1.04
2020-10-13,33.57,24.04,2.67
2020-10-14,34.03,23.24,1.63
2020-10-15,35.16,22.82,1.41
2020-10-16,35.55,24.01,0.27
2020-10-17,36.31,24.46,0.05
2020-10-18,35.31,24.33,0.01
2020-10-19,35.79,24.1,0.1
2020-10-20,36.0,24.74,0.5
2020-10-21,36.85,24.09,0.01
2020-10-22,37.33,25.31,0.0
2020-10-23,34.04,25.91,0.0
2020-10-24,35.68,24.87,0.03
2020-10-25,31.4,24.73,3.22
2020-10-26,31.71,23.85,7.9
2020-10-27,30.52,23.23,4.31
2020-10-28,35.52,21.74,3.46
2020-10-29,35.89,24.08,2.91
2020-10-30,30.61,24.11,5.64
2020-10-31,34.61,22.88,0.07
2020-11-01,34.54,24.68,2.58
2020-11-02,32.81,24.13,14.42
2020-11-03,29.34,23.33,5.68
2020-11-04,32.19,22.0,4.53
2020-11-05,31.6,22.76,28.41
2020-11-06,26.27,23.18,24.42
2020-11-07,29.7,22.34,0.25
2020-11-08,32.35,22.49,0.93
2020-11-09,31.47,22.84,3.1
2020-11-10,31.44,23.2,8.09
2020-11-11,30.6,23.81,10.89
2020-11-12,31.39,23.51,0.43
2020-11-13,30.72,23.79,0.22
2020-11-14,33.38,22.38,0.14
2020-11-15,32.93,23.54,0.03
2020-11-16,31.99,23.48,0.07
2020-11-17,28.62,24.43,0.16
2020-11-18,28.58,23.59,19.68
2020-11-19,24.78,20.59,33.19
2020-11-20,31.33,19.54,0.06
2020-11-21,29.77,22.16,1.03
2020-11-22,26.64,22.34,5.77
2020-11-23,30.15,21.34,8.1
2020-11-24,28.69,22.88,3.13
2020-11-25,30.72,21.89,0.15
2020-11-26,29.76,22.92,0.29
2020-11-27,29.03,21.11,0.08
2020-11-28,28.23,22.49,0.01
2020-11-29,30.44,22.1,0.13
2020-11-30,29.49,23.01,0.21
2020-12-01,30.17,22.76,0.26
2020-12-02,29.47,22.01,0.16
2020-12-03,29.28,23.15,0.52
2020-12-04,32.23,22.33,0.25
2020-12-05,31.93,23.58,0.12
2020-12-06,30.99,22.93,0.08
2020-12-07,31.53,22.67,5.47
2020-12-08,27.71,23.38,11.0
2020-12-09,28.44,22.35,5.82
2020-12-10,30.32,21.19,5.05
2020-12-11,32.24,21.9,0.1
2020-12-12,32.61,23.26,0.22
2020-12-13,32.52,22.74,2.88
2020-12-14,28.35,23.06,8.29
2020-12-15,29.08,22.11,10.58
2020-12-16,28.59,22.32,6.5
2020-12-17,31.41,22.04,1.21
2020-12-18,31.4,20.98,3.67
2020-12-19,31.35,22.54,9.83
2020-12-20,30.4,23.43,12.76
2020-12-21,28.48,23.46,6.64
2020-12-22,30.67,22.51,0.76
2020-12-23,26.43,23.27,1.26
2020-12-24,28.01,21.96,19.04
2020-12-25,29.7,20.96,8.81
2020-12-26,29.5,22.24,10.85
2020-12-27,29.38,21.71,3.31
2020-12-28,30.3,21.97,0.38
2020-12-29,31.08,21.71,0.98
2020-12-30,30.24,21.96,6.12
2020-12-31,28.52,22.58,6.89
