date,tmax,tmin,prec,rs,rh,u2_obs,eto
2002-01-01,32.2,22.32,6.8,19.91,74.18,1.19,4.615747831143632
2002-01-02,30.02,23.53,11.38,8.86,85.65,1.09,2.3810899813846316
2002-01-03,29.11,23.28,27.98,15.16,86.7,1.41,3.2750256628704775
2002-01-04,28.21,22.45,29.35,14.87,82.97,1.01,3.3018217869138478
2002-01-05,30.43,22.64,12.37,14.43,82.66,1.0,3.361632026040947
2002-01-06,27.22,23.19,21.1,8.95,91.42,1.8,2.0683858411966276
2002-01-07,28.79,22.27,12.52,12.21,88.35,1.9,2.7126873911540033
2002-01-08,25.79,22.69,17.55,9.09,91.31,1.88,2.0485648236226455
2002-01-09,28.4,21.97,10.91,15.81,85.94,1.19,3.319991990617525
2002-01-10,27.38,22.22,18.99,12.32,83.06,0.87,2.8856301561814166
2002-01-11,29.59,21.52,8.46,17.47,82.43,1.09,3.7438228307651147
2002-01-12,28.86,22.57,6.7,19.68,86.25,1.58,3.9407470162157923
2002-01-13,29.84,21.47,4.66,15.57,85.54,1.44,3.3536608308000346
2002-01-14,29.9,22.81,4.34,19.16,82.42,1.02,4.07584358137107
2002-01-15,28.5,22.8,23.79,17.37,84.9,1.35,3.633108438285284
2002-01-16,28.71,22.12,13.15,16.97,86.32,1.75,3.503164987998827
2002-01-17,29.1,21.86,10.78,15.87,83.16,1.46,3.4685028793584514
2002-01-18,29.66,22.37,5.53,14.11,83.57,1.0,3.235129082590693
2002-01-19,28.96,22.96,19.48,16.24,85.94,1.38,3.455645867823345
2002-01-20,29.53,22.37,2.25,15.09,84.4,1.07,3.3457489779306355
2002-01-21,30.09,22.3,5.84,16.05,85.58,1.78,3.472704523736964
2002-01-22,30.63,21.47,1.32,23.82,84.46,1.44,4.702998882095379
2002-01-23,29.21,22.4,3.68,20.8,85.43,1.5,4.15854171773807
2002-01-24,30.03,21.93,1.73,20.67,84.09,1.55,4.216966599967356
2002-01-25,30.01,21.79,0.33,21.86,85.64,1.05,4.33611818022948
2002-01-26,30.99,22.14,0.49,17.51,84.57,1.78,3.783006512168001
2002-01-27,29.9,22.27,0.27,20.62,84.21,1.63,4.21491150661879
2002-01-28,31.28,22.43,5.47,21.39,83.2,1.38,4.473519007115008
2002-01-29,30.24,22.41,0.55,20.78,86.76,1.08,4.179577757312214
2002-01-30,29.56,22.46,2.04,23.22,87.08,1.54,4.502838040741564
2002-01-31,28.55,22.33,3.24,20.63,87.8,1.11,4.008046681172434
