Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2001	22.81	29.27	11.63	2.7553
2	1	2001	22.49	28.77	9.51	3.1328
3	1	2001	21.44	29.70	1.89	4.2332
4	1	2001	21.58	31.13	1.86	4.4243
5	1	2001	22.98	28.09	4.93	3.8365
6	1	2001	22.87	28.47	9.24	3.2119
7	1	2001	21.99	27.81	1.80	3.9371
8	1	2001	22.82	27.78	5.77	3.7458
9	1	2001	22.49	28.42	5.72	3.3707
10	1	2001	21.72	28.99	2.60	2.5331
11	1	2001	22.52	29.31	3.11	3.5625
12	1	2001	22.02	27.25	22.29	2.6947
13	1	2001	21.36	27.81	1.10	3.7228
14	1	2001	21.81	28.92	0.31	4.0114
15	1	2001	20.40	30.97	1.90	4.3945
16	1	2001	21.88	28.42	0.61	3.8321
17	1	2001	21.95	28.26	0.51	3.6026
18	1	2001	22.12	29.97	1.34	4.0530
19	1	2001	20.79	30.62	2.31	3.9968
20	1	2001	21.76	29.93	6.56	3.8192
21	1	2001	22.34	26.14	2.92	2.9227
22	1	2001	21.38	28.32	2.60	4.0204
23	1	2001	21.37	28.52	6.74	3.6061
24	1	2001	22.16	30.00	3.14	3.9650
25	1	2001	22.93	28.48	8.20	3.7788
26	1	2001	23.47	30.56	1.92	4.9452
27	1	2001	22.81	30.62	2.04	4.2342
28	1	2001	22.44	30.70	7.93	3.7307
29	1	2001	22.18	30.83	7.92	3.7745
30	1	2001	22.99	26.25	35.09	3.5304
31	1	2001	21.85	27.41	12.19	3.3392
1	2	2001	22.41	27.98	33.83	3.7578
2	2	2001	21.54	27.46	14.44	3.2202
3	2	2001	21.57	29.67	9.91	3.5912
4	2	2001	22.43	26.63	13.10	3.7504
5	2	2001	21.82	30.01	6.05	4.1611
6	2	2001	22.86	29.22	0.87	4.4929
7	2	2001	22.14	30.52	0.65	4.2888
8	2	2001	22.07	31.22	2.81	4.4918
9	2	2001	21.89	30.65	14.22	4.3227
10	2	2001	23.50	27.71	7.25	3.4825
11	2	2001	22.36	29.12	0.60	3.8794
12	2	2001	22.79	27.90	8.28	3.7121
13	2	2001	21.10	29.53	6.99	3.9621
14	2	2001	22.25	28.68	5.12	4.0211
15	2	2001	22.12	28.00	22.66	3.8566
16	2	2001	21.83	29.10	40.99	2.9190
17	2	2001	22.70	27.86	5.32	2.6843
18	2	2001	22.29	28.50	6.92	4.0306
19	2	2001	21.35	29.55	6.01	3.6081
20	2	2001	22.38	28.54	1.91	3.0491
21	2	2001	21.50	28.68	0.45	3.2678
22	2	2001	21.80	29.28	2.45	4.5393
23	2	2001	21.58	28.96	3.62	3.3816
24	2	2001	22.25	28.98	3.77	3.9313
25	2	2001	22.34	30.01	10.05	3.9694
26	2	2001	22.16	25.87	17.64	3.0514
27	2	2001	21.03	28.82	18.90	3.3730
28	2	2001	21.17	29.78	14.02	3.7308
1	3	2001	21.36	29.72	28.31	2.6988
2	3	2001	22.57	29.73	3.39	3.7396
3	3	2001	22.85	29.37	6.34	3.5388
4	3	2001	23.55	29.97	0.50	4.5120
5	3	2001	23.24	30.71	1.95	4.2657
6	3	2001	22.82	29.96	8.22	3.7325
7	3	2001	22.61	31.05	6.49	4.4273
8	3	2001	22.89	30.06	2.97	4.1394
9	3	2001	22.12	30.33	2.59	4.0999
10	3	2001	22.70	26.70	13.41	3.3525
11	3	2001	22.47	27.23	20.92	3.1527
12	3	2001	21.80	28.50	29.95	2.4468
13	3	2001	21.39	29.39	21.17	3.0001
14	3	2001	22.52	29.23	11.12	2.9479
15	3	2001	22.58	30.29	2.32	4.1732
16	3	2001	22.64	28.65	9.63	3.3891
17	3	2001	21.86	27.48	11.90	3.4284
18	3	2001	21.00	29.91	1.36	4.0681
19	3	2001	22.98	30.31	1.36	4.5308
20	3	2001	23.63	30.30	1.05	4.3076
21	3	2001	22.44	29.84	5.02	4.0565
22	3	2001	22.84	30.15	3.16	4.0242
23	3	2001	23.25	29.71	6.70	3.9802
24	3	2001	22.74	28.98	2.65	4.2609
25	3	2001	22.16	30.56	2.02	3.8143
26	3	2001	22.72	30.25	15.51	3.5992
27	3	2001	21.73	29.37	9.60	3.4793
28	3	2001	23.13	29.25	6.93	3.4999
29	3	2001	23.04	29.07	10.18	3.3891
30	3	2001	22.87	27.14	7.50	3.5873
31	3	2001	21.90	29.44	1.30	3.8315
1	4	2001	22.68	26.70	11.97	3.8023
2	4	2001	21.71	30.06	37.53	3.0210
3	4	2001	21.82	30.17	42.99	3.9857
4	4	2001	22.63	29.30	17.00	3.2685
5	4	2001	22.66	28.02	1.33	3.3733
6	4	2001	22.44	30.15	1.16	3.5542
7	4	2001	22.19	30.64	1.37	4.1803
8	4	2001	23.02	28.82	0.29	4.0229
9	4	2001	21.45	29.58	2.15	4.0020
10	4	2001	22.39	27.45	4.16	3.5611
11	4	2001	22.52	27.44	4.68	3.0668
12	4	2001	21.81	29.71	13.09	4.0835
13	4	2001	22.44	29.51	4.40	3.5752
14	4	2001	22.36	29.85	8.95	3.3475
15	4	2001	21.49	30.01	2.22	4.5316
16	4	2001	22.75	30.00	15.51	3.6528
17	4	2001	22.63	30.13	8.16	3.7961
18	4	2001	22.92	29.24	26.29	3.3692
19	4	2001	23.29	27.76	37.60	3.1235
20	4	2001	22.61	27.93	25.72	2.5367
21	4	2001	22.75	30.02	29.58	3.7193
22	4	2001	22.78	28.30	4.31	3.7697
23	4	2001	22.66	29.86	1.32	4.2854
24	4	2001	21.16	29.67	1.32	4.5104
25	4	2001	20.33	29.63	0.38	3.9957
26	4	2001	22.32	30.80	0.26	4.5645
27	4	2001	22.02	30.36	0.89	4.2557
28	4	2001	22.79	29.53	4.58	3.0567
29	4	2001	22.05	29.57	0.97	3.8692
30	4	2001	21.82	30.26	0.06	3.6618
1	5	2001	22.65	30.02	1.42	3.8307
2	5	2001	22.42	30.45	0.43	3.7471
3	5	2001	22.10	30.39	0.33	4.0391
4	5	2001	22.27	30.56	1.32	3.7880
5	5	2001	22.73	30.23	0.10	3.8338
6	5	2001	24.40	30.92	0.38	3.7539
7	5	2001	22.94	29.62	2.71	3.8984
8	5	2001	22.77	29.87	1.73	3.4056
9	5	2001	23.48	29.15	0.48	3.8405
10	5	2001	23.81	30.50	4.68	3.4587
11	5	2001	23.65	28.15	1.98	3.0377
12	5	2001	22.27	30.14	0.35	3.8219
13	5	2001	23.32	30.08	0.10	3.9115
14	5	2001	22.55	30.62	0.28	3.9888
15	5	2001	22.48	30.60	1.78	3.7885
16	5	2001	21.74	30.42	0.41	3.2224
17	5	2001	21.86	30.75	0.47	4.1612
18	5	2001	22.44	29.77	0.12	3.9924
19	5	2001	21.92	29.42	0.47	3.7044
20	5	2001	22.00	30.23	10.35	3.7047
21	5	2001	22.35	27.57	25.49	2.2436
22	5	2001	21.58	28.66	6.74	3.5231
23	5	2001	22.29	29.97	1.96	3.8133
24	5	2001	22.73	29.35	0.16	3.4494
25	5	2001	23.12	28.73	0.68	3.5477
26	5	2001	23.06	28.90	0.40	3.3702
27	5	2001	22.10	27.74	0.14	3.3203
28	5	2001	22.26	29.61	0.55	3.5015
29	5	2001	22.19	29.21	0.34	3.6137
30	5	2001	22.89	29.68	0.03	3.4719
31	5	2001	23.11	29.37	0.22	3.3642
1	6	2001	21.89	28.89	0.23	3.2620
2	6	2001	22.85	27.87	1.75	3.2079
3	6	2001	21.26	29.11	1.95	3.3962
4	6	2001	22.04	28.49	0.62	2.8944
5	6	2001	21.68	28.46	0.11	3.5083
6	6	2001	20.02	28.98	0.02	3.5405
7	6	2001	22.00	29.54	1.18	3.4727
8	6	2001	22.09	28.79	0.91	3.2428
9	6	2001	20.05	28.64	0.06	3.1021
10	6	2001	20.28	29.46	0.23	3.5220
11	6	2001	20.46	29.57	0.06	3.8268
12	6	2001	20.72	28.64	0.00	3.8590
13	6	2001	18.96	28.79	0.00	3.6482
14	6	2001	20.63	28.99	0.00	3.8680
15	6	2001	21.50	28.40	0.45	3.6658
16	6	2001	20.88	29.50	0.10	3.8729
17	6	2001	20.20	29.98	0.00	3.9309
18	6	2001	20.60	29.57	0.00	4.0742
19	6	2001	21.71	29.96	0.10	3.9555
20	6	2001	20.57	29.94	0.00	3.9456
21	6	2001	21.58	29.62	0.26	3.8660
22	6	2001	21.42	29.91	1.63	3.3661
23	6	2001	22.30	29.39	7.35	2.8212
24	6	2001	21.36	29.01	9.08	2.8179
25	6	2001	20.52	29.59	1.03	3.6542
26	6	2001	21.39	29.69	0.14	3.9786
