Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2016	23.53	31.70	17.10	2.5160
2	1	2016	22.84	33.75	0.14	4.9417
3	1	2016	23.59	33.93	2.04	5.0532
4	1	2016	23.85	34.64	0.08	4.7396
5	1	2016	24.76	33.85	0.16	4.4169
6	1	2016	24.30	30.32	1.99	3.3526
7	1	2016	23.19	28.52	8.09	2.3681
8	1	2016	24.06	30.60	12.76	2.6432
9	1	2016	24.39	29.48	3.15	3.0979
10	1	2016	23.19	32.73	1.19	2.7492
11	1	2016	24.62	34.04	0.25	4.5797
12	1	2016	24.09	33.40	2.02	4.9415
13	1	2016	24.64	28.28	1.81	1.5347
14	1	2016	23.63	32.96	1.92	3.9196
15	1	2016	24.07	33.94	0.20	4.7232
16	1	2016	24.97	34.04	3.44	4.9378
17	1	2016	24.58	26.97	3.83	1.5937
18	1	2016	23.80	30.68	1.35	3.0742
19	1	2016	23.86	33.03	1.71	3.5656
20	1	2016	24.69	30.45	1.04	2.9031
21	1	2016	23.48	30.95	3.49	2.8652
22	1	2016	22.96	32.92	4.97	3.1789
23	1	2016	23.35	34.15	2.93	3.9554
24	1	2016	24.67	32.70	4.05	4.0663
25	1	2016	24.19	35.07	1.94	4.6455
26	1	2016	24.39	33.91	12.54	2.9632
27	1	2016	23.46	29.26	36.73	2.8976
28	1	2016	23.11	29.19	9.02	2.5196
29	1	2016	22.16	29.31	3.66	4.1050
30	1	2016	22.26	29.68	1.66	4.2842
31	1	2016	22.57	31.33	2.91	4.8297
1	2	2016	22.21	31.25	2.27	4.2758
2	2	2016	22.20	30.39	0.56	3.7741
3	2	2016	22.30	30.62	6.98	4.3510
4	2	2016	22.43	29.73	1.59	3.8979
5	2	2016	23.89	27.72	1.76	3.1636
6	2	2016	22.85	32.38	0.37	4.5624
7	2	2016	24.12	33.30	0.02	5.4881
8	2	2016	22.78	33.36	0.00	5.4926
9	2	2016	23.36	33.41	0.00	5.6597
10	2	2016	23.79	34.11	0.01	5.5200
11	2	2016	24.94	31.14	8.56	4.7581
12	2	2016	23.99	30.84	11.88	4.4554
13	2	2016	23.63	29.11	15.06	3.9254
14	2	2016	22.43	30.09	2.66	3.5680
15	2	2016	23.09	32.56	0.16	4.6050
16	2	2016	23.10	33.71	0.00	5.3637
17	2	2016	23.71	33.44	0.00	5.4135
18	2	2016	23.52	34.51	0.04	5.8254
