date,tmax,tmin,prec,rs,rh,u2_obs,eto
2009-03-22,29.29,23.33,7.21,18.54,86.8,1.29,3.7971483727983406
2009-03-23,29.09,23.69,5.5,17.84,87.05,1.25,3.683640409953852
2009-03-24,30.02,23.09,2.75,20.14,86.04,1.05,4.101978055414842
2009-03-25,29.76,23.6,2.42,20.88,81.72,0.86,4.3749125193208505
2009-03-26,29.44,23.17,11.78,18.21,87.42,1.2,3.7185939438373943
2009-03-27,29.47,22.02,6.31,17.83,85.84,1.08,3.6676316093938843
2009-03-28,27.21,22.41,2.93,19.07,88.08,1.13,3.6589269580402006
2009-03-29,29.58,21.6,13.09,20.32,86.37,1.21,4.006211569608083
2009-03-30,30.22,21.14,13.7,20.69,84.3,0.95,4.152339196751395
2009-03-31,28.74,22.84,20.51,14.91,88.08,1.54,3.1317411487781706
2009-04-01,30.27,21.44,0.37,21.2,83.82,1.4,4.259274966575872
2009-04-02,29.97,22.49,7.42,16.65,80.67,0.76,3.7205401031632044
2009-04-03,29.88,22.98,4.72,16.28,84.93,1.07,3.517142807967265
2009-04-04,28.86,22.49,35.5,17.33,87.87,0.91,3.489764058185826
2009-04-05,27.76,22.69,11.83,17.97,89.36,1.39,3.479054775491797
2009-04-06,29.99,22.14,1.01,20.69,83.64,0.92,4.193089903608618
2009-04-07,30.53,23.36,0.09,19.69,84.95,1.64,4.089089862776452
2009-04-08,30.05,21.87,21.29,18.66,85.69,1.04,3.801843308309516
2009-04-09,26.86,23.68,12.37,17.38,93.14,1.36,3.245138831596851
2009-04-10,28.78,22.52,13.54,13.95,89.15,1.62,2.9194959935173097
2009-04-11,27.42,22.97,6.17,18.65,89.35,1.2,3.561012176694875
2009-04-12,25.62,21.72,19.83,9.29,93.33,1.6,1.944750567331883
2009-04-13,28.2,21.49,6.11,14.53,88.26,0.95,2.972357837121451
2009-04-14,28.67,22.32,6.73,16.97,84.32,0.82,3.527118153995772
2009-04-15,28.16,22.64,3.5,19.13,87.87,1.18,3.6997896540340203
2009-04-16,30.2,21.75,14.11,17.99,85.71,0.9,3.685179838986085
2009-04-17,30.05,22.8,8.74,14.19,86.84,1.42,3.0994178857066133
2009-04-18,29.62,22.12,7.77,15.7,87.64,1.56,3.249023200264981
2009-04-19,28.06,22.62,18.58,14.15,89.56,1.43,2.889404837742302
2009-04-20,29.78,22.22,18.5,14.93,88.73,1.36,3.098948086053093
2009-04-21,29.26,22.72,5.81,19.49,87.75,1.07,3.811601245401139
2009-04-22,25.85,22.22,25.91,7.74,92.2,1.26,1.7753923901459125
2009-04-23,29.24,21.84,23.56,15.48,88.4,1.1,3.1467942697856497
2009-04-24,28.78,22.12,21.79,10.96,89.8,1.64,2.4121355811235836
2009-04-25,28.27,22.74,9.18,13.67,89.33,1.62,2.828482050813331
2009-04-26,29.81,21.91,9.38,15.08,88.05,1.22,3.12471320131959
2009-04-27,27.75,23.03,32.7,17.34,90.97,1.77,3.290848011396177
2009-04-28,28.18,22.14,6.17,9.34,86.96,1.08,2.2678030030058425
2009-04-29,30.15,21.73,4.21,20.72,86.42,1.14,4.025787489561702
2009-04-30,29.72,22.95,12.42,13.57,88.1,1.5,2.9204863972635695
2009-05-01,29.09,22.68,32.77,17.73,88.54,1.21,3.481909083629516
2009-05-02,28.03,22.74,39.51,8.45,90.47,1.65,1.9966378134800418
2009-05-03,25.68,22.54,8.62,17.43,91.91,1.57,3.1278036364451514
2009-05-04,28.63,22.11,7.06,12.73,86.15,1.13,2.7908501861062356
2009-05-05,28.48,21.72,0.16,15.9,83.41,1.01,3.3186363767118903
2009-05-06,29.3,22.43,6.58,20.48,82.16,0.84,4.088261262442668
2009-05-07,26.91,22.63,7.45,14.95,88.41,0.95,2.957362448569474
2009-05-08,29.83,22.45,7.55,15.36,86.6,0.79,3.2151122292195646
2009-05-09,26.1,22.46,3.34,16.94,93.94,1.06,2.9898863622422023
2009-05-10,29.8,22.03,2.84,14.07,83.39,0.74,3.1273981715682186
2009-05-11,26.26,22.91,8.85,13.84,93.94,1.01,2.5710673692741888
2009-05-12,29.17,22.09,6.23,15.98,87.96,1.14,3.197723115903612
2009-05-13,28.72,21.98,34.13,17.39,87.44,1.33,3.3876568016663584
2009-05-14,28.21,22.41,17.37,12.56,88.26,1.17,2.6578329498574504
2009-05-15,28.01,21.86,10.14,17.59,90.08,1.51,3.2734627604861597
2009-05-16,27.02,22.64,7.34,15.1,90.98,0.85,2.869916639903049
2009-05-17,27.7,22.27,2.6,16.59,89.67,0.91,3.1428590578652082
2009-05-18,29.06,21.78,23.75,17.34,89.85,1.55,3.2933591646185154
2009-05-19,27.2,22.61,23.08,8.95,91.35,1.42,1.9869162710000492
2009-05-20,28.72,22.32,2.18,13.83,87.63,1.1,2.8705796438253546
2009-05-21,28.77,22.43,0.01,21.93,88.42,1.63,4.0085749826002655
2009-05-22,29.58,22.08,0.01,14.44,88.61,1.66,2.9491829469782886
2009-05-23,29.26,22.59,1.27,17.06,88.64,1.95,3.3311655690925166
2009-05-24,25.44,21.8,1.48,17.35,91.45,1.52,3.0337927330942565
2009-05-25,29.25,20.9,0.11,17.75,85.51,1.27,3.460286714418646
2009-05-26,28.78,22.87,0.17,17.64,87.09,0.95,3.4483006983539384
2009-05-27,29.7,21.88,0.14,18.48,86.53,1.28,3.595472587560864
2009-05-28,29.69,22.57,9.33,15.08,87.69,1.23,3.090064102355936
2009-05-29,29.4,22.78,18.52,15.38,90.66,1.43,3.016137766272424
2009-05-30,27.79,22.79,12.36,11.5,90.35,1.17,2.3972304051486413
2009-05-31,28.55,21.55,0.91,15.76,87.09,0.97,3.104907629162653
2009-06-01,29.44,21.3,3.62,19.61,81.39,0.84,3.8708121269282016
2009-06-02,29.9,22.26,0.39,15.63,83.11,0.66,3.3285833688938786
2009-06-03,29.26,22.27,5.42,16.33,87.63,1.12,3.22839571922988
2009-06-04,28.66,22.59,0.52,17.95,89.76,1.48,3.3642017040420886
2009-06-05,28.17,22.41,0.26,14.51,90.99,1.59,2.7955830111043243
2009-06-06,28.8,22.07,1.48,17.93,88.64,1.74,3.380988014698183
2009-06-07,28.12,22.66,0.25,20.35,88.56,1.68,3.710067494880584
2009-06-08,28.28,20.64,0.21,21.17,87.37,1.92,3.762879448688629
2009-06-09,27.52,20.79,0.03,19.84,88.8,1.88,3.4943624822975443
2009-06-10,27.79,20.75,0.1,17.05,89.21,1.59,3.119213233214847
2009-06-11,28.66,21.16,8.77,13.62,89.28,1.56,2.7062033453262475
2009-06-12,28.01,22.03,1.32,19.1,88.34,1.26,3.4975774671851965
2009-06-13,28.34,21.55,0.0,19.56,84.33,0.89,3.6877880551780526
2009-06-14,29.69,21.61,6.04,16.57,85.15,1.36,3.3352875536535933
2009-06-15,28.89,21.07,0.94,16.85,86.55,1.7,3.2553296489207413
2009-06-16,28.85,21.22,0.01,20.18,86.71,1.63,3.7099523407197053
2009-06-17,28.07,20.57,0.0,17.7,87.01,1.41,3.284155603791835
2009-06-18,29.34,20.69,0.24,21.04,85.72,1.34,3.865574205620787
2009-06-19,29.35,20.96,0.0,20.91,86.52,1.7,3.836543354609174
2009-06-20,28.92,20.85,0.0,19.8,87.38,1.98,3.6205853275642275
2009-06-21,29.02,19.94,0.0,21.06,87.44,1.98,3.751078925679332
2009-06-22,28.89,20.56,0.0,20.49,87.0,1.96,3.7102135501590334
2009-06-23,28.88,20.43,0.0,21.01,86.39,1.91,3.792771579170393
2009-06-24,29.53,20.65,0.14,19.63,87.45,1.66,3.6260034610226892
2009-06-25,28.97,21.57,0.05,19.23,88.43,1.91,3.5458795392727662
2009-06-26,29.28,20.89,0.09,19.73,86.69,1.71,3.6602039077337203
2009-06-27,29.37,20.63,0.05,20.2,87.0,1.85,3.7085196407280088
2009-06-28,29.32,20.71,0.0,19.42,87.34,1.8,3.5909316076729336
2009-06-29,29.27,20.58,0.0,20.47,86.61,1.82,3.7499481429026975
2009-06-30,29.19,21.15,0.02,20.48,86.36,1.82,3.7834667754755142
2009-07-01,29.2,20.94,0.08,21.42,86.54,1.77,3.897818758307651
2009-07-02,29.72,19.55,0.0,20.67,86.02,1.54,3.7798557361509535
2009-07-03,29.32,20.89,0.0,20.65,85.74,1.86,3.825561110109516
2009-07-04,29.4,20.76,0.01,20.27,86.66,1.88,3.7436614180795136
2009-07-05,28.78,20.3,0.0,20.41,86.01,2.04,3.719125986978932
2009-07-06,28.94,20.0,0.0,21.27,86.5,2.07,3.8166626686150384
2009-07-07,28.64,19.29,0.0,20.22,86.34,1.94,3.6270057073175956
2009-07-08,28.85,19.93,0.0,19.08,86.88,1.98,3.5028241562667173
2009-07-09,28.68,20.54,0.0,22.22,84.56,2.03,4.0192675684407595
2009-07-10,28.94,19.24,0.0,21.0,84.39,1.81,3.8162819923912155
2009-07-11,29.93,20.43,0.0,21.47,79.14,1.09,4.181132219203897
2009-07-12,29.81,21.1,0.0,21.49,80.61,1.28,4.165128532395929
2009-07-13,29.95,21.22,0.9,19.15,85.7,1.55,3.6929195162201953
2009-07-14,30.29,21.77,0.03,20.47,84.02,1.82,3.9884535229127107
2009-07-15,29.34,21.15,0.01,19.75,85.36,2.12,3.747717801404434
2009-07-16,29.14,20.65,0.0,20.93,84.66,2.06,3.896070666696504
2009-07-17,29.03,20.16,0.0,20.89,85.61,2.23,3.8296793390468977
2009-07-18,29.58,20.59,0.0,22.56,83.93,1.87,4.176883377150822
2009-07-19,29.53,19.75,0.0,22.18,82.38,1.4,4.127603264541283
2009-07-20,30.21,20.29,0.12,20.23,83.51,1.61,3.9058993490468867
2009-07-21,30.27,21.14,0.12,20.62,85.42,1.77,3.946320190010436
2009-07-22,30.02,21.81,0.01,18.19,85.8,1.93,3.6032816190519785
2009-07-23,29.55,21.61,1.82,16.99,89.12,1.65,3.2785122483129006
2009-07-24,29.0,22.06,1.8,14.26,86.16,1.81,2.987447878256449
2009-07-25,29.74,22.04,0.26,20.45,84.92,2.16,3.9572949282063643
2009-07-26,30.22,19.6,0.0,22.52,83.03,1.88,4.220464775128886
2009-07-27,30.37,19.6,0.0,21.89,82.0,1.55,4.181865871701562
