Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2021	23.30	29.58	0.92	4.3997
2	1	2021	23.35	28.71	2.68	3.7617
3	1	2021	23.47	28.51	6.69	3.5834
4	1	2021	23.69	27.89	9.57	3.7806
5	1	2021	23.22	30.52	1.12	4.1438
6	1	2021	22.59	32.08	2.29	4.5327
7	1	2021	24.24	32.15	1.99	5.0912
8	1	2021	24.02	30.24	2.23	4.1246
9	1	2021	23.51	30.28	4.14	3.7837
10	1	2021	24.10	29.20	1.59	3.8668
11	1	2021	23.49	30.13	1.31	3.6579
12	1	2021	23.38	27.46	11.53	3.2745
13	1	2021	22.43	30.63	9.33	3.7686
14	1	2021	23.37	30.32	4.67	3.8121
15	1	2021	23.95	29.54	2.16	3.7169
16	1	2021	23.54	30.36	2.51	3.5755
17	1	2021	23.76	30.30	1.17	4.0992
18	1	2021	23.18	30.64	0.94	3.5246
19	1	2021	22.83	28.99	5.26	3.1912
20	1	2021	21.95	26.52	2.80	1.9750
21	1	2021	21.48	28.07	0.32	2.5429
22	1	2021	21.35	31.27	8.27	3.8817
23	1	2021	22.83	29.88	0.41	4.0341
24	1	2021	21.33	32.49	0.00	5.0057
25	1	2021	21.36	32.51	0.52	4.6682
26	1	2021	22.78	29.69	4.31	4.0648
27	1	2021	23.43	28.74	16.61	3.6128
28	1	2021	22.62	28.84	8.08	3.3940
29	1	2021	23.13	27.89	1.40	3.7310
30	1	2021	22.24	30.64	2.04	3.0667
31	1	2021	21.85	32.74	0.10	4.4207
1	2	2021	23.33	32.56	0.21	5.0714
2	2	2021	23.53	33.34	0.06	4.9130
3	2	2021	23.87	33.29	0.01	5.3247
4	2	2021	23.75	32.62	0.00	4.9744
5	2	2021	24.68	29.98	0.00	4.5387
6	2	2021	23.32	32.93	0.00	5.1681
7	2	2021	24.10	30.86	1.43	4.7138
8	2	2021	23.46	30.73	5.03	3.5530
9	2	2021	22.91	27.19	3.89	2.9590
10	2	2021	21.90	31.89	0.04	4.4182
