date,tmax,tmin,prec,rs,rh,u2_obs,eto
2010-01-01,26.78,21.61,24.69,10.52,90.32,1.62,2.2961488088752318
2010-01-02,27.26,21.62,13.53,10.25,87.91,1.25,2.369224568705748
2010-01-03,27.84,21.5,9.45,16.72,84.97,0.82,3.4402194533584844
2010-01-04,29.02,22.6,0.92,19.59,85.42,1.71,3.9644673382022044
2010-01-05,31.34,21.79,0.07,20.56,82.24,1.73,4.3395169938377185
2010-01-06,30.82,23.14,0.19,23.07,80.69,1.59,4.814035529881284
2010-01-07,29.9,22.77,10.98,18.04,85.51,1.28,3.785772509332278
2010-01-08,28.5,22.53,6.32,10.83,87.49,2.03,2.5364892256168843
2010-01-09,30.01,20.73,0.43,17.76,85.25,1.84,3.672639950496651
2010-01-10,30.81,21.66,0.01,20.44,78.66,1.77,4.407789210269642
2010-01-11,31.08,20.93,9.51,20.47,79.88,1.63,4.353734345994813
2010-01-12,29.21,23.63,13.06,17.36,84.91,1.53,3.7045657626688224
2010-01-13,29.81,22.37,3.09,11.84,83.46,0.96,2.899996285979691
2010-01-14,31.83,22.06,0.35,23.41,79.53,1.53,4.929667538645282
2010-01-15,31.33,22.68,0.13,21.59,80.14,1.48,4.621912651315301
2010-01-16,32.46,22.84,0.01,22.66,79.44,2.11,4.909542281705192
2010-01-17,32.57,23.29,0.0,20.92,76.53,2.13,4.769150108539743
2010-01-18,32.4,23.66,0.03,21.96,74.98,1.77,4.993725556154645
2010-01-19,32.98,23.41,0.31,23.2,74.45,1.38,5.240995634861941
2010-01-20,32.87,24.49,1.59,17.48,74.39,1.76,4.3804694201874055
2010-01-21,32.85,23.34,2.1,18.84,75.5,1.87,4.503395857550188
2010-01-22,32.69,23.07,0.12,22.49,73.99,1.63,5.105194758035161
2010-01-23,31.43,23.97,1.75,17.99,77.59,1.49,4.2266283365591075
2010-01-24,29.81,23.06,9.88,18.69,83.86,1.04,3.962366944992725
2010-01-25,31.15,22.89,4.25,12.01,82.42,1.1,3.0425454041936875
2010-01-26,30.47,23.3,9.2,20.01,81.48,0.74,4.306824227933387
2010-01-27,30.62,23.65,13.62,16.31,82.17,0.68,3.7289525517350772
2010-01-28,29.04,23.99,29.77,15.03,88.63,1.44,3.211766164856671
2010-01-29,29.5,22.48,20.59,15.98,87.41,1.57,3.371485610348252
2010-01-30,29.61,22.97,3.57,21.24,87.5,1.51,4.21287399366676
2010-01-31,30.04,23.72,0.01,20.72,85.55,1.3,4.268000335547177
2010-02-01,28.29,23.94,6.13,19.67,90.68,0.97,3.8244590389816637
2010-02-02,28.4,23.83,3.42,13.3,90.81,1.44,2.8231575586019555
2010-02-03,29.77,22.86,0.15,22.58,86.91,1.92,4.448817948968001
2010-02-04,30.9,23.25,0.01,24.9,84.08,1.82,5.017084762130026
2010-02-05,30.8,23.45,0.51,24.32,85.37,1.56,4.886926545296895
2010-02-06,29.77,23.87,2.19,17.49,86.97,1.64,3.6981813274818336
2010-02-07,28.17,23.43,2.97,15.08,84.18,1.54,3.334069447516823
2010-02-08,30.08,22.43,11.59,3.73,85.01,1.3,1.6022680907060658
2010-02-09,26.0,22.47,8.64,12.65,88.75,1.66,2.675689255076088
2010-02-10,31.19,21.4,6.69,19.43,82.55,1.62,4.141588291142146
2010-02-11,30.7,22.73,4.12,13.31,83.93,1.19,3.163220786207501
2010-02-12,29.53,23.11,16.2,15.79,85.95,1.41,3.4279006619080943
2010-02-13,29.73,21.63,0.48,19.17,82.07,1.68,4.036556538406355
2010-02-14,31.02,22.58,4.52,19.24,83.78,1.38,4.110136747286364
2010-02-15,28.75,23.57,2.43,19.07,89.72,1.51,3.7764735371785814
2010-02-16,30.69,22.46,2.12,17.22,85.12,1.63,3.7180784516934957
2010-02-17,31.67,22.81,0.28,18.78,83.7,1.67,4.092105374001684
2010-02-18,32.23,23.39,0.01,20.43,81.71,1.75,4.495277028364071
2010-02-19,32.28,23.26,0.05,22.19,80.93,2.04,4.803525571692002
2010-02-20,30.8,24.75,2.81,19.88,83.87,1.56,4.29981069828815
2010-02-21,27.39,22.81,34.95,3.89,92.42,1.43,1.2601528491486529
2010-02-22,28.87,22.26,4.95,17.4,88.08,0.9,3.5260632520820105
2010-02-23,30.7,23.32,1.27,21.0,86.0,1.39,4.322607927802949
2010-02-24,29.37,23.64,6.82,9.07,90.23,1.43,2.2066929149765775
2010-02-25,29.65,23.64,6.63,17.17,87.93,1.09,3.5951315378796824
2010-02-26,30.97,23.12,18.7,23.5,84.89,1.15,4.7665282952672925
2010-02-27,29.26,23.86,27.15,14.43,89.76,1.5,3.0793740992494576
2010-02-28,29.49,23.64,6.4,9.64,87.2,0.99,2.4301335834540154
2010-03-01,29.37,23.74,0.1,21.02,82.97,0.76,4.363561072378312
2010-03-02,32.0,23.44,0.0,22.08,79.9,1.38,4.806465390957311
2010-03-03,31.61,23.43,17.07,21.09,84.92,1.55,4.440337388222257
2010-03-04,31.34,23.38,2.46,22.29,85.5,1.4,4.590889225780497
2010-03-05,30.84,23.71,11.83,21.6,85.38,1.02,4.465820883707516
2010-03-06,31.12,23.6,28.15,19.83,83.77,0.96,4.252987470969411
