Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2018	23.06	32.90	0.14	4.8317
2	1	2018	22.98	33.15	1.26	4.9752
3	1	2018	23.92	32.92	2.77	4.6503
4	1	2018	23.59	28.85	4.87	3.8434
5	1	2018	22.28	30.07	3.72	3.6343
6	1	2018	22.10	29.17	6.46	3.6633
7	1	2018	22.19	28.20	4.40	4.1738
8	1	2018	21.17	30.66	0.94	4.7861
9	1	2018	23.08	29.36	6.20	4.3495
10	1	2018	22.33	29.84	2.33	4.7954
11	1	2018	22.21	28.71	6.76	4.0102
12	1	2018	22.65	30.45	3.84	4.2044
13	1	2018	23.25	30.26	2.00	4.1515
14	1	2018	22.74	28.41	2.87	3.8796
15	1	2018	22.59	27.66	1.92	3.5775
16	1	2018	22.31	30.15	0.22	4.7257
17	1	2018	21.92	31.84	0.17	4.8578
18	1	2018	23.33	28.32	3.51	3.6539
19	1	2018	22.88	28.73	1.02	3.3154
20	1	2018	22.13	32.54	0.35	4.8223
21	1	2018	22.27	32.18	3.41	4.6305
22	1	2018	22.78	32.16	0.45	4.4371
23	1	2018	22.87	32.62	0.31	4.9844
24	1	2018	23.26	33.56	0.01	5.0665
25	1	2018	24.17	31.45	3.23	4.0458
26	1	2018	22.68	32.01	21.29	4.4847
27	1	2018	23.47	27.50	6.82	2.4739
28	1	2018	22.37	30.80	6.05	2.8250
29	1	2018	23.13	31.39	2.77	4.2753
30	1	2018	22.54	31.87	3.62	4.4819
31	1	2018	23.67	30.72	2.72	4.2301
1	2	2018	23.63	30.61	1.92	3.2680
2	2	2018	22.86	30.04	31.73	3.3376
3	2	2018	23.41	28.58	4.06	3.3352
4	2	2018	22.55	28.44	7.94	2.9449
5	2	2018	20.84	30.29	15.21	3.2555
6	2	2018	23.00	27.25	28.98	1.8206
7	2	2018	22.46	30.12	7.12	2.7539
8	2	2018	23.46	28.31	13.65	3.8067
9	2	2018	22.68	30.30	12.63	2.2605
10	2	2018	23.30	30.12	3.00	3.4939
11	2	2018	22.75	30.04	10.27	4.1577
12	2	2018	22.85	28.37	7.10	3.8849
13	2	2018	22.08	28.82	4.20	3.9370
14	2	2018	22.77	28.78	10.43	3.7684
15	2	2018	22.99	27.51	14.45	3.8175
16	2	2018	22.04	30.66	0.36	4.2462
17	2	2018	23.29	29.18	12.45	3.4237
18	2	2018	21.99	28.80	4.23	3.4573
19	2	2018	22.60	28.29	13.46	3.2241
20	2	2018	22.66	27.20	2.87	2.8658
21	2	2018	22.90	26.95	52.51	3.2219
22	2	2018	22.29	25.53	26.36	2.8107
23	2	2018	20.86	29.63	5.91	3.6246
24	2	2018	22.76	27.41	3.74	4.0205
25	2	2018	21.75	27.92	15.75	2.4499
26	2	2018	21.51	28.61	12.15	4.3765
27	2	2018	22.00	29.79	3.98	4.0694
28	2	2018	22.07	28.79	6.13	4.2494
1	3	2018	21.79	29.00	7.06	3.2676
2	3	2018	21.40	29.14	8.19	3.6872
3	3	2018	21.05	30.76	1.04	4.8895
4	3	2018	23.17	31.06	1.56	4.4400
5	3	2018	23.41	28.36	6.39	3.0444
6	3	2018	22.37	30.08	2.96	4.0947
7	3	2018	22.99	29.30	8.83	3.7468
8	3	2018	23.24	27.77	25.38	3.2602
9	3	2018	22.76	28.69	30.91	3.3402
10	3	2018	22.95	29.77	3.17	3.7375
11	3	2018	22.29	30.71	2.17	3.7430
12	3	2018	23.96	29.67	3.89	3.9411
13	3	2018	22.89	28.02	4.65	3.3394
14	3	2018	22.04	29.76	25.93	3.4932
15	3	2018	22.58	29.82	25.08	3.9091
16	3	2018	23.17	30.91	9.19	4.4261
17	3	2018	24.17	30.99	2.55	4.8788
18	3	2018	23.26	29.85	5.46	4.5039
19	3	2018	23.12	29.05	5.34	3.7951
20	3	2018	23.29	29.46	1.92	3.7390
21	3	2018	23.46	29.84	0.57	4.3677
22	3	2018	23.46	28.31	5.76	3.5024
23	3	2018	22.76	26.59	15.08	1.3260
24	3	2018	21.69	29.60	0.53	3.8991
25	3	2018	22.31	28.73	5.62	2.5286
26	3	2018	21.61	28.09	2.34	3.1225
27	3	2018	21.68	30.52	1.66	4.6222
28	3	2018	23.06	29.44	2.77	3.7814
29	3	2018	22.50	31.20	0.69	3.8321
30	3	2018	23.71	29.15	2.69	3.2577
31	3	2018	23.16	29.92	0.22	3.9148
1	4	2018	23.14	30.60	3.76	4.1270
2	4	2018	23.45	27.53	3.17	3.4720
3	4	2018	22.54	29.33	0.50	3.5803
4	4	2018	21.41	30.28	1.75	3.8415
5	4	2018	23.05	27.01	17.74	3.6697
