date,tmax,tmin,prec,rs,rh,u2_obs,eto
2007-01-01,29.62,22.98,8.45,20.84,79.82,1.2,4.4064384501777205
2007-01-02,31.13,22.93,1.65,21.47,77.25,1.03,4.695900427882145
2007-01-03,32.02,23.77,0.28,18.87,78.46,1.15,4.35264488136591
2007-01-04,31.07,23.93,0.29,15.26,80.13,1.64,3.670208333564431
2007-01-05,28.05,22.83,0.12,19.86,82.53,1.38,4.058840086769387
2007-01-06,31.49,21.05,0.01,22.65,76.4,1.03,4.835172316661318
2007-01-07,30.39,23.99,0.17,13.41,78.36,0.77,3.423124426759279
2007-01-08,31.08,23.36,6.98,20.19,81.85,0.89,4.356295261274276
2007-01-09,31.03,23.14,1.05,19.41,79.53,1.19,4.305106101255932
2007-01-10,31.73,24.02,0.75,18.02,80.06,1.64,4.153119517849656
2007-01-11,30.85,22.88,39.87,20.29,83.6,1.19,4.27119216268257
2007-01-12,29.8,23.9,4.54,11.93,83.91,0.89,2.9394435201620293
2007-01-13,30.62,23.05,2.55,16.92,83.46,1.46,3.7443912554163177
2007-01-14,31.22,22.85,1.42,13.75,80.86,1.58,3.377364315668228
2007-01-15,31.82,21.63,0.07,18.84,78.56,1.52,4.2403089552951805
2007-01-16,32.4,23.2,0.47,21.4,76.19,1.43,4.838664588842658
2007-01-17,32.25,23.14,10.99,22.73,77.99,1.65,4.970593978807623
2007-01-18,32.1,23.3,5.85,22.14,76.63,1.19,4.922268869147557
2007-01-19,32.77,23.97,4.92,17.9,75.24,1.34,4.3855125640546655
2007-01-20,31.65,23.78,2.33,21.26,80.72,1.88,4.633084343166458
2007-01-21,30.39,23.5,8.23,24.19,78.1,1.52,5.068161796795182
2007-01-22,32.02,22.46,6.65,21.75,77.54,1.43,4.78233750681512
2007-01-23,32.28,23.51,2.11,21.31,76.57,1.38,4.821832381265383
2007-01-24,31.64,23.66,0.3,19.03,78.52,1.63,4.355064717923043
2007-01-25,32.53,23.86,0.12,20.29,72.07,1.67,4.85993296009052
2007-01-26,32.7,23.83,0.92,21.42,75.67,1.4,4.921061333962027
2007-01-27,31.99,24.0,5.34,20.44,79.75,1.02,4.575810367767651
2007-01-28,31.04,23.0,3.11,17.04,86.11,1.39,3.6889973537370477
2007-01-29,32.08,22.36,1.07,18.66,79.31,1.26,4.240339116654636
2007-01-30,30.41,23.86,0.85,15.19,81.37,1.24,3.5831690784945334
2007-01-31,31.53,22.67,11.59,19.78,79.11,0.73,4.40008064732445
2007-02-01,30.43,23.11,22.01,16.03,85.21,1.38,3.5370749758400133
2007-02-02,29.68,23.71,2.64,18.6,82.72,1.28,4.0167103692267645
2007-02-03,29.61,23.0,1.59,18.42,83.6,1.31,3.9199762571506103
2007-02-04,30.48,23.08,4.39,12.82,82.51,1.14,3.1453209021286286
2007-02-05,27.4,23.37,12.14,12.63,88.67,1.18,2.754277817878906
2007-02-06,31.03,22.31,8.11,18.49,83.32,1.12,3.996802439999842
2007-02-07,29.36,23.51,11.35,7.48,85.21,1.01,2.174156038917872
2007-02-08,28.33,22.46,12.94,16.15,85.77,1.28,3.4039636218477805
2007-02-09,30.16,22.71,0.17,16.69,80.86,0.89,3.778754715408705
2007-02-10,31.22,22.45,0.16,22.06,76.6,1.66,4.809726662678167
2007-02-11,30.36,23.08,2.11,16.0,82.11,1.41,3.650591394679353
2007-02-12,29.72,23.01,11.25,16.69,85.45,1.63,3.5924456397234854
2007-02-13,30.4,21.58,15.51,14.43,83.7,1.03,3.2940004247954393
2007-02-14,29.12,23.23,6.21,16.58,87.86,1.22,3.4618630378160278
2007-02-15,29.55,22.18,14.2,18.68,85.09,1.51,3.8667246515859244
2007-02-16,29.69,22.97,23.26,14.49,83.87,0.91,3.3111920305752305
2007-02-17,29.16,22.65,0.89,15.14,85.05,1.28,3.327695131096122
2007-02-18,27.81,22.7,9.55,16.84,88.07,1.09,3.4062754900054144
2007-02-19,27.37,21.47,16.99,15.15,89.15,2.69,3.0458565254304326
2007-02-20,28.27,21.12,11.52,13.17,87.74,1.61,2.835230312053891
2007-02-21,28.26,22.25,3.51,20.49,83.32,1.23,4.1250517865141205
2007-02-22,29.67,21.51,45.14,8.87,84.51,0.93,2.386721656226094
2007-02-23,28.51,21.83,9.46,21.7,88.13,1.27,4.132762378562884
2007-02-24,30.13,21.5,2.75,24.49,84.69,1.57,4.768766084848125
2007-02-25,30.14,21.69,5.69,21.66,85.89,1.58,4.306434922119178
2007-02-26,30.7,21.82,0.98,20.16,86.63,1.71,4.091836068728821
2007-02-27,28.72,22.86,4.71,19.36,85.51,1.53,3.935318156676686
2007-02-28,31.05,21.55,3.23,21.47,82.91,1.7,4.437925626541647
2007-03-01,30.16,22.24,11.42,21.16,85.62,1.73,4.2667766672481555
2007-03-02,29.96,22.28,6.61,19.71,85.93,2.45,4.020219946667758
2007-03-03,30.73,21.82,0.33,19.71,82.58,1.65,4.168907789855957
2007-03-04,30.67,21.99,0.15,18.64,82.01,1.8,4.029300045133916
2007-03-05,28.74,23.04,3.58,18.44,86.57,1.69,3.763357525962068
2007-03-06,30.22,21.77,1.41,15.77,83.71,1.84,3.4908106956277813
2007-03-07,30.55,21.98,3.51,21.43,84.57,1.52,4.354781760056481
2007-03-08,29.2,23.21,0.58,18.59,86.23,1.27,3.8306732955214136
2007-03-09,28.57,22.58,5.22,18.07,87.28,0.93,3.6478575848255326
2007-03-10,29.87,22.5,13.92,18.04,84.47,1.04,3.815932922510532
2007-03-11,30.39,22.53,0.77,17.32,85.46,0.97,3.697767176711098
2007-03-12,26.45,22.73,16.22,17.48,91.36,1.29,3.305287556368858
2007-03-13,29.86,21.63,5.77,9.48,86.18,1.64,2.4099606215672886
2007-03-14,29.72,22.09,9.16,13.12,82.62,1.26,3.114495114682965
2007-03-15,29.92,23.0,14.07,18.62,82.9,0.96,3.983067545379755
2007-03-16,28.17,22.17,4.42,16.6,87.04,0.93,3.390931808173401
2007-03-17,30.35,23.11,0.33,22.21,82.61,1.28,4.577110685742045
2007-03-18,30.35,22.03,0.87,18.59,84.32,1.43,3.9047694258983237
2007-03-19,30.18,22.94,11.4,18.13,81.47,0.85,3.9686552246014504
2007-03-20,30.04,22.87,4.77,20.74,82.26,0.81,4.32446861324849
2007-03-21,29.73,22.45,5.28,17.76,86.21,0.96,3.685876979520122
2007-03-22,29.43,23.0,1.92,15.66,86.28,1.09,3.366656574555719
2007-03-23,27.84,22.64,0.12,15.03,88.44,1.27,3.0990279749033403
2007-03-24,30.47,21.96,0.0,23.49,84.91,1.62,4.6288477796704655
2007-03-25,30.64,22.53,0.19,19.61,84.05,1.47,4.102164069579417
2007-03-26,30.88,23.28,0.54,19.16,82.59,1.44,4.134709981205842
2007-03-27,30.54,23.16,1.89,19.73,85.44,0.96,4.0912145661289125
