Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2022	21.02	29.47	3.30	3.4766
2	1	2022	22.10	28.66	87.19	3.5792
3	1	2022	22.70	26.52	24.35	2.0490
4	1	2022	21.28	29.11	0.86	3.5062
5	1	2022	21.77	28.27	2.54	2.9703
6	1	2022	22.53	29.01	12.57	3.8802
7	1	2022	21.66	29.16	2.92	4.1848
8	1	2022	21.97	27.94	0.95	3.7736
9	1	2022	21.93	28.76	1.23	3.2458
10	1	2022	22.26	26.63	3.11	3.0803
11	1	2022	21.35	28.75	9.75	3.9097
12	1	2022	22.42	26.54	9.57	2.5146
13	1	2022	22.05	28.54	1.71	3.7876
14	1	2022	21.18	27.61	5.37	4.0653
15	1	2022	21.48	27.76	11.67	3.4634
16	1	2022	20.94	27.85	25.02	4.2092
17	1	2022	21.00	29.53	4.54	3.9561
18	1	2022	21.56	27.66	3.46	2.8415
19	1	2022	20.42	29.24	0.33	3.8166
20	1	2022	21.45	29.29	0.10	4.3721
21	1	2022	21.71	30.16	0.03	4.4361
22	1	2022	22.64	29.42	1.24	4.4254
23	1	2022	22.67	27.71	10.65	3.8804
24	1	2022	22.38	28.83	3.96	3.3523
25	1	2022	21.34	29.38	0.23	4.0631
26	1	2022	21.88	26.27	6.05	3.2569
27	1	2022	21.94	27.22	25.35	1.8123
28	1	2022	20.79	26.61	1.24	2.8148
29	1	2022	20.69	26.87	7.38	2.6847
30	1	2022	21.10	27.36	5.23	3.8082
31	1	2022	21.56	28.65	6.96	3.1864
1	2	2022	22.18	27.96	2.77	3.9966
2	2	2022	22.28	28.98	2.28	4.0815
3	2	2022	22.55	27.96	1.52	3.9181
4	2	2022	22.01	28.20	4.54	3.1664
5	2	2022	22.37	29.86	1.15	3.3556
6	2	2022	21.54	29.46	2.45	4.0516
7	2	2022	22.72	29.00	3.18	4.0116
8	2	2022	22.73	29.94	0.73	4.0864
9	2	2022	22.52	29.70	0.94	3.7525
10	2	2022	23.04	27.39	8.70	3.5844
11	2	2022	22.49	28.87	2.59	4.2827
12	2	2022	20.54	29.29	2.70	4.1411
13	2	2022	21.64	28.54	5.95	2.8690
14	2	2022	21.59	27.93	5.80	3.9100
15	2	2022	21.49	28.71	7.16	3.4689
16	2	2022	22.19	25.55	52.40	1.6568
17	2	2022	21.36	26.98	1.68	3.9789
18	2	2022	20.34	28.91	1.09	4.4088
19	2	2022	22.46	25.74	23.00	2.8405
20	2	2022	20.74	27.50	5.78	3.4224
21	2	2022	20.45	30.01	1.03	4.1610
22	2	2022	22.55	29.63	3.88	3.8618
23	2	2022	22.70	28.09	6.65	3.4769
24	2	2022	22.10	29.19	1.84	4.0932
25	2	2022	22.88	27.45	1.64	2.4368
26	2	2022	22.58	27.82	3.41	3.8050
27	2	2022	22.34	29.01	3.02	4.0425
28	2	2022	22.14	27.75	15.32	3.6404
1	3	2022	21.01	28.00	3.14	3.6665
2	3	2022	22.43	27.15	0.49	2.6641
3	3	2022	21.61	27.84	8.37	3.4612
4	3	2022	21.94	29.45	6.62	3.6637
5	3	2022	22.11	27.08	22.57	3.8403
6	3	2022	20.97	26.19	3.98	3.2505
7	3	2022	20.55	29.44	3.87	3.8053
8	3	2022	22.01	29.47	2.18	4.7061
9	3	2022	21.76	29.73	3.25	3.1677
10	3	2022	21.14	29.33	11.71	3.0072
11	3	2022	22.67	26.75	5.04	3.1634
12	3	2022	22.34	28.27	1.74	4.2314
13	3	2022	21.82	30.00	1.17	4.3381
14	3	2022	22.78	29.87	0.60	3.8767
15	3	2022	22.13	27.93	27.39	3.0445
16	3	2022	20.94	27.68	1.70	3.6154
17	3	2022	21.83	28.94	5.52	3.9800
18	3	2022	22.11	29.03	14.77	2.8360
19	3	2022	22.04	26.38	2.43	2.9052
20	3	2022	21.17	28.60	1.58	4.1996
