date,tmax,tmin,prec,rs,rh,u2_obs,eto
2017-01-01,29.0,22.87,1.49,15.31,81.98,0.73,3.4584313095513766
2017-01-02,29.51,22.73,0.59,10.28,82.42,0.99,2.7032121508680502
2017-01-03,29.91,22.9,0.69,14.98,82.4,1.1,3.439320084762178
2017-01-04,30.79,22.84,1.42,19.87,80.29,1.54,4.315966713760571
2017-01-05,30.8,23.25,4.12,16.03,80.66,2.0,3.7289847423586395
2017-01-06,31.71,22.24,0.72,18.85,76.32,1.38,4.340042695254723
2017-01-07,30.41,23.17,0.23,17.45,75.56,0.92,4.114345188609321
2017-01-08,30.82,22.68,0.25,17.53,76.02,1.13,4.1137631841491435
2017-01-09,28.5,22.99,1.43,15.93,85.23,1.56,3.409909032313747
2017-01-10,32.01,21.46,0.13,19.45,76.0,1.38,4.430964625090781
2017-01-11,32.89,23.17,5.63,18.48,73.99,1.91,4.494015334840492
2017-01-12,30.0,23.1,0.56,22.71,81.13,1.36,4.683140885164418
2017-01-13,32.04,22.53,19.22,20.27,76.04,0.91,4.607217757810634
2017-01-14,27.58,23.69,21.19,8.3,91.22,1.23,1.997825242646908
2017-01-15,30.08,23.1,0.64,19.44,82.59,0.7,4.138219995631315
2017-01-16,29.64,23.3,9.59,19.7,85.15,1.02,4.068783882397855
2017-01-17,28.95,23.53,10.37,13.0,87.83,1.53,2.902648772045267
2017-01-18,26.23,22.39,46.7,10.08,90.75,1.25,2.222399190520665
2017-01-19,28.9,21.82,0.05,16.18,85.8,1.03,3.4034778260872645
2017-01-20,30.43,21.93,2.31,22.61,83.2,1.51,4.569624037815221
2017-01-21,30.53,21.86,5.71,20.96,83.43,1.28,4.313526761867203
2017-01-22,30.23,23.21,6.96,15.46,85.85,1.15,3.41262244075692
2017-01-23,27.97,23.52,24.44,19.23,90.98,1.25,3.7027153584418055
2017-01-24,26.95,22.76,22.03,3.95,88.24,1.26,1.4502742395065342
2017-01-25,29.98,22.21,7.26,16.26,85.54,0.98,3.498959649880377
2017-01-26,29.56,22.82,4.34,19.05,84.49,1.15,3.96937658210988
2017-01-27,28.43,23.35,3.07,21.02,88.31,1.32,4.093306279032644
2017-01-28,29.14,22.29,1.6,16.83,87.96,1.44,3.454920487505178
2017-01-29,28.14,22.75,1.59,18.3,89.54,1.02,3.588030045563574
