date,tmax,tmin,prec
2021-01-01,28.89,22.37,1.09
2021-01-02,27.91,22.53,2.14
2021-01-03,27.35,22.84,6.6
2021-01-04,27.45,22.87,6.93
2021-01-05,30.49,22.4,1.05
2021-01-06,31.08,22.38,1.89
2021-01-07,31.02,23.07,1.26
2021-01-08,30.33,23.35,1.15
2021-01-09,29.81,23.01,2.24
2021-01-10,28.32,23.42,2.48
2021-01-11,30.02,22.53,4.93
2021-01-12,26.77,22.58,10.82
2021-01-13,30.27,21.61,7.99
2021-01-14,29.03,22.65,5.99
2021-01-15,27.75,22.61,2.58
2021-01-16,28.33,22.82,1.76
2021-01-17,28.6,22.65,0.7
2021-01-18,29.2,22.47,1.34
2021-01-19,29.18,22.1,5.53
2021-01-20,25.72,20.88,1.57
2021-01-21,26.83,21.12,0.9
2021-01-22,30.38,21.34,6.85
2021-01-23,28.57,22.01,0.46
2021-01-24,31.38,20.41,0.13
2021-01-25,31.24,21.24,2.83
2021-01-26,28.51,22.38,5.12
2021-01-27,28.31,22.84,16.11
2021-01-28,27.5,22.02,10.57
2021-01-29,27.12,22.16,1.68
2021-01-30,29.55,21.46,3.75
2021-01-31,31.41,21.31,0.22
2021-02-01,31.39,21.55,0.24
2021-02-02,32.2,22.35,0.09
2021-02-03,31.74,22.69,0.01
2021-02-04,32.1,22.42,0.02
2021-02-05,30.28,24.02,0.0
2021-02-06,32.43,22.39,0.0
2021-02-07,30.45,23.13,2.03
2021-02-08,30.32,22.85,5.88
2021-02-09,26.79,22.39,7.25
2021-02-10,30.71,21.16,0.42
2021-02-11,29.98,22.75,16.11
2021-02-12,27.89,23.01,14.15
2021-02-13,28.0,22.44,3.4
2021-02-14,29.03,22.82,9.86
2021-02-15,26.59,22.69,37.01
2021-02-16,27.07,21.81,5.25
2021-02-17,28.29,21.56,11.78
2021-02-18,27.46,22.06,22.1
2021-02-19,26.29,21.77,3.24
2021-02-20,26.62,21.98,2.29
2021-02-21,29.29,21.84,1.86
2021-02-22,27.42,21.59,14.87
2021-02-23,26.67,21.68,14.62
2021-02-24,28.82,21.47,2.26
2021-02-25,27.05,22.44,15.33
2021-02-26,25.55,21.86,32.08
2021-02-27,29.62,21.34,7.99
2021-02-28,30.03,21.05,2.39
2021-03-01,26.77,22.09,15.15
2021-03-02,27.48,21.16,17.07
2021-03-03,28.54,21.69,1.6
2021-03-04,28.77,21.48,2.24
2021-03-05,28.35,22.04,1.21
2021-03-06,29.08,22.08,1.47
2021-03-07,29.19,22.15,1.9
2021-03-08,30.14,21.7,0.49
2021-03-09,28.49,22.78,2.34
2021-03-10,29.21,21.87,1.57
2021-03-11,29.7,22.47,2.62
2021-03-12,29.18,21.98,6.7
2021-03-13,29.84,21.93,7.4
2021-03-14,30.2,22.85,7.56
2021-03-15,28.85,23.1,15.68
2021-03-16,29.1,21.91,4.03
2021-03-17,28.88,21.87,7.46
2021-03-18,28.76,21.98,8.44
2021-03-19,25.21,21.65,25.74
2021-03-20,28.43,20.74,16.04
2021-03-21,28.02,22.02,4.62
2021-03-22,25.73,21.8,4.87
2021-03-23,29.66,20.38,0.79
2021-03-24,28.75,22.26,10.37
2021-03-25,25.75,21.66,30.31
2021-03-26,28.55,21.02,22.72
2021-03-27,27.87,21.6,11.53
2021-03-28,27.79,21.88,0.64
2021-03-29,29.39,21.09,0.29
2021-03-30,29.19,22.89,0.24
2021-03-31,28.09,22.49,2.26
2021-04-01,29.26,21.97,17.67
2021-04-02,28.85,21.75,3.18
2021-04-03,29.45,22.42,0.15
2021-04-04,30.29,22.45,0.03
2021-04-05,29.27,23.34,1.19
2021-04-06,30.61,22.46,0.25
2021-04-07,30.85,21.72,0.0
2021-04-08,29.88,22.05,0.08
2021-04-09,29.73,22.15,1.16
2021-04-10,29.84,22.67,0.68
2021-04-11,28.95,22.17,1.34
2021-04-12,30.18,22.09,0.4
2021-04-13,30.32,22.41,3.43
2021-04-14,29.05,23.05,2.32
2021-04-15,28.08,22.84,4.34
2021-04-16,29.52,22.37,2.84
2021-04-17,28.5,22.02,1.75
2021-04-18,27.22,21.57,8.23
2021-04-19,24.96,21.25,9.89
2021-04-20,28.33,20.78,0.47
2021-04-21,28.19,21.58,5.39
2021-04-22,29.32,21.82,5.66
2021-04-23,26.65,22.12,1.61
2021-04-24,29.52,22.16,1.0
2021-04-25,29.93,21.73,4.71
2021-04-26,29.81,22.24,3.0
2021-04-27,30.18,22.54,3.64
2021-04-28,26.26,22.66,8.98
2021-04-29,29.72,21.4,1.29
2021-04-30,28.66,22.71,7.04
2021-05-01,28.11,22.45,2.38
2021-05-02,29.39,21.8,0.16
2021-05-03,29.64,21.65,0.04
2021-05-04,27.89,21.99,12.29
2021-05-05,27.13,21.01,8.04
2021-05-06,28.81,21.94,1.64
2021-05-07,29.47,21.6,0.73
2021-05-08,29.66,21.89,1.78
2021-05-09,29.6,23.23,0.55
2021-05-10,30.04,22.58,0.1
2021-05-11,29.79,22.34,0.0
2021-05-12,29.98,22.2,0.0
2021-05-13,29.84,22.7,0.1
2021-05-14,28.6,21.96,0.28
2021-05-15,27.63,21.57,0.62
2021-05-16,29.57,20.73,0.12
2021-05-17,28.57,23.14,0.09
2021-05-18,30.11,21.68,0.32
2021-05-19,30.57,22.46,0.23
2021-05-20,30.16,22.27,1.08
2021-05-21,30.93,22.61,0.14
2021-05-22,31.08,23.19,0.5
2021-05-23,31.22,22.89,0.19
2021-05-24,31.2,23.04,0.0
2021-05-25,32.1,23.4,0.0
2021-05-26,32.35,22.97,0.0
2021-05-27,32.01,22.12,0.0
2021-05-28,31.78,21.95,0.0
2021-05-29,31.53,21.9,0.37
2021-05-30,32.58,22.5,0.05
2021-05-31,32.3,22.41,0.0
2021-06-01,31.67,22.09,0.0
2021-06-02,32.11,22.25,0.03
2021-06-03,32.06,23.5,1.55
2021-06-04,31.7,22.63,0.16
2021-06-05,31.56,22.02,0.01
2021-06-06,32.32,22.6,0.0
2021-06-07,32.95,22.12,0.0
2021-06-08,32.3,22.91,0.04
2021-06-09,31.34,23.36,1.67
2021-06-10,30.33,23.13,1.8
2021-06-11,30.01,22.89,0.84
2021-06-12,30.21,21.92,0.25
2021-06-13,31.59,22.44,0.65
2021-06-14,30.35,22.77,1.32
2021-06-15,31.26,22.97,0.15
2021-06-16,32.86,21.78,0.01
2021-06-17,32.42,22.49,0.3
2021-06-18,31.76,22.25,0.09
2021-06-19,32.38,22.13,0.01
2021-06-20,33.21,21.64,0.0
2021-06-21,33.36,21.02,0.05
2021-06-22,32.99,21.99,0.02
2021-06-23,32.66,22.56,0.41
2021-06-24,31.54,22.73,5.07
2021-06-25,31.86,21.69,0.41
2021-06-26,32.26,22.11,0.03
2021-06-27,32.54,22.07,0.0
2021-06-28,33.28,21.2,0.01
2021-06-29,33.2,20.6,0.0
2021-06-30,33.47,19.81,0.0
2021-07-01,34.13,21.94,0.01
2021-07-02,30.06,23.68,0.71
2021-07-03,33.04,22.48,0.24
2021-07-04,33.25,22.28,0.1
2021-07-05,33.84,21.9,0.1
2021-07-06,34.39,22.46,0.05
2021-07-07,34.09,22.52,0.02
2021-07-08,32.57,22.97,0.01
2021-07-09,34.13,22.36,0.08
2021-07-10,34.12,22.94,0.1
2021-07-11,31.79,23.24,0.09
2021-07-12,34.5,23.13,0.01
2021-07-13,34.72,22.8,0.0
2021-07-14,34.95,21.84,0.08
2021-07-15,34.83,22.33,0.09
2021-07-16,34.83,22.56,0.09
2021-07-17,34.57,23.01,0.02
2021-07-18,34.27,22.97,0.33
2021-07-19,35.0,22.53,0.06
2021-07-20,35.85,22.88,0.09
2021-07-21,34.12,23.23,0.36
2021-07-22,35.43,22.51,0.02
2021-07-23,34.86,22.03,0.0
2021-07-24,35.01,21.09,0.0
2021-07-25,34.81,21.05,0.0
2021-07-26,35.37,22.08,0.0
2021-07-27,35.56,21.51,0.01
2021-07-28,35.99,22.72,0.56
2021-07-29,34.52,23.32,0.96
2021-07-30,34.05,22.91,0.92
2021-07-31,34.57,23.15,1.97
2021-08-01,34.18,21.79,1.25
2021-08-02,34.92,21.78,0.0
2021-08-03,35.78,19.96,0.0
2021-08-04,36.22,22.25,0.0
2021-08-05,35.88,21.66,0.0
2021-08-06,35.89,19.96,0.0
2021-08-07,35.99,22.35,0.0
2021-08-08,35.76,23.28,0.0
2021-08-09,36.43,21.9,0.0
2021-08-10,37.29,21.48,0.0
2021-08-11,37.19,23.61,0.02
2021-08-12,35.37,24.27,0.08
2021-08-13,33.79,24.25,0.09
2021-08-14,35.73,23.48,0.01
2021-08-15,37.5,23.28,0.0
2021-08-16,35.22,21.94,0.0
2021-08-17,36.6,22.33,0.0
2021-08-18,37.05,22.73,0.0
2021-08-19,36.48,21.24,0.0
2021-08-20,37.52,22.18,0.0
2021-08-21,37.41,22.36,0.0
2021-08-22,37.83,23.66,0.0
2021-08-23,38.21,23.5,0.0
2021-08-24,37.29,23.17,1.33
2021-08-25,36.44,23.68,0.54
2021-08-26,34.52,24.96,0.42
2021-08-27,36.57,23.62,0.87
2021-08-28,36.94,23.74,0.31
2021-08-29,38.37,23.36,0.01
2021-08-30,37.4,23.96,0.0
2021-08-31,34.68,24.74,0.65
2021-09-01,33.12,24.0,0.95
2021-09-02,34.15,23.86,2.6
2021-09-03,36.42,23.53,0.77
2021-09-04,35.02,24.02,0.01
2021-09-05,37.63,23.88,0.0
2021-09-06,37.32,23.35,0.63
2021-09-07,36.37,23.86,0.29
