Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2023	23.13	30.35	7.33	4.4878
2	1	2023	21.95	30.92	0.68	4.3937
3	1	2023	22.68	30.81	1.96	4.4919
4	1	2023	22.47	31.16	1.96	4.7695
5	1	2023	23.60	30.39	16.26	3.1791
6	1	2023	23.39	30.01	2.44	4.0007
7	1	2023	23.00	30.74	1.16	3.4251
8	1	2023	22.40	31.01	2.91	4.0934
9	1	2023	22.99	29.73	0.62	3.6941
10	1	2023	23.85	27.70	5.62	3.5748
11	1	2023	22.82	28.59	2.79	3.3361
12	1	2023	22.57	30.94	1.97	4.7645
13	1	2023	22.89	30.52	2.43	3.5110
14	1	2023	23.71	29.73	6.48	2.8304
15	1	2023	22.91	28.82	4.35	3.4730
16	1	2023	22.76	29.72	0.71	3.8218
17	1	2023	22.07	30.16	1.57	4.1761
18	1	2023	22.28	28.70	1.85	2.6119
19	1	2023	22.08	25.54	5.96	2.9821
20	1	2023	20.49	30.49	0.02	4.8113
21	1	2023	21.35	31.25	0.07	4.9328
22	1	2023	22.10	30.39	3.02	4.4662
23	1	2023	22.54	30.81	1.47	4.1407
24	1	2023	23.16	31.02	2.75	4.3115
25	1	2023	23.10	29.72	11.91	4.0548
26	1	2023	21.78	29.08	4.15	3.9163
27	1	2023	21.98	30.14	4.66	3.9160
28	1	2023	22.05	30.86	0.26	3.8771
29	1	2023	23.48	30.52	0.17	4.8717
30	1	2023	22.68	30.27	0.05	4.3945
31	1	2023	22.38	30.31	1.00	5.0011
1	2	2023	23.15	28.22	4.76	3.2084
2	2	2023	21.96	30.52	9.47	3.8209
3	2	2023	22.00	31.22	0.11	4.4253
4	2	2023	22.54	32.07	0.60	5.0913
5	2	2023	23.16	31.50	1.09	3.7959
6	2	2023	23.57	30.44	0.44	4.4859
7	2	2023	22.82	31.51	4.23	3.5234
8	2	2023	23.81	31.21	0.54	4.0933
9	2	2023	22.29	33.47	0.09	5.3501
10	2	2023	22.81	33.91	0.03	5.5562
11	2	2023	24.26	31.85	0.21	4.2959
12	2	2023	23.99	32.99	0.14	4.8582
13	2	2023	24.12	32.41	1.72	5.1661
14	2	2023	24.36	31.16	0.30	4.5040
15	2	2023	23.68	31.06	0.43	3.5681
16	2	2023	23.02	30.70	1.62	4.2501
17	2	2023	22.62	31.88	11.07	4.3425
18	2	2023	23.43	29.75	19.81	3.2888
19	2	2023	22.83	27.76	8.13	3.1944
20	2	2023	21.61	30.38	7.51	3.2507
21	2	2023	22.38	30.92	9.17	4.2852
22	2	2023	22.70	30.50	9.87	2.3180
23	2	2023	22.80	29.81	3.77	3.1755
24	2	2023	21.91	30.92	1.17	4.5740
25	2	2023	23.71	30.20	9.93	3.7267
26	2	2023	22.85	30.22	4.51	3.9716
27	2	2023	23.34	28.42	5.04	3.6017
28	2	2023	23.28	29.77	2.45	3.8346
1	3	2023	23.53	30.05	1.55	4.0515
2	3	2023	22.73	30.90	0.38	4.5686
3	3	2023	23.81	30.55	0.17	4.0111
4	3	2023	23.50	30.10	1.32	3.8138
5	3	2023	22.23	32.14	0.36	4.6502
6	3	2023	23.47	31.70	2.64	4.0119
7	3	2023	23.57	31.44	5.07	3.7967
8	3	2023	23.65	30.47	10.52	4.0360
9	3	2023	22.88	31.70	2.26	4.3038
10	3	2023	24.07	30.26	0.94	4.0831
11	3	2023	22.66	32.19	5.73	3.9021
12	3	2023	23.29	31.43	26.30	4.0378
13	3	2023	23.36	27.39	23.59	1.9155
14	3	2023	21.96	29.35	35.02	3.1852
15	3	2023	22.65	29.01	9.74	3.2853
16	3	2023	22.62	27.67	15.15	4.1880
17	3	2023	21.76	26.84	16.82	2.2941
18	3	2023	21.47	28.32	18.69	3.9568
19	3	2023	22.52	28.85	11.93	2.2993
20	3	2023	21.20	29.23	8.71	3.9488
21	3	2023	22.05	29.16	19.36	2.1198
22	3	2023	22.61	29.39	3.38	3.6725
23	3	2023	21.21	29.92	24.73	3.5380
24	3	2023	22.72	27.25	17.41	2.8776
25	3	2023	21.40	29.10	0.44	4.2336
26	3	2023	22.04	30.17	1.53	3.4892
27	3	2023	22.54	30.23	3.63	3.6542
28	3	2023	22.87	30.30	6.99	2.9868
29	3	2023	22.28	29.76	13.36	4.0944
30	3	2023	21.63	30.58	1.58	3.8239
31	3	2023	23.15	28.42	7.83	2.9625
1	4	2023	22.69	30.08	4.80	4.0370
2	4	2023	23.01	29.73	14.97	4.0434
3	4	2023	22.38	28.94	6.10	3.5553
4	4	2023	22.49	26.67	0.09	3.8512
5	4	2023	21.75	30.23	1.72	4.0387
6	4	2023	23.06	27.78	8.59	3.2997
7	4	2023	23.22	29.46	4.11	3.3688
8	4	2023	23.29	29.93	4.44	3.5302
9	4	2023	22.54	31.00	0.64	3.7621
10	4	2023	23.47	30.21	5.36	3.7174
11	4	2023	22.95	30.82	6.17	3.7261
12	4	2023	23.07	29.64	1.83	3.9499
13	4	2023	23.60	30.54	0.62	3.0980
14	4	2023	22.86	30.77	0.13	4.0244
