Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2017	22.87	29.00	1.49	3.4584
2	1	2017	22.73	29.51	0.59	2.7032
3	1	2017	22.90	29.91	0.69	3.4393
4	1	2017	22.84	30.79	1.42	4.3160
5	1	2017	23.25	30.80	4.12	3.7290
6	1	2017	22.24	31.71	0.72	4.3400
7	1	2017	23.17	30.41	0.23	4.1143
8	1	2017	22.68	30.82	0.25	4.1138
9	1	2017	22.99	28.50	1.43	3.4099
10	1	2017	21.46	32.01	0.13	4.4310
11	1	2017	23.17	32.89	5.63	4.4940
12	1	2017	23.10	30.00	0.56	4.6831
13	1	2017	22.53	32.04	19.22	4.6072
14	1	2017	23.69	27.58	21.19	1.9978
15	1	2017	23.10	30.08	0.64	4.1382
16	1	2017	23.30	29.64	9.59	4.0688
17	1	2017	23.53	28.95	10.37	2.9026
18	1	2017	22.39	26.23	46.70	2.2224
19	1	2017	21.82	28.90	0.05	3.4035
20	1	2017	21.93	30.43	2.31	4.5696
21	1	2017	21.86	30.53	5.71	4.3135
22	1	2017	23.21	30.23	6.96	3.4126
23	1	2017	23.52	27.97	24.44	3.7027
24	1	2017	22.76	26.95	22.03	1.4503
25	1	2017	22.21	29.98	7.26	3.4990
26	1	2017	22.82	29.56	4.34	3.9694
27	1	2017	23.35	28.43	3.07	4.0933
28	1	2017	22.29	29.14	1.60	3.4549
29	1	2017	22.75	28.14	1.59	3.5880
30	1	2017	22.61	27.97	2.63	3.1955
31	1	2017	22.12	27.74	3.11	3.5243
1	2	2017	23.08	26.17	18.92	3.3975
2	2	2017	21.88	28.14	9.89	3.6314
3	2	2017	22.50	30.78	5.86	3.7341
4	2	2017	22.67	29.54	1.25	4.0127
5	2	2017	23.11	30.25	0.95	4.3523
6	2	2017	23.83	27.57	1.95	3.5447
7	2	2017	22.29	29.51	7.11	3.7571
8	2	2017	21.43	30.12	42.81	2.6973
9	2	2017	22.98	30.17	31.75	3.5172
10	2	2017	22.85	26.90	39.30	2.6403
11	2	2017	22.00	28.97	3.63	2.8480
12	2	2017	21.90	28.97	11.04	3.5522
13	2	2017	22.71	27.73	19.19	2.1348
14	2	2017	22.30	26.67	7.18	3.3325
15	2	2017	21.31	29.96	0.58	3.9042
16	2	2017	22.43	26.93	0.86	2.9686
17	2	2017	22.61	29.20	6.93	3.0164
18	2	2017	22.27	26.35	11.05	3.3376
19	2	2017	22.03	29.48	13.88	3.5078
20	2	2017	22.23	29.27	40.80	3.5437
21	2	2017	22.78	27.73	2.09	3.3099
22	2	2017	21.95	28.71	4.64	3.1242
23	2	2017	22.16	29.29	0.94	3.7334
24	2	2017	21.70	30.38	6.13	4.2757
25	2	2017	22.92	28.40	7.83	3.5635
26	2	2017	22.61	28.87	6.37	3.4660
27	2	2017	22.58	30.72	0.02	4.4338
28	2	2017	23.18	28.73	11.77	3.7779
1	3	2017	22.21	27.34	29.79	3.2262
2	3	2017	21.20	29.43	4.04	3.5656
3	3	2017	21.53	29.63	4.85	4.1261
4	3	2017	23.51	29.52	2.77	3.7912
5	3	2017	23.27	30.12	5.38	4.1581
6	3	2017	23.37	30.28	1.07	4.3145
7	3	2017	22.99	28.40	6.20	3.4715
8	3	2017	23.21	29.00	10.60	3.2431
9	3	2017	22.10	30.47	15.48	3.8608
10	3	2017	23.30	28.89	15.52	3.4949
11	3	2017	22.60	30.01	8.82	3.7313
12	3	2017	22.71	29.79	1.15	3.7991
13	3	2017	22.57	30.00	2.57	3.4229
14	3	2017	23.17	30.29	17.00	3.6817
15	3	2017	23.70	28.78	1.71	2.7688
16	3	2017	22.59	27.16	0.69	3.3932
17	3	2017	22.02	27.61	3.16	2.9938
18	3	2017	22.34	28.26	14.88	3.1327
19	3	2017	20.88	31.34	0.55	4.6041
20	3	2017	21.83	31.26	4.21	4.2372
21	3	2017	23.23	27.65	2.91	2.8443
22	3	2017	22.16	29.34	5.13	3.6872
23	3	2017	22.25	29.95	2.34	3.7848
24	3	2017	22.41	31.04	0.11	3.8044
25	3	2017	22.66	30.64	4.52	3.7027
26	3	2017	23.45	29.94	3.06	3.4040
27	3	2017	21.95	29.67	1.25	3.5078
28	3	2017	22.94	29.80	1.15	4.0623
29	3	2017	23.22	31.27	2.52	4.0787
30	3	2017	23.15	31.09	13.61	3.7533
31	3	2017	23.89	30.32	3.02	3.8922
1	4	2017	23.45	30.61	2.93	3.4771
2	4	2017	22.79	30.33	7.52	4.1237
3	4	2017	22.55	30.38	6.52	2.8889
4	4	2017	21.67	30.23	9.74	3.2763
5	4	2017	22.24	30.69	1.35	3.6298
6	4	2017	23.69	29.91	11.70	4.3090
7	4	2017	23.78	30.82	4.30	3.7251
8	4	2017	23.16	31.54	0.33	4.7741
9	4	2017	22.42	31.23	0.63	4.3974
10	4	2017	22.79	29.78	0.38	4.1575
11	4	2017	22.80	31.66	0.38	4.3724
12	4	2017	23.54	27.43	3.21	3.9345
13	4	2017	22.88	29.36	6.74	3.4071
14	4	2017	23.82	29.58	3.13	3.9440
15	4	2017	22.88	30.03	0.96	3.9359
16	4	2017	22.63	30.86	0.35	3.5022
17	4	2017	24.43	29.96	2.02	3.9240
18	4	2017	23.63	29.96	4.91	3.8324
19	4	2017	23.66	29.99	5.51	3.6307
20	4	2017	23.40	30.68	1.83	3.8539
21	4	2017	23.76	30.87	0.04	4.0762
22	4	2017	24.17	31.66	0.00	4.4820
23	4	2017	23.28	31.74	0.43	4.1634
24	4	2017	22.97	30.93	6.97	3.9640
25	4	2017	23.54	28.72	5.82	4.1114
26	4	2017	21.54	31.08	0.47	4.2904
27	4	2017	23.19	30.94	0.52	4.3379
28	4	2017	23.50	31.28	1.85	4.1596
29	4	2017	23.31	29.70	2.05	3.6082
30	4	2017	21.89	30.39	3.95	3.4071
1	5	2017	23.40	29.82	0.43	3.8351
2	5	2017	21.84	28.84	0.18	3.8043
3	5	2017	22.52	31.67	0.01	4.1552
4	5	2017	22.16	31.39	0.19	4.1473
5	5	2017	23.45	30.64	0.22	3.7962
6	5	2017	23.52	30.08	0.03	4.2108
7	5	2017	22.54	32.00	0.08	4.1812
8	5	2017	22.74	31.95	0.07	4.3347
9	5	2017	23.22	31.51	0.20	3.8007
10	5	2017	23.43	30.99	2.07	3.5955
11	5	2017	23.91	31.27	2.58	3.5729
12	5	2017	23.83	30.39	3.84	3.1559
13	5	2017	23.40	31.67	0.01	4.0098
14	5	2017	22.89	32.57	0.00	4.5566
15	5	2017	23.06	32.65	0.00	4.1907
16	5	2017	23.14	32.78	0.00	4.1799
17	5	2017	23.12	32.00	0.12	4.1161
18	5	2017	24.28	29.62	6.48	3.6151
19	5	2017	23.43	30.23	3.28	3.4893
20	5	2017	23.78	31.37	0.42	3.6648
21	5	2017	23.54	32.11	0.12	4.1520
22	5	2017	23.45	32.70	0.02	4.2613
23	5	2017	22.79	32.22	0.40	4.2320
24	5	2017	23.11	32.64	0.51	4.1465
25	5	2017	22.80	33.12	0.24	4.4702
26	5	2017	22.72	32.99	0.19	3.7055
27	5	2017	23.15	32.69	0.82	4.2930
28	5	2017	22.75	30.45	0.14	4.1508
29	5	2017	23.47	31.90	0.12	4.0970
30	5	2017	22.45	33.41	0.02	4.3791
31	5	2017	22.79	34.32	0.00	4.5036
1	6	2017	23.52	34.51	0.04	4.6653
2	6	2017	23.88	33.66	0.05	3.8594
3	6	2017	24.61	31.57	9.08	3.6929
4	6	2017	23.06	30.42	5.98	3.7255
5	6	2017	21.00	32.20	0.00	4.4319
6	6	2017	22.18	32.25	0.00	4.5870
7	6	2017	20.34	32.56	0.02	4.6095
8	6	2017	21.21	33.98	0.00	4.5819
9	6	2017	22.07	34.81	0.00	5.0890
10	6	2017	22.50	35.12	0.02	4.9318
11	6	2017	23.26	32.49	4.71	3.8392
12	6	2017	24.07	31.74	4.59	3.7170
13	6	2017	21.91	32.55	0.08	4.2823
14	6	2017	21.69	33.72	0.00	4.6382
15	6	2017	21.22	34.40	0.00	4.9812
16	6	2017	20.99	33.89	0.00	4.8585
17	6	2017	21.54	33.98	0.00	4.6215
18	6	2017	21.89	35.05	0.00	5.0710
19	6	2017	21.70	35.01	0.00	5.0560
20	6	2017	23.01	35.17	0.08	4.9701
21	6	2017	22.62	35.78	0.01	5.2050
22	6	2017	22.70	35.38	0.00	5.3497
23	6	2017	22.17	35.03	0.00	5.3626
24	6	2017	21.34	35.66	0.00	5.3089
25	6	2017	22.18	35.37	0.00	5.0899
26	6	2017	22.75	35.44	0.00	5.4688
27	6	2017	21.54	34.67	0.00	5.1567
28	6	2017	21.77	34.49	0.00	5.1720
29	6	2017	21.65	35.37	0.00	5.3863
30	6	2017	22.05	34.17	0.04	4.5874
1	7	2017	22.58	34.93	0.07	4.7252
2	7	2017	23.85	32.85	5.55	4.0224
3	7	2017	22.25	33.57	2.76	3.6253
4	7	2017	22.53	33.37	0.16	5.3110
5	7	2017	20.51	33.77	0.00	5.4736
6	7	2017	19.64	34.32	0.00	5.2951
7	7	2017	22.24	34.25	0.00	4.7019
8	7	2017	22.63	35.36	0.00	5.4012
9	7	2017	21.28	34.72	0.00	5.7649
10	7	2017	20.47	35.16	0.00	5.6052
11	7	2017	22.48	35.57	0.00	5.2870
12	7	2017	24.01	35.40	0.00	5.6295
13	7	2017	20.75	36.04	0.00	6.0191
14	7	2017	21.45	35.58	0.00	5.8018
15	7	2017	18.96	34.80	0.00	5.7975
16	7	2017	18.87	34.37	0.00	5.5810
17	7	2017	20.08	36.30	0.00	5.8217
18	7	2017	19.95	35.26	0.00	5.5587
19	7	2017	20.73	33.87	0.00	5.5234
20	7	2017	20.11	36.51	0.01	5.6536
21	7	2017	22.12	36.56	0.01	5.3538
22	7	2017	22.86	35.82	0.00	5.2934
23	7	2017	23.15	36.53	0.00	5.6220
24	7	2017	23.94	35.55	0.00	5.7697
25	7	2017	22.32	36.24	0.00	6.1573
