date,tmax,tmin,prec,rs,rh,u2_obs,eto
2001-01-01,29.27,22.81,11.63,10.93,83.36,1.15,2.7552738709407802
2001-01-02,28.77,22.49,9.51,13.86,84.16,1.16,3.1328368476698776
2001-01-03,29.7,21.44,1.89,20.24,80.2,0.99,4.233224701510847
2001-01-04,31.13,21.58,1.86,20.4,78.48,1.14,4.42430056911861
2001-01-05,28.09,22.98,4.93,19.07,85.79,1.12,3.836502929642246
2001-01-06,28.47,22.87,9.24,14.6,85.0,1.07,3.211903047702485
2001-01-07,27.81,21.99,1.8,20.29,86.23,1.06,3.937122004463307
2001-01-08,27.78,22.82,5.77,18.93,87.07,1.67,3.745785332107334
2001-01-09,28.42,22.49,5.72,16.58,88.23,1.43,3.370681587762597
2001-01-10,28.99,21.72,2.6,10.04,84.63,0.95,2.5331441750286103
2001-01-11,29.31,22.52,3.11,16.19,82.85,1.05,3.5624903790011464
2001-01-12,27.25,22.02,22.29,12.23,87.3,1.19,2.6947499668488764
2001-01-13,27.81,21.36,1.1,19.18,86.93,1.48,3.7227595418417896
2001-01-14,28.92,21.81,0.31,19.96,84.53,1.79,4.011416358962258
2001-01-15,30.97,20.4,1.9,20.79,79.21,2.05,4.394515152624349
2001-01-16,28.42,21.88,0.61,18.99,84.8,1.5,3.832126684401481
2001-01-17,28.26,21.95,0.51,17.03,83.05,0.85,3.6026463686514325
2001-01-18,29.97,22.12,1.34,18.84,81.01,1.33,4.053017199578753
2001-01-19,30.62,20.79,2.31,17.77,77.79,1.04,3.9968409993793284
2001-01-20,29.93,21.76,6.56,17.57,81.72,0.76,3.819188604440986
2001-01-21,26.14,22.34,2.92,15.05,91.31,1.25,2.9227448041134063
2001-01-22,28.32,21.38,2.6,20.76,86.08,1.06,4.020352348771131
2001-01-23,28.52,21.37,6.74,17.99,86.59,1.31,3.606055239777386
2001-01-24,30.0,22.16,3.14,18.89,83.81,0.71,3.9650073644813437
2001-01-25,28.48,22.93,8.2,18.29,84.95,1.0,3.7788461385309864
2001-01-26,30.56,23.47,1.92,22.85,76.09,0.68,4.945224096155685
2001-01-27,30.62,22.81,2.04,19.51,80.98,1.05,4.234174240574183
2001-01-28,30.7,22.44,7.93,16.99,83.73,1.93,3.730691499757751
2001-01-29,30.83,22.18,7.92,17.31,83.81,1.24,3.7744583980484707
2001-01-30,26.25,22.99,35.09,18.27,88.56,1.14,3.5304444796884376
2001-01-31,27.41,21.85,12.19,16.9,88.54,0.85,3.3391559851877397
2001-02-01,27.98,22.41,33.83,18.12,83.49,0.46,3.757767314740851
2001-02-02,27.46,21.54,14.44,15.03,84.19,0.68,3.220177391868539
2001-02-03,29.67,21.57,9.91,17.07,85.34,0.8,3.5912324557518
2001-02-04,26.63,22.43,13.1,19.83,88.68,1.2,3.750439513036728
2001-02-05,30.01,21.82,6.05,20.55,85.11,0.79,4.161054829061471
2001-02-06,29.22,22.86,0.87,22.64,84.78,0.89,4.492878102780613
2001-02-07,30.52,22.14,0.65,20.79,83.98,1.46,4.288822591103498
2001-02-08,31.22,22.07,2.81,21.62,83.18,1.49,4.4918229334458895
2001-02-09,30.65,21.89,14.22,20.77,82.86,0.96,4.322697145943857
2001-02-10,27.71,23.5,7.25,17.05,87.64,1.11,3.4824804250272967
2001-02-11,29.12,22.36,0.6,18.75,84.55,1.33,3.879400646707846
2001-02-12,27.9,22.79,8.28,19.11,89.31,1.39,3.712124438126125
2001-02-13,29.53,21.1,6.99,19.75,85.51,1.16,3.962083732442745
2001-02-14,28.68,22.25,5.12,20.1,85.39,0.93,4.0210538202535355
2001-02-15,28.0,22.12,22.66,19.45,85.96,1.14,3.856576400457758
2001-02-16,29.1,21.83,40.99,12.75,85.47,1.0,2.9189618573885956
2001-02-17,27.86,22.7,5.32,11.77,87.12,1.25,2.6843287745801185
2001-02-18,28.5,22.29,6.92,20.05,84.65,1.12,4.0305941535785355
2001-02-19,29.55,21.35,6.01,17.17,84.94,0.95,3.6081240210119665
2001-02-20,28.54,22.38,1.91,13.25,83.94,1.93,3.0490792525967447
2001-02-21,28.68,21.5,0.45,14.84,83.75,1.38,3.267796696589144
2001-02-22,29.28,21.8,2.45,23.61,86.17,1.55,4.539266236437889
2001-02-23,28.96,21.58,3.62,15.96,85.54,1.05,3.3815842974765427
2001-02-24,28.98,22.25,3.77,19.35,85.23,0.92,3.93134424550164
2001-02-25,30.01,22.34,10.05,18.07,80.7,0.61,3.9694496506692083
2001-02-26,25.87,22.16,17.64,15.84,90.59,1.2,3.0513536235813588
2001-02-27,28.82,21.03,18.9,16.32,86.4,1.09,3.37304207614986
2001-02-28,29.78,21.17,14.02,18.09,85.45,1.35,3.7307977814192737
2001-03-01,29.72,21.36,28.31,11.2,85.36,1.3,2.6988273969799472
2001-03-02,29.73,22.57,3.39,18.06,86.62,1.21,3.739624933193175
2001-03-03,29.37,22.85,6.34,16.94,87.14,1.36,3.538768420300513
2001-03-04,29.97,23.55,0.5,21.61,82.14,1.03,4.5120101442133755
2001-03-05,30.71,23.24,1.95,20.21,83.87,1.14,4.265657022579177
2001-03-06,29.96,22.82,8.22,17.86,86.56,1.37,3.7324510550877807
2001-03-07,31.05,22.61,6.49,21.38,84.21,1.53,4.427270990628505
2001-03-08,30.06,22.89,2.97,19.95,84.53,1.67,4.139436882298406
2001-03-09,30.33,22.12,2.59,20.03,85.39,1.35,4.099937237222343
2001-03-10,26.7,22.7,13.41,17.87,92.01,1.72,3.352479154091583
2001-03-11,27.23,22.47,20.92,15.77,89.36,1.63,3.152666754950097
2001-03-12,28.5,21.8,29.95,10.4,87.69,1.61,2.4467559643207006
2001-03-13,29.39,21.39,21.17,12.69,82.99,1.04,3.0000645755603417
2001-03-14,29.23,22.52,11.12,13.31,87.31,0.68,2.94790609757681
2001-03-15,30.29,22.58,2.32,19.85,82.95,1.12,4.173186638769356
2001-03-16,28.65,22.64,9.63,16.75,88.86,1.11,3.3890636387004776
2001-03-17,27.48,21.86,11.9,16.82,85.57,0.84,3.428387515072003
2001-03-18,29.91,21.0,1.36,19.36,80.96,0.67,4.068099765936291
2001-03-19,30.31,22.98,1.36,21.31,79.57,0.96,4.530827208094448
2001-03-20,30.3,23.63,1.05,20.18,81.89,1.35,4.307614840094592
2001-03-21,29.84,22.44,5.02,20.23,86.61,1.43,4.056496497847983
2001-03-22,30.15,22.84,3.16,19.7,86.28,1.3,4.024195438437086
2001-03-23,29.71,23.25,6.7,19.37,85.83,1.37,3.9801830110202023
2001-03-24,28.98,22.74,2.65,21.67,85.71,1.31,4.260866815113694
2001-03-25,30.56,22.16,2.02,17.27,81.57,0.69,3.814339532273499
2001-03-26,30.25,22.72,15.51,16.43,83.97,1.22,3.5992213580097716
2001-03-27,29.37,21.73,9.6,16.84,86.43,1.23,3.4793477779789517
2001-03-28,29.25,23.13,6.93,16.65,86.44,0.83,3.4999256441030266
2001-03-29,29.07,23.04,10.18,16.11,86.81,0.75,3.389082640252361
2001-03-30,27.14,22.87,7.5,19.51,92.4,1.12,3.5873492124700523
2001-03-31,29.44,21.9,1.3,18.71,84.56,0.92,3.8314753819861385
2001-04-01,26.7,22.68,11.97,20.81,90.6,1.16,3.802315954378985
