date,tmax,tmin,prec,rs,rh,u2_obs,eto
2015-01-01,34.78,23.74,1.01,22.48,66.57,1.67,5.558763427978148
2015-01-02,35.9,24.06,0.34,18.82,62.36,1.43,5.246882823928085
2015-01-03,34.85,24.64,5.21,22.88,66.08,1.07,5.691477936227194
2015-01-04,30.15,24.64,8.25,18.26,78.02,1.19,4.196008630964968
2015-01-05,32.22,24.0,0.38,23.24,72.86,1.58,5.2617966935336415
2015-01-06,34.84,21.97,3.01,23.22,64.07,1.25,5.679210554992081
2015-01-07,34.0,22.98,3.75,13.77,70.06,1.8,3.978706187364404
2015-01-08,33.0,23.74,1.12,18.92,70.43,2.26,4.726917910405505
2015-01-09,34.4,23.62,12.43,23.02,66.52,1.97,5.608787435458518
2015-01-10,31.57,23.65,3.38,17.57,75.78,1.39,4.218191769138151
2015-01-11,32.19,23.11,0.05,18.47,73.77,1.42,4.449987312782544
2015-01-12,30.98,24.27,1.94,17.93,75.79,1.96,4.264902221863417
2015-01-13,29.43,23.54,2.35,20.64,81.5,1.25,4.339669976331328
2015-01-14,29.4,22.63,12.69,14.3,83.18,1.3,3.2747885086881605
2015-01-15,30.12,23.1,4.74,18.58,81.65,0.85,4.042832674423089
2015-01-16,28.03,23.25,1.42,13.04,86.23,0.91,2.9271066029157318
2015-01-17,30.43,22.55,0.68,13.68,82.04,0.95,3.2723160926291106
2015-01-18,28.11,22.75,2.76,15.57,84.32,1.01,3.365614164964463
2015-01-19,27.9,22.63,4.5,11.42,88.78,1.31,2.558321617396088
2015-01-20,28.59,22.36,13.92,14.06,87.09,1.06,3.0413998011681276
2015-01-21,28.41,21.59,5.75,17.52,84.56,1.02,3.6135868137613687
2015-01-22,30.26,22.22,0.96,17.96,78.96,1.52,4.0208330401801895
2015-01-23,30.76,21.62,9.78,12.66,76.27,1.49,3.3420561707118406
2015-01-24,27.35,22.73,28.34,16.35,88.06,1.18,3.306162127438776
2015-01-25,28.48,21.77,7.08,13.93,86.48,1.37,3.0227224413334897
2015-01-26,29.66,21.44,3.25,20.1,84.37,1.4,4.0736299510426415
2015-01-27,30.66,21.84,0.42,23.52,80.9,1.41,4.8027402513981
2015-01-28,31.92,20.94,0.18,24.48,77.16,1.59,5.127391956539899
2015-01-29,31.55,22.3,0.03,22.28,77.15,1.52,4.836851924989483
2015-01-30,32.23,22.41,0.0,24.17,75.25,1.79,5.253058084071148
2015-01-31,29.13,23.7,1.96,19.92,81.49,1.56,4.228718274843367
2015-02-01,28.08,22.89,2.81,8.86,86.42,1.14,2.2863501515029157
2015-02-02,29.64,22.93,0.31,13.79,84.82,1.1,3.159650341855327
2015-02-03,30.68,22.52,0.19,23.26,77.93,1.34,4.906104872599993
2015-02-04,31.27,21.99,1.82,15.13,75.77,1.37,3.773908416700696
2015-02-05,31.08,22.53,4.71,17.02,78.85,2.02,3.9508069652021645
2015-02-06,32.62,21.88,5.06,16.97,73.94,1.26,4.203482585721444
2015-02-07,28.18,23.69,6.82,12.78,84.54,1.43,2.982109776344274
2015-02-08,31.7,22.42,0.22,16.7,78.87,1.4,3.9339309582222906
2015-02-09,32.0,23.07,15.52,22.05,77.9,1.68,4.854977620118411
2015-02-10,29.99,23.59,7.31,8.27,80.6,0.91,2.51919917123609
2015-02-11,31.27,22.65,0.45,18.05,82.3,1.38,3.997071093623292
2015-02-12,29.59,23.79,0.01,17.63,82.38,1.38,3.880343298154013
2015-02-13,31.88,22.47,4.37,21.38,78.32,1.54,4.696402776989491
2015-02-14,28.57,22.86,5.88,20.32,84.98,1.39,4.092323337267793
2015-02-15,30.42,22.37,1.04,17.63,81.86,1.43,3.886074331853438
2015-02-16,30.17,22.79,10.97,16.92,83.96,1.66,3.700410827766814
2015-02-17,30.67,23.22,6.3,19.72,82.47,1.85,4.241299622543389
2015-02-18,28.64,23.25,6.08,13.7,86.96,0.99,3.030742765529935
2015-02-19,28.48,22.83,3.74,17.5,87.95,1.07,3.5504001876841964
2015-02-20,26.5,22.17,13.51,14.48,88.06,1.41,2.9772487223599127
2015-02-21,28.49,21.66,10.91,18.36,86.79,1.51,3.6715468002765412
2015-02-22,27.52,21.49,4.05,11.26,84.22,1.62,2.678906995060921
2015-02-23,29.58,21.16,4.75,20.3,81.92,1.2,4.1775570369284045
2015-02-24,29.19,21.72,7.77,17.2,84.2,1.71,3.63489286233206
2015-02-25,31.01,21.25,0.29,21.98,82.92,1.69,4.49902973299867
2015-02-26,27.97,22.95,3.12,19.55,87.01,1.38,3.871090879835326
2015-02-27,29.33,22.77,1.33,18.06,84.19,1.4,3.8171465706701517
2015-02-28,29.16,21.66,8.04,20.57,85.74,1.39,4.077865070805887
2015-03-01,28.38,21.76,1.15,21.99,84.63,0.72,4.280418261927988
2015-03-02,30.32,22.19,2.14,18.18,82.26,1.24,3.938173706189456
2015-03-03,27.79,22.25,7.23,17.04,88.26,1.67,3.405732048442861
2015-03-04,27.86,21.38,1.25,15.23,86.25,1.11,3.182624458468983
2015-03-05,28.75,22.13,1.6,14.06,84.93,0.87,3.127794393142554
2015-03-06,29.83,21.71,3.76,15.89,80.83,0.94,3.597122608735684
2015-03-07,27.38,23.1,5.2,15.69,86.35,1.01,3.2885705906103175
2015-03-08,30.58,22.62,4.41,21.62,82.9,1.16,4.477033939584175
2015-03-09,31.01,22.28,1.63,19.5,83.11,1.84,4.152473719761799
2015-03-10,31.45,22.23,2.8,17.86,82.05,1.5,3.961640077228837
2015-03-11,30.15,23.22,3.49,18.68,83.05,1.84,4.0151795363407
2015-03-12,30.74,22.88,0.6,16.78,80.06,0.92,3.853432724456895
2015-03-13,31.62,23.49,4.27,20.76,81.5,1.05,4.5049235596503845
