date,tmax,tmin,prec,rs,rh,u2_obs,eto
2011-01-01,28.85,22.25,35.1,13.8,82.06,0.84,3.20148999888486
2011-01-02,30.71,22.4,6.13,16.95,75.31,0.67,4.0331460318558
2011-01-03,26.09,22.62,26.17,18.07,89.67,1.23,3.424670902579115
2011-01-04,29.52,21.74,25.3,15.63,85.84,1.09,3.3419908699833014
2011-01-05,30.16,21.23,12.16,21.16,83.47,1.72,4.27707200547469
2011-01-06,30.88,22.89,14.91,17.05,83.4,1.03,3.772352064163268
2011-01-07,30.65,22.61,7.38,20.88,85.39,1.28,4.270713819203589
2011-01-08,28.5,22.69,0.75,11.88,87.13,1.1,2.7141042696328204
2011-01-09,28.67,22.44,0.63,19.5,85.13,1.24,3.9342656934876787
2011-01-10,26.1,22.37,17.37,16.6,90.3,1.13,3.1807453340137317
2011-01-11,28.99,21.1,10.09,17.39,87.08,1.74,3.5081492387598128
2011-01-12,29.87,21.81,2.0,20.96,85.59,1.53,4.185124878155622
2011-01-13,30.65,23.57,0.64,20.27,83.28,1.28,4.301642305635362
2011-01-14,28.88,22.28,7.37,16.78,86.98,1.3,3.464523129854687
2011-01-15,29.98,23.27,5.15,19.69,84.53,0.79,4.108828321138255
2011-01-16,29.62,23.02,3.45,17.9,85.5,1.34,3.7634015748545053
2011-01-17,28.27,23.28,0.1,14.45,86.04,1.46,3.158839502443551
2011-01-18,28.66,22.13,0.87,14.93,86.77,1.09,3.1789044860968367
2011-01-19,30.33,22.51,0.35,20.23,82.53,0.78,4.251290045567618
2011-01-20,28.21,22.98,11.07,16.87,87.99,1.27,3.437814207747362
2011-01-21,28.07,22.56,3.61,17.28,84.69,0.95,3.5967529444582325
2011-01-22,26.94,21.79,33.5,7.02,89.78,1.26,1.8210253564477168
2011-01-23,29.26,21.7,7.22,19.17,83.95,0.85,3.935085409694033
2011-01-24,26.72,22.58,15.98,17.22,90.8,0.93,3.297713108957172
2011-01-25,28.0,21.99,11.36,15.25,89.1,1.11,3.1048675463064566
2011-01-26,28.46,21.82,28.0,13.89,88.59,1.76,2.9353322159436277
2011-01-27,28.32,22.03,12.61,20.79,88.49,1.29,3.976581746151898
2011-01-28,28.63,22.14,4.51,13.95,88.86,1.2,2.9522766016139768
2011-01-29,26.96,22.51,11.16,15.48,88.03,0.71,3.1536689605039214
2011-01-30,29.6,21.42,3.44,19.04,86.56,0.98,3.8320888807929006
2011-01-31,29.59,22.26,0.7,19.23,84.93,0.93,3.958667297751629
2011-02-01,28.5,23.35,25.88,15.24,85.36,0.55,3.323503356753185
2011-02-02,28.5,21.74,4.09,17.92,85.18,0.9,3.6664406399006415
2011-02-03,30.71,21.12,3.51,20.64,77.63,0.67,4.453928058325774
2011-02-04,28.66,23.26,8.13,20.37,83.22,0.99,4.185380766213713
2011-02-05,27.63,22.99,2.12,16.09,88.63,1.35,3.273963830621503
2011-02-06,27.54,22.33,8.65,15.56,88.42,0.7,3.1726517935275496
2011-02-07,28.26,21.45,4.69,17.14,84.75,0.78,3.543510673911475
2011-02-08,29.97,21.74,2.24,23.1,83.35,1.2,4.603825525424732
2011-02-09,28.02,22.03,8.55,17.13,84.67,1.27,3.5570538121642854
2011-02-10,28.02,21.8,9.45,18.58,81.13,0.62,3.886969082192946
2011-02-11,28.62,21.33,0.45,15.0,83.07,0.95,3.308273572488196
2011-02-12,28.91,21.98,4.64,12.26,86.97,0.95,2.781314644779819
2011-02-13,29.06,22.61,5.56,22.94,86.32,1.35,4.463020859191193
2011-02-14,29.9,21.9,23.86,15.82,85.29,1.38,3.4304220170983695
2011-02-15,28.05,22.84,63.96,16.74,91.87,1.66,3.266679222076989
2011-02-16,27.06,21.75,21.16,15.99,90.05,1.25,3.1320403103895273
2011-02-17,27.13,22.01,7.85,11.97,88.49,1.02,2.6132609047369386
2011-02-18,26.97,22.22,43.44,10.57,90.11,0.7,2.342603061595945
2011-02-19,25.62,22.02,25.49,15.49,91.7,1.66,2.9449270614771303
2011-02-20,30.11,21.41,0.44,20.54,84.7,1.19,4.162632390421968
2011-02-21,27.21,22.73,3.36,20.23,90.92,1.09,3.781997793080205
2011-02-22,27.04,21.69,2.03,17.93,88.76,1.24,3.4593875464912642
2011-02-23,29.98,22.32,1.37,20.77,86.83,1.32,4.157962931528927
2011-02-24,27.62,22.81,15.88,15.43,91.05,1.13,3.0758290833133906
2011-02-25,27.66,22.36,3.24,16.94,87.15,1.06,3.4323752882799123
2011-02-26,29.97,21.21,10.5,22.43,77.88,0.83,4.660051892383131
2011-02-27,28.83,22.11,13.67,13.33,85.22,1.03,3.0122837581437967
2011-02-28,28.55,21.64,0.32,18.46,86.74,1.03,3.6886755511382505
