ID_Modelo,Raio,Num_Regras,R2_Score
1,0.1533969639791677,63,0.5662620226993776
2,0.14011833538404814,69,0.6073748767459017
3,0.16861353826081105,54,0.5886254711279151
4,0.03531850104349592,185,0.7650589507664509
5,0.16531637604829108,55,0.5876104158316654
6,0.19328032046788762,44,0.5858617559417173
7,0.14296138670835085,69,0.6073748767459017
8,0.10389794235860239,90,0.6132563955120673
9,0.03609340759484669,184,0.778398074578781
10,0.061694067241707846,145,0.7260466945594731
11,0.039129456309427775,181,0.7777935117447269
12,0.02409509272805598,201,0.7719824289497683
13,0.18510639687292937,45,0.5839806751536223
14,0.021979328117550496,202,0.769930515856869
15,0.14305069335410064,69,0.6073748767459017
16,0.18828635152828488,45,0.5839806751536223
17,0.15719151316227123,60,0.588591913068549
18,0.16837712035433344,54,0.5886254711279151
19,0.05849272145203984,152,0.7374328513970905
20,0.13093043537486987,73,0.6077404823226584
21,0.1559160423994075,62,0.5861382439791155
22,0.06041595886438133,149,0.735542937539597
23,0.06119993059529794,146,0.7249107312346457
24,0.1510862845507455,63,0.5533741906975926
25,0.10231835891674311,93,0.6404561656221206
26,0.17081743331723045,54,0.5886254711279151
27,0.17515775502814313,51,0.5939943556879222
28,0.056040772987676776,154,0.7579384972155103
29,0.15674444314729696,61,0.5875280125461841
30,0.0811293665709876,119,0.7370156367710627
31,0.19199498137337354,44,0.5858617559417173
32,0.1401088937482691,69,0.6073748767459017
33,0.13943240063869325,69,0.6073748767459017
34,0.13092870426431785,73,0.6077404823226584
35,0.1743397367504497,51,0.5939943556879222
36,0.15184691061765998,64,0.5964763741763586
37,0.18136940373230706,46,0.5980060732361626
38,0.013643913824646236,226,0.7740392613813057
39,0.145848780982833,64,0.5519695781677193
40,0.045287172926927695,168,0.7655460492554946
41,0.10193509280474435,93,0.6404561656221206
42,0.05098302736578742,159,0.7626405449497117
43,0.06415363796933445,137,0.7372181187713116
44,0.12487440435380419,76,0.6005727583442244
45,0.08263591717613947,116,0.7155119629617206
46,0.1582483627665685,60,0.5891828626394413
47,0.0666700164923198,136,0.7380810911753903
48,0.06364063010659758,139,0.7278277097529758
49,0.08139915356450834,119,0.7369400564978936
50,0.08386803465472856,115,0.7160724396606295
51,0.18758311042932593,45,0.5839806751536223
52,0.055918529960472314,155,0.7495179436628889
53,0.10639298489528712,88,0.6157810275275662
54,0.12620594098770044,76,0.6005727583442244
55,0.10565638012770412,88,0.6158714234045186
56,0.19835166699135406,44,0.5858617559417173
57,0.18571467044102707,45,0.5839806751536223
58,0.18508824160459003,45,0.5839806751536223
59,0.049099859171050454,160,0.762309096337016
60,0.18403752542027188,45,0.5839806751536223
61,0.18243401268335746,45,0.5839806751536223
62,0.10425615812025855,89,0.6138646679114375
63,0.11875097743767608,77,0.6242600893804666
64,0.11795482865769985,78,0.6230416618153786
65,0.18112969856364147,46,0.5980060732361626
66,0.07123792257012673,130,0.726743963836016
67,0.032329976445426824,190,0.7618356140118928
68,0.13075024485704995,73,0.6077404823226584
69,0.028307756341935005,191,0.7611430958586551
70,0.12610142116984097,76,0.6005727583442244
71,0.13903377053501564,69,0.6073748767459017
72,0.020930637966804305,210,0.7690484734821758
73,0.17365615440354545,51,0.5939943556879222
74,0.12803672486307632,74,0.6061146770166976
75,0.14149765496913247,69,0.6073748767459017
