tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap
-0.49146771792857236,0.12743029525011854,-1.2914408626709524,-1.7122269995317259
-0.49146771792857236,0.16177092502268767,-0.9334126614871555,-1.6742230983358812
-0.3988021135534585,0.21026970720445518,-0.9334126614871555,-1.6362191971400366
-0.18737466908576617,-0.1776758484905178,-0.671896410187687,-1.5982152959441918
-0.18283507185644388,0.4208225060323193,-0.671896410187687,-1.5602113947483471
-0.42799957113192744,0.6914468963188475,-0.671896410187687,-1.5222074935525025
-0.47064465937549005,0.5752402577143931,-1.1326631386677033,-1.4842035923566577
-0.38787076449282065,0.9405289529401059,-0.9894518581941855,-1.446199691160813
-0.7714166809287241,0.8697461921196742,-0.9894518581941855,-1.4081957899649684
-0.6422792530445954,0.9793528959759257,-0.8804867534860732,-1.3701918887691236
-0.5328354194518499,0.44652570451287876,-0.7279356068947169,-1.332187987573279
-0.4575140912631391,0.2849832679521304,-0.7279356068947169,-1.2941840863774343
-0.43041713064834164,-0.0590229531573165,-0.7279356068947169,-1.2561801851815895
-0.2695902175660715,-0.2953419362631905,-0.8836000421920197,-1.2181762839857448
-0.23329625180193547,-0.2687526214110119,-0.8836000421920197,-1.1801723827899002
-0.13764623913763505,0.31765220855403875,-0.9769987033704004,-1.1421684815940554
-0.235039364960024,0.2596242614545774,-0.653216677952011,-1.1041645803982107
-0.05726606213128927,0.27003924771613724,-0.36990740571092,-1.0661606792023661
-0.01422601004235674,0.6230534034346811,-0.36990740571092,-1.0281567780065213
-0.3145006062441541,1.0986703891216842,-0.36990740571092,-0.9901528768106767
-0.6421145459380029,1.3441971936131376,-0.7185957407768785,-0.9521489756148319
-0.7948227873468179,1.2632614920982737,-0.7185957407768785,-0.9141450744189872
-0.6517281078276038,0.959192343132184,-0.6220837908925501,-0.8761411732231426
-0.4613846600691964,0.3974346002581913,-0.6220837908925501,-0.8381372720272978
-0.30104905396375875,-0.06675986258787371,-0.4508529120655179,-0.8001333708314531
-0.24279396412045498,0.6905840168889351,-0.43839975724173286,-0.7621294696356085
-0.5006141790006238,0.8990656601335603,-0.43839975724173286,-0.7241255684397637
-0.5458029249555061,0.941729088659972,-0.43839975724173286,-0.686121667243919
-0.480338140311652,0.39809510649105406,-0.48509908783092437,-0.6481177660480744
-0.3221744799105657,-0.18072941311759128,-0.48509908783092437,-0.6101138648522296
-0.26456257295480085,0.45020794695080696,-0.6501033892460656,-0.5721099636563849
-0.4548679155640288,0.882604851687368,-0.6501033892460656,-0.5341060624605403
-0.6036469094978458,1.0517598661007175,-0.7808615148957994,-0.49610216126469553
-0.5824687543236311,0.7536567291101569,-0.7808615148957994,-0.45809826006885085
-0.40671054401128437,0.5082833805297162,-0.4321731798298409,-0.4200943588730061
