Date,Tensao_Media_Atual_mbar,Chuva_Acumulada_3d_mm,Tmax_Futura_3d_C,Irrigacao_mm
2022-01-03,174.07246729766155,117.4,32.1,0.0
2022-01-04,287.4745593443668,117.60000000000001,31.7,0.0
2022-01-05,325.37485696491456,6.800000000000001,31.7,0.0
2022-01-06,331.6627496292387,7.000000000000001,33.2,0.0
2022-01-07,316.3067478156137,6.800000000000001,33.2,0.0
2022-01-08,329.0412215863832,0.6000000000000001,33.2,0.0
2022-01-09,331.30624191641317,0.4,31.6,6.486039999999996
2022-01-10,331.61658458187503,4.6000000000000005,32.6,0.0
2022-01-11,331.6567761162169,13.4,32.6,0.0
2022-01-12,331.66197672629585,13.4,32.6,0.0
2022-01-13,310.2018333514235,9.2,33.2,0.0
2022-01-14,327.98380535797577,16.0,33.2,0.0
2022-01-15,331.14661578541313,20.2,33.2,0.0
2022-01-16,301.6120898240127,70.2,32.7,0.0
2022-01-17,321.90760260880637,55.00000000000001,32.7,0.0
2022-01-18,268.2378241728692,51.2,33.0,0.0
2022-01-19,322.55561157346193,1.6,33.7,0.0
2022-01-20,330.4703595857025,0.9999999999999999,33.7,0.0
2022-01-21,331.5082320338787,0.6,33.7,10.345315280046664
2022-01-22,330.4724616121243,4.0,33.7,0.0
2022-01-23,331.45810522363126,4.8,33.7,0.0
2022-01-24,331.6335502047286,4.8,34.4,4.291844277645544
2022-01-25,331.6589246161705,1.2000000000000002,34.4,0.0
2022-01-26,331.66225471845434,11.4,34.4,0.0
2022-01-27,331.6626855939835,15.4,32.5,0.0
2022-01-28,318.97006538071935,29.8,30.8,0.0
2022-01-29,322.32609056851334,18.8,32.8,0.0
2022-01-30,296.3105992601028,15.4,33.0,0.0
2022-01-31,325.7432381162764,5.199999999999999,33.3,0.0
2022-02-01,330.84937616829325,6.3999999999999995,33.3,0.0
2022-02-02,331.5569286266005,5.8,33.3,6.501254215758427
2022-02-03,328.82722251158214,1.2,33.3,0.0
2022-02-04,331.1737612627134,0.0,33.3,0.0
2022-02-05,331.5929915780662,0.4,33.5,8.809434584373543
2022-02-06,329.8830672471826,7.800000000000001,33.5,0.0
2022-02-07,331.35586641583166,7.800000000000001,34.1,0.0
2022-02-08,329.0956512570526,12.600000000000001,34.1,3.2732472041208456
2022-02-09,331.22134151303385,8.8,34.1,0.0
2022-02-10,325.10411694179766,9.4,32.7,0.0
2022-02-11,329.4057664384731,5.6,33.1,2.5407030764797884
2022-02-12,331.33360419010046,3.4,33.1,0.0
2022-02-13,331.6194940126851,24.0,33.1,0.0
2022-02-14,331.65715259658907,29.8,33.1,0.0
2022-02-15,295.76142144092296,66.0,33.1,0.0
2022-02-16,310.0795564553406,95.8,33.1,0.0
2022-02-17,269.2369276090992,89.8,33.2,0.0
2022-02-18,266.94904748450097,68.4,33.2,0.0
2022-02-19,322.4771476761394,24.0,33.2,0.0
2022-02-20,297.70356922275835,26.599999999999998,33.4,0.0
2022-02-21,316.3656084431718,15.0,33.4,0.0
2022-02-22,329.27137145160475,14.6,33.4,0.0
2022-02-23,326.9733316105387,16.200000000000003,32.8,0.0
2022-02-24,322.4036501330077,16.2,32.8,0.0
2022-02-25,320.2820031026584,10.0,32.5,0.0
2022-02-26,320.6105350756757,6.8,32.6,0.0
2022-02-27,329.81736549405394,5.0,32.6,0.0
2022-02-28,331.4043075521498,12.8,32.6,0.0
2022-03-01,331.6289965081316,11.200000000000001,32.5,2.3076948724003126
2022-03-02,327.01173582885644,23.6,31.3,0.0
2022-03-03,330.8613309449891,15.799999999999999,31.6,0.0
2022-03-04,301.26145290935597,30.4,31.6,0.0
2022-03-05,326.5037057078996,15.6,32.6,0.0
2022-03-06,300.4198465258497,27.4,32.6,0.0
2022-03-07,326.4001775707893,12.8,33.2,0.0
2022-03-08,305.4323392831262,14.600000000000001,33.5,0.0
2022-03-09,327.2537739420688,39.0,33.5,0.0
2022-03-10,331.0505931061632,58.599999999999994,33.5,0.0
2022-03-11,269.5332536116506,57.0,33.1,0.0
2022-03-12,282.78959539233426,20.8,33.1,0.0
2022-03-13,323.950866216784,4.0,33.1,7.14998893288695
2022-03-14,330.6422859429226,3.4,33.1,0.0
2022-03-15,331.5305483842096,45.8,32.1,0.0
2022-03-16,331.64564167099684,42.8,33.1,0.0
2022-03-17,268.15416600758283,45.8,33.1,0.0
2022-03-18,322.44619274790045,34.599999999999994,33.1,0.0
2022-03-19,330.45594219983286,49.0,31.7,0.0
2022-03-20,278.812436203622,46.8,32.9,0.0
2022-03-21,280.8713142378793,28.400000000000002,32.9,0.0
2022-03-22,323.3206922870389,17.200000000000003,32.9,0.0
2022-03-23,307.6231102132758,28.8,32.0,0.0
2022-03-24,327.3846859448666,16.4,32.9,0.0
2022-03-25,302.1347447094306,13.0,33.0,0.0
2022-03-26,326.66956043853884,2.8000000000000003,33.0,0.0
2022-03-27,330.9865969445765,28.4,33.0,0.0
2022-03-28,331.5751831105853,149.2,32.2,0.0
2022-03-29,290.0715839365905,163.0,32.3,0.0
2022-03-30,266.3599941801581,138.0,32.3,0.0
2022-03-31,281.6588270105324,17.2,33.0,0.0
2022-04-01,323.52249521508435,7.2,34.0,0.0
2022-04-02,330.56258103023345,12.2,34.0,0.0
2022-04-03,331.51998889731124,31.8,34.0,3.408568834217572
2022-04-04,325.97079877599276,29.2,32.3,0.0
2022-04-05,289.0592043058412,24.0,32.3,0.0
2022-04-06,322.0546000877376,4.2,32.1,0.39506776813496725
2022-04-07,330.3978271508909,0.8,33.1,0.0
2022-04-08,331.49882602546086,7.8,33.1,0.0
2022-04-09,331.64153564685876,13.8,33.1,6.144520746392806
2022-04-10,328.6309710744075,16.8,32.8,0.0
2022-04-11,323.1268875720766,9.0,34.1,0.0
2022-04-12,330.20534422569926,12.2,34.1,4.27654742739685
2022-04-13,331.4565414519142,9.2,34.1,0.0
2022-04-14,317.4746191892852,9.2,33.7,0.0
2022-04-15,329.2209696957932,0.0,33.7,6.5857285880377265
2022-04-16,331.31766269438225,28.2,33.7,0.0
2022-04-17,331.6176317526539,28.599999999999998,33.2,0.0
2022-04-18,275.5791775134918,31.0,32.3,0.0
2022-04-19,323.2980727945401,4.0,32.3,0.0
2022-04-20,330.5536807292275,3.5999999999999996,33.9,0.0
2022-04-21,331.5190500095738,1.7999999999999998,33.9,8.500146119014662
2022-04-22,331.64415335646083,10.799999999999999,33.9,0.0
2022-04-23,331.6603434498055,10.799999999999999,32.7,0.0
2022-04-24,314.7948209322198,10.2,34.0,0.0
2022-04-25,328.7623675794935,0.0,34.0,0.0
2022-04-26,7.904110576260868e+30,0.0,34.7,0.0
2022-04-27,7.904110576260868e+30,0.0,34.7,0.0
2022-04-28,7.904110576260868e+30,0.0,34.7,0.0
2022-04-29,7.904110576260868e+30,0.0,34.1,0.0
2022-04-30,7.904110576260868e+30,0.0,34.7,0.0
2022-05-01,7.904110576260868e+30,0.0,34.9,0.0
2022-05-02,7.904110576260868e+30,0.0,34.9,0.0
2022-05-03,7.904110576260868e+30,20.4,34.9,0.0
2022-05-04,7.904110576260868e+30,24.599999999999998,33.6,0.0
2022-05-05,7.904110576260868e+30,24.599999999999998,34.0,0.0
2022-05-06,7.904110576260868e+30,5.6,34.0,0.0
2022-05-07,7.904110576260868e+30,1.4,34.0,0.0
2022-05-08,7.904110576260868e+30,1.4,32.9,0.0
2022-05-09,7.904110576260868e+30,0.0,33.2,0.0
2022-05-10,7.904110576260868e+30,0.0,33.2,0.0
2022-05-11,7.904110576260868e+30,0.0,33.6,0.0
