date,dap,tensao_solo_kpa,delta_tensao_kpa,chuva_acum_3d_mm,tmax_max_3d_c,IrrDay,Wr,z_root,classe_aquacrop4,classe_aquacrop3,classe_ensemble,consenso_pct,votos_ensemble
2022-06-14,14.0,13.30457497252982,0.0,4.03,28.63,0.0,119.32,0.5320118843955605,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-15,15.0,13.30457497252982,0.0,4.140000000000001,28.63,0.0,119.04,0.5485420518999732,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-16,16.0,15.626593094463383,2.322018121933562,4.15,28.63,0.0,118.19000000000001,0.5640852929521399,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-17,17.0,18.548464146886683,2.9218710524233007,0.12,29.55,0.0,120.65,0.5795736901286475,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-18,18.0,19.145353210210114,0.596889063323431,0.01,29.98,0.0,121.26,0.5949177006139302,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-19,19.0,21.22155837577104,2.076205165560925,0.02,29.98,0.0,123.58,0.6100043016578542,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-20,20.0,21.86217367276606,0.6406152969950192,0.15,29.98,0.0,124.36000000000001,0.6248617263845601,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-21,21.0,23.843990334842672,1.9818166620766142,0.43999999999999995,29.48,0.0,127.52,0.6387299114979231,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-22,22.0,23.481072797319754,-0.3629175375229181,0.44999999999999996,29.33,0.0,128.57999999999998,0.6529076263602793,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-23,23.0,25.102496026461157,1.6214232291414028,0.31999999999999995,29.31,0.0,131.75,0.6666228087542707,0,0,0,64.3,"{0: 9, 1: 3, 2: 2}"
2022-06-24,24.0,24.66919705557892,-0.43329897088223746,0.030000000000000054,29.76,0.0,132.72,0.6802842656017124,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-06-25,25.0,26.2794743554502,1.6102772998712815,0.0,29.76,0.0,133.57000000000002,0.6941643514480452,0,0,0,50.0,"{0: 7, 1: 5, 2: 2}"
2022-06-26,26.0,28.11307762118446,1.8336032657342578,0.0,29.76,0.0,136.57999999999998,0.706916395556174,0,0,0,50.0,"{0: 7, 1: 5, 2: 2}"
2022-06-27,27.0,27.558430387948462,-0.5546472332359969,0.0,29.71,0.0,137.33,0.7198803474574929,0,0,0,50.0,"{0: 7, 1: 5, 2: 2}"
2022-06-28,28.0,29.320835857267294,1.762405469318832,0.0,29.77,0.0,138.02,0.7327262334796318,0,0,0,50.0,"{0: 7, 1: 5, 2: 2}"
2022-06-29,29.0,31.192747568018728,1.8719117107514336,0.0,30.1,0.0,140.82999999999998,0.7456001933679565,0,0,0,50.0,"{0: 7, 1: 4, 2: 3}"
2022-06-30,30.0,30.778602728689886,-0.4141448393288414,0.010000000000000056,30.14,0.0,141.33999999999997,0.7585503686889835,0,0,0,50.0,"{0: 7, 1: 5, 2: 2}"
2022-07-01,31.0,32.89252181118804,2.1139190824981533,3.85,30.14,0.0,143.87,0.7714860344810351,0,0,0,42.9,"{0: 6, 1: 5, 2: 3}"
2022-07-02,32.0,32.759109755522424,-0.13341205566561598,5.51,30.14,0.0,144.51,0.784149962436135,0,0,0,42.9,"{0: 6, 1: 6, 2: 2}"
2022-07-03,33.0,34.70921090059005,1.9501011450676273,5.51,30.06,0.0,146.59,0.7967601212548724,0,0,0,42.9,"{0: 6, 1: 5, 2: 3}"
2022-07-04,34.0,34.99209938527317,0.2828884846831201,1.6700000000000004,30.06,0.0,146.54,0.8083625578921256,0,0,0,42.9,"{0: 6, 1: 6, 2: 2}"
2022-07-05,35.0,37.613924236478105,2.6218248512049342,0.010000000000000444,30.06,0.0,146.14000000000001,0.8200398034147507,0,0,0,35.7,"{0: 5, 2: 5, 1: 4}"
2022-07-06,36.0,40.88428656265098,3.2703623261728723,0.0,29.88,0.0,145.6,0.8319479063847325,0,0,2,42.9,"{0: 5, 2: 6, 1: 3}"
2022-07-07,37.0,44.6659387769267,3.7816522142757236,0.0,29.88,40.86502413206964,184.81,0.8435096080820598,3,2,2,42.9,"{0: 5, 2: 6, 1: 3}"
2022-07-08,38.0,14.913858107103021,-29.75208066982368,0.0,29.88,0.0,185.7,0.8554663634978401,0,0,0,100.0,{0: 14}
2022-07-09,39.0,15.6044775989605,0.6906194918574791,0.0,30.4,0.0,183.56,0.8666188754920364,0,0,0,71.4,"{0: 10, 1: 3, 2: 1}"
2022-07-10,40.0,17.591063575216292,1.9865859762557925,0.0,30.4,0.0,181.45,0.8776082429358841,0,0,0,64.3,"{0: 9, 1: 4, 2: 1}"
2022-07-11,41.0,19.79371113620135,2.2026475609850564,0.0,30.7,0.0,179.32,0.88901788845063,0,0,0,64.3,"{0: 9, 1: 4, 2: 1}"
2022-07-12,42.0,22.333446535569784,2.5397353993684355,0.0,31.26,0.0,177.24,0.9004329538253613,0,0,0,57.1,"{0: 8, 1: 5, 2: 1}"
2022-07-13,43.0,25.162203715566505,2.828757179996721,0.0,31.26,0.0,175.29,0.9120051838749358,0,0,0,50.0,"{0: 7, 1: 6, 2: 1}"
2022-07-14,44.0,28.26735149331899,3.105147777752485,0.0,31.26,0.0,173.8,0.9233775747567643,0,0,0,42.9,"{0: 6, 1: 5, 2: 3}"
2022-07-15,45.0,31.308628380837188,3.0412768875181975,0.0,31.01,0.0,172.47,0.934467013219244,0,0,0,42.9,"{0: 6, 1: 5, 2: 3}"
2022-07-16,46.0,34.45618146037719,3.1475530795399997,0.0,31.45,0.0,172.91,0.9452586388700438,0,0,1,42.9,"{0: 5, 1: 6, 2: 3}"
2022-07-17,47.0,35.99248996223937,1.5363085018621803,0.0,31.78,0.0,171.04,0.9558406596488234,0,0,1,50.0,"{1: 7, 0: 4, 2: 3}"
2022-07-18,48.0,40.075159111515475,4.082669149276107,0.040000000000000445,31.78,0.0,169.6,0.9665711018016799,0,0,2,42.9,"{0: 4, 2: 6, 1: 4}"
2022-07-19,49.0,44.103683997452734,4.028524885937259,0.040000000000000445,31.78,48.07579051944233,215.16,0.9774719564355371,3,2,2,42.9,"{0: 4, 2: 6, 1: 4}"
2022-07-20,50.0,14.578692903438146,-29.524991094014588,3.2300000000000004,31.57,0.0,215.91000000000003,0.9883386780398541,0,0,0,100.0,{0: 14}
2022-07-21,51.0,15.128062101620163,0.549369198182017,5.66,31.57,0.0,216.03,0.9984962538835949,0,0,0,64.3,"{0: 9, 1: 5}"
2022-07-22,52.0,15.85939355868042,0.7313314570602572,6.2700000000000005,31.49,0.0,212.24,1.000000000000001,0,0,0,64.3,"{0: 9, 1: 5}"
2022-07-23,53.0,17.41841064240081,1.5590170837203914,3.2000000000000006,32.04,0.0,207.70999999999998,1.000000000000001,0,0,0,50.0,"{0: 7, 1: 6, 2: 1}"
2022-07-24,54.0,19.35337563117828,1.9349649887774696,0.7400000000000004,32.16,0.0,203.14,1.000000000000001,0,0,0,50.0,"{0: 7, 1: 6, 2: 1}"
2022-07-25,55.0,21.574027799507224,2.220652168328943,0.13000000000000045,32.16,0.0,198.7,1.000000000000001,0,0,0,50.0,"{0: 7, 1: 6, 2: 1}"
2022-07-26,56.0,24.03208344373878,2.458055644231557,0.010000000000000444,32.16,0.0,194.17000000000002,1.000000000000001,0,0,0,50.0,"{0: 7, 1: 6, 2: 1}"
2022-07-27,57.0,26.896344373399007,2.864260929660226,0.0,31.86,0.0,189.7,1.000000000000001,0,0,1,50.0,"{0: 6, 1: 7, 2: 1}"
2022-07-28,58.0,30.13552531443567,3.2391809410366648,1.1500000000000004,32.53,0.0,185.8,1.000000000000001,0,0,1,71.4,"{1: 10, 0: 3, 2: 1}"
2022-07-29,59.0,33.35238013514847,3.2168548207128005,1.5600000000000003,32.53,38.84570957906175,220.57999999999998,1.000000000000001,3,2,1,64.3,"{1: 9, 0: 2, 2: 3}"
2022-07-30,60.0,14.430483017871506,-18.921897117276966,1.6400000000000003,32.53,0.0,216.64,1.000000000000001,0,0,0,100.0,{0: 14}
2022-07-31,61.0,15.757908175783893,1.327425157912387,4.4,31.29,0.0,216.74,1.000000000000001,0,0,0,64.3,"{0: 9, 1: 5}"
2022-08-01,62.0,15.722442130265371,-0.03546604551852184,5.62,31.29,0.0,214.55,1.000000000000001,0,0,0,64.3,"{0: 9, 1: 5}"
2022-08-02,63.0,16.521691784969843,0.7992496547044716,5.58,31.0,0.0,209.57,1.000000000000001,0,0,0,64.3,"{0: 9, 1: 5}"
2022-08-03,64.0,18.529048295634247,2.0073565106644047,1.7500000000000004,32.27,0.0,205.3,1.000000000000001,0,0,0,57.1,"{0: 8, 1: 6}"
2022-08-04,65.0,20.48818392233158,1.959135626697332,0.15000000000000044,32.27,0.0,201.3,1.000000000000001,0,0,0,50.0,"{0: 7, 1: 6, 2: 1}"
2022-08-05,66.0,22.55408841256199,2.065904490230409,0.22000000000000042,32.27,0.0,197.46,1.000000000000001,0,0,0,50.0,"{0: 7, 1: 7}"
2022-08-06,67.0,24.777965512909542,2.223877100347554,0.15000000000000044,33.12,0.0,192.89,1.000000000000001,0,0,1,57.1,"{0: 5, 1: 8, 2: 1}"
2022-08-07,68.0,27.77907851574108,3.001113002831538,0.12000000000000044,33.12,0.0,188.87,1.000000000000001,0,0,1,64.3,"{1: 9, 0: 4, 2: 1}"
2022-08-08,69.0,30.78766540181166,3.008586886070578,0.05000000000000045,34.16,0.0,183.94,1.000000000000001,0,0,1,71.4,"{1: 10, 0: 1, 2: 3}"
2022-08-09,70.0,35.03168685615908,4.244021454347418,0.08000000000000045,34.23,41.591480005229386,220.26,1.000000000000001,3,2,1,71.4,"{1: 10, 0: 1, 2: 3}"
