ID,Raio,Regras_Finais,R2
1,0.05001734693242436,116,0.7243205409565598
2,0.04852189146987943,116,0.7339092623517367
3,0.19316147626126232,42,0.5837653033789649
4,0.15625002406179256,53,0.6154341318848116
5,0.17738399784477477,43,0.5728112065367125
6,0.08440672556246623,91,0.7010512957813584
7,0.05377137963274214,114,0.7284787365918892
8,0.1403631943897772,58,0.6178134117536658
9,0.1986675577867473,42,0.5837653033789649
10,0.08195212772400302,94,0.6986739247658696
11,0.02429135851701788,140,0.7082126833736528
12,0.1189392968012839,66,0.6245979848435963
13,0.09455833414817177,83,0.6561798292026455
14,0.04368877213484717,120,0.7121310680684103
15,0.1924200669849636,42,0.5837653033789649
16,0.020647849242456343,146,0.7133495038401267
17,0.06455897695199941,107,0.7062819200370647
18,0.07424247263691774,102,0.7131304783110033
19,0.18741513939073354,43,0.5818495319164062
20,0.08558235853447543,90,0.7017030636243514
21,0.1891983539631302,42,0.5836805540394459
22,0.1326511488564902,60,0.62586716037214
23,0.17655056675077482,43,0.5728112065367125
24,0.14363272320289175,57,0.5636901305681609
25,0.07779708520802334,100,0.713186565675854
26,0.12686482281780675,65,0.614813494896141
27,0.0836924633011605,93,0.6993629982643456
28,0.13342770597040823,60,0.62586716037214
29,0.15335457566639607,54,0.5927952348745564
30,0.14498344066478785,56,0.5701339336893965
31,0.018779712826488968,148,0.7128827960776011
32,0.12191247951787282,66,0.6221248710751519
33,0.1335435371326653,60,0.62586716037214
34,0.19605193781543764,42,0.5837653033789649
35,0.09217438256201661,86,0.663863706405808
36,0.16305278325294362,50,0.6127924254956335
37,0.07969329462364949,96,0.7182055846804305
38,0.1916878251915356,42,0.5837653033789649
39,0.15836635828000015,51,0.6185959636559417
40,0.05795092746135136,113,0.711761003570461
41,0.15803486485773258,51,0.6185959636559417
42,0.0140474643789532,155,0.7212961514568218
43,0.0255031394581682,138,0.7064996897132814
44,0.17739574936665614,43,0.5728112065367125
45,0.16835452121047317,47,0.6184767427415081
46,0.036071445842493825,129,0.7155623208849096
47,0.03748393855374556,129,0.7155623208849096
48,0.07955204125606691,96,0.7182055846804305
49,0.19849740526071669,42,0.5837653033789649
50,0.010832666312633504,155,0.7194515491149593
51,0.1437375095898262,57,0.5636901305681609
52,0.13296235481019822,60,0.62586716037214
53,0.09327117089988042,85,0.652981554518774
54,0.13239041069073063,60,0.62586716037214
55,0.08282378508313433,94,0.6986826513917997
56,0.13344706016443528,60,0.62586716037214
57,0.06428398217559757,107,0.7062819200370647
58,0.1767054479471844,43,0.5728112065367125
59,0.07470329235340252,102,0.7170575076764785
60,0.13394009527366474,60,0.62586716037214
61,0.044749901942516594,118,0.732945821345285
62,0.18541252486436557,43,0.5818495319164062
63,0.037249229593698245,129,0.7155623208849096
64,0.1908856401879514,42,0.5837653033789649
65,0.1221791667090076,66,0.6221248710751519
66,0.08593440987590552,90,0.7017030636243514
67,0.18847368973107506,42,0.5836805540394459
68,0.03901580907197177,127,0.7116847801759558
69,0.14934150982510608,53,0.5840846642324117
70,0.19341049926554033,42,0.5837653033789649
71,0.06859440621314646,104,0.6927479185690839
72,0.15386976756660212,54,0.6139057961145525
73,0.018982681999503023,148,0.7128827960776011
74,0.12199927542701301,66,0.6221248710751519
75,0.11973428669902997,66,0.6245979848435963
76,0.16693764707424266,47,0.6184767427415081
77,0.04991859869369139,116,0.7243205409565598
78,0.1740620772287855,45,0.5946410539457869
79,0.033487879740926846,133,0.6939875464097314
80,0.025798864577330778,138,0.7012678915142325
81,0.13993902444093348,58,0.6178134117536658
82,0.1895497205922429,42,0.5836918884419183
83,0.029426682661646282,133,0.6933792912782744
84,0.13761308779839826,58,0.6178134117536658
85,0.11704324344126261,70,0.6229791458491767
86,0.18231698812055178,43,0.5818495319164062
87,0.0369085890638031,129,0.7155623208849096
88,0.07834610051808069,99,0.7098479402245592
89,0.03928584207754971,127,0.7116847801759558
90,0.06502076986581598,107,0.7066307228819824
91,0.07617076222041497,102,0.7170575076764785
92,0.11698507332795247,70,0.6229791458491767
93,0.04086661501089678,124,0.709738591285324
94,0.0684714254247346,104,0.6927479185690839
95,0.14250353182683392,58,0.6178134117536658
96,0.12487637041512112,66,0.6221248710751519
97,0.05103649913206354,115,0.7246397730249945
98,0.16981769646883832,47,0.6184767427415081
99,0.03382223644049217,131,0.6947927094882991
100,0.12952159478922087,61,0.6245601347301901
101,0.16677313019880813,47,0.6184767427415081
102,0.12733453401220995,64,0.6198273090881725
103,0.023454496060780337,140,0.7082126833736528
104,0.15344182105744755,54,0.5927952348745564
105,0.12482860709177945,66,0.6221248710751519
106,0.11139837739568147,73,0.6187718657059849
107,0.1956600984247904,42,0.5837653033789649
108,0.024155116118654674,140,0.7082126833736528
109,0.14665172727741452,54,0.5823995697873028
110,0.01272529669880057,155,0.7207313798941817
111,0.07675801573114441,101,0.7127067236979844
112,0.08265746008484479,94,0.6986826513917997
113,0.18751304044234476,43,0.5818495319164062
114,0.1726572540801337,45,0.5946410539457869
115,0.10520257041922525,75,0.6150836731337483
116,0.17599921661221646,44,0.6096402330467348
117,0.09132481415471227,87,0.6630527188639405
118,0.06595433798629062,107,0.7066307228819824
119,0.02853153985449825,133,0.6933792912782744
120,0.11452949479953166,71,0.6212482840601555
121,0.04602803430178803,118,0.7332049471354047
122,0.1813864261464542,42,0.5697575901029411
123,0.023870367158387546,140,0.7082126833736528
124,0.18200427907697794,43,0.581939550820662
125,0.04488464683168089,118,0.732945821345285
126,0.1430444163703234,58,0.6178134117536658
127,0.028614744218370694,133,0.6933792912782744
128,0.028563936501365655,133,0.6933792912782744
