Date,Tensao_Media_Atual_mbar,Chuva_Acumulada_3d_mm,Tmax_Futura_3d_C,Irrigacao_mm
2022-01-02,331.6627496292387,117.60000000000001,31.7,0.0
2022-01-03,331.6627496292387,6.800000000000001,31.7,0.0
2022-01-04,174.07246729766155,7.000000000000001,33.2,0.0
2022-01-05,287.4745593443668,6.800000000000001,33.2,0.0
2022-01-06,325.37485696491456,0.6000000000000001,33.2,0.0
2022-01-07,331.6627496292387,0.4,31.6,0.0
2022-01-08,316.3067478156137,4.6000000000000005,32.6,0.0
2022-01-09,329.0412215863832,13.4,32.6,6.486039999999996
2022-01-10,331.30624191641317,13.4,32.6,0.0
2022-01-11,331.61658458187503,9.2,33.2,0.0
2022-01-12,331.6567761162169,16.0,33.2,0.0
2022-01-13,331.66197672629585,20.2,33.2,0.0
2022-01-14,310.2018333514235,70.2,32.7,0.0
2022-01-15,327.98380535797577,55.00000000000001,32.7,0.0
2022-01-16,331.14661578541313,51.2,33.0,0.0
2022-01-17,301.6120898240127,1.6,33.7,0.0
2022-01-18,321.90760260880637,0.9999999999999999,33.7,0.0
2022-01-19,268.2378241728692,0.6,33.7,0.0
2022-01-20,322.55561157346193,4.0,33.7,0.0
2022-01-21,330.4703595857025,4.8,33.7,10.345315280046664
2022-01-22,331.5082320338787,4.8,34.4,0.0
2022-01-23,330.4724616121243,1.2000000000000002,34.4,0.0
2022-01-24,331.45810522363126,11.4,34.4,4.291844277645544
2022-01-25,331.6335502047286,15.4,32.5,0.0
2022-01-26,331.6589246161705,29.8,30.8,0.0
2022-01-27,331.66225471845434,18.8,32.8,0.0
2022-01-28,331.6626855939835,15.4,33.0,0.0
2022-01-29,318.97006538071935,5.199999999999999,33.3,0.0
2022-01-30,322.32609056851334,6.3999999999999995,33.3,0.0
2022-01-31,296.3105992601028,5.8,33.3,0.0
2022-02-01,325.7432381162764,1.2,33.3,0.0
2022-02-02,330.84937616829325,0.0,33.3,6.501254215758427
2022-02-03,331.5569286266005,0.4,33.5,0.0
2022-02-04,328.82722251158214,7.800000000000001,33.5,0.0
2022-02-05,331.1737612627134,7.800000000000001,34.1,8.809434584373543
2022-02-06,331.5929915780662,12.600000000000001,34.1,0.0
2022-02-07,329.8830672471826,8.8,34.1,0.0
2022-02-08,331.35586641583166,9.4,32.7,3.2732472041208456
2022-02-09,329.0956512570526,5.6,33.1,0.0
2022-02-10,331.22134151303385,3.4,33.1,0.0
2022-02-11,325.10411694179766,24.0,33.1,2.5407030764797884
2022-02-12,329.4057664384731,29.8,33.1,0.0
2022-02-13,331.33360419010046,66.0,33.1,0.0
2022-02-14,331.6194940126851,95.8,33.1,0.0
2022-02-15,331.65715259658907,89.8,33.2,0.0
2022-02-16,295.76142144092296,68.4,33.2,0.0
2022-02-17,310.0795564553406,24.0,33.2,0.0
2022-02-18,269.2369276090992,26.599999999999998,33.4,0.0
2022-02-19,266.94904748450097,15.0,33.4,0.0
2022-02-20,322.4771476761394,14.6,33.4,0.0
2022-02-21,297.70356922275835,16.200000000000003,32.8,0.0
2022-02-22,316.3656084431718,16.2,32.8,0.0
2022-02-23,329.27137145160475,10.0,32.5,0.0
2022-02-24,326.9733316105387,6.8,32.6,0.0
2022-02-25,322.4036501330077,5.0,32.6,0.0
2022-02-26,320.2820031026584,12.8,32.6,0.0
2022-02-27,320.6105350756757,11.200000000000001,32.5,0.0
2022-02-28,329.81736549405394,23.6,31.3,0.0
2022-03-01,331.4043075521498,15.799999999999999,31.6,2.3076948724003126
2022-03-02,331.6289965081316,30.4,31.6,0.0
2022-03-03,327.01173582885644,15.6,32.6,0.0
2022-03-04,330.8613309449891,27.4,32.6,0.0
2022-03-05,301.26145290935597,12.8,33.2,0.0
2022-03-06,326.5037057078996,14.600000000000001,33.5,0.0
2022-03-07,300.4198465258497,39.0,33.5,0.0
2022-03-08,326.4001775707893,58.599999999999994,33.5,0.0
2022-03-09,305.4323392831262,57.0,33.1,0.0
2022-03-10,327.2537739420688,20.8,33.1,0.0
2022-03-11,331.0505931061632,4.0,33.1,0.0
2022-03-12,269.5332536116506,3.4,33.1,0.0
2022-03-13,282.78959539233426,45.8,32.1,7.14998893288695
2022-03-14,323.950866216784,42.8,33.1,0.0
2022-03-15,330.6422859429226,45.8,33.1,0.0
2022-03-16,331.5305483842096,34.599999999999994,33.1,0.0
2022-03-17,331.64564167099684,49.0,31.7,0.0
2022-03-18,268.15416600758283,46.8,32.9,0.0
2022-03-19,322.44619274790045,28.400000000000002,32.9,0.0
2022-03-20,330.45594219983286,17.200000000000003,32.9,0.0
2022-03-21,278.812436203622,28.8,32.0,0.0
2022-03-22,280.8713142378793,16.4,32.9,0.0
2022-03-23,323.3206922870389,13.0,33.0,0.0
2022-03-24,307.6231102132758,2.8000000000000003,33.0,0.0
2022-03-25,327.3846859448666,28.4,33.0,0.0
2022-03-26,302.1347447094306,149.2,32.2,0.0
2022-03-27,326.66956043853884,163.0,32.3,0.0
2022-03-28,330.9865969445765,138.0,32.3,0.0
2022-03-29,331.5751831105853,17.2,33.0,0.0
2022-03-30,290.0715839365905,7.2,34.0,0.0
2022-03-31,266.3599941801581,12.2,34.0,0.0
2022-04-01,281.6588270105324,31.8,34.0,0.0
2022-04-02,323.52249521508435,29.2,32.3,0.0
2022-04-03,330.56258103023345,24.0,32.3,3.408568834217572
2022-04-04,331.51998889731124,4.2,32.1,0.0
2022-04-05,325.97079877599276,0.8,33.1,0.0
2022-04-06,289.0592043058412,7.8,33.1,0.39506776813496725
2022-04-07,322.0546000877376,13.8,33.1,0.0
