Date,Tensao_Media_Atual_kPa,Chuva_Acumulada_3d_mm,Tmax_Futura_3d_C,Irrigacao_mm
2022-01-02,33.16627496292387,117.60000000000001,31.7,0.0
2022-01-03,33.16627496292387,6.800000000000001,31.7,0.0
2022-01-04,17.407246729766154,7.000000000000001,33.2,0.0
2022-01-05,28.74745593443668,6.800000000000001,33.2,0.0
2022-01-06,32.53748569649146,0.6000000000000001,33.2,0.0
2022-01-07,33.16627496292387,0.4,31.6,0.0
2022-01-08,31.630674781561368,4.6000000000000005,32.6,0.0
2022-01-09,32.904122158638316,13.4,32.6,0.23776914092138401
2022-01-10,47.59405270263319,13.4,32.6,1.604280223055707
2022-01-11,47.60850904012587,9.2,33.2,0.0
2022-01-12,47.610380363975366,16.0,33.2,0.0
2022-01-13,47.6106225040279,20.2,33.2,0.0
2022-01-14,32.05261426991011,70.2,32.7,0.0
2022-01-15,32.92744877641627,55.00000000000001,32.7,0.0
2022-01-16,33.1294592272296,51.2,33.0,0.0
2022-01-17,30.153304895615815,1.6,33.7,0.0
2022-01-18,32.18961366362041,0.9999999999999999,33.7,0.0
2022-01-19,26.82375423476648,0.6,33.7,0.0
2022-01-20,32.255560405106166,4.0,33.7,0.0
2022-01-21,33.04703585955316,4.8,33.7,0.0
2022-01-22,33.150823190547726,4.8,34.4,0.0
2022-01-23,33.164275300495646,1.2000000000000002,34.4,0.0
2022-01-24,33.16601622515037,11.4,34.4,0.0
2022-01-25,33.166241485405926,15.4,32.5,0.755278127670086
2022-01-26,60.07273130570289,29.8,30.8,1.8647406358977112
2022-01-27,62.05504201770499,18.8,32.8,0.0
2022-01-28,62.05504201770499,15.4,33.0,0.0
2022-01-29,46.26313909625209,5.199999999999999,33.3,0.0
2022-01-30,42.42350634338461,6.3999999999999995,33.3,0.0
2022-01-31,29.6225023826705,5.8,33.3,0.0
2022-02-01,32.57323527023327,1.2,33.3,0.0
2022-02-02,33.084820672408924,0.0,33.3,0.0
2022-02-03,33.155678218989024,0.4,33.5,0.0
2022-02-04,33.164903699427086,7.800000000000001,33.5,0.0
2022-02-05,33.16609753572564,7.800000000000001,34.1,0.0
2022-02-06,33.166252006031016,12.600000000000001,34.1,0.0
2022-02-07,33.16627199259043,8.8,34.1,0.0
2022-02-08,33.16627457860007,9.4,32.7,0.0
2022-02-09,33.16627491319717,5.6,33.1,0.0
2022-02-10,33.16627495648987,3.4,33.1,0.0
2022-02-11,33.16627496209139,24.0,33.1,0.0
2022-02-12,33.166274962816146,29.8,33.1,0.23365236744339413
2022-02-13,62.05504201770499,66.0,33.1,1.3049492190161391
2022-02-14,62.05504201770499,95.8,33.1,0.0
2022-02-15,62.05504201770499,89.8,33.2,0.0
2022-02-16,29.948784098790682,68.4,33.2,0.0
2022-02-17,31.02488453992235,24.0,33.2,0.0
2022-02-18,26.923732786172117,26.599999999999998,33.4,0.0
2022-02-19,26.672405014382974,15.0,33.4,0.0
2022-02-20,32.247035558827804,14.6,33.4,0.0
2022-02-21,29.719920874711693,16.200000000000003,32.8,0.0
2022-02-22,31.6646569676346,16.2,32.8,0.0
2022-02-23,32.96794509956292,10.0,32.5,0.0
2022-02-24,32.59929058050087,6.8,32.6,0.0
2022-02-25,32.19892040217926,5.0,32.6,0.0
2022-02-26,32.011310763756065,12.8,32.6,0.0
2022-02-27,32.05736982106927,11.200000000000001,32.5,0.0
2022-02-28,33.00605616149595,23.6,31.3,0.0
2022-03-01,33.14550076672721,15.799999999999999,31.6,0.0
2022-03-02,33.163586307525904,30.4,31.6,0.0
2022-03-03,33.16592707247784,15.6,32.6,0.0
2022-03-04,33.16622995007894,27.4,32.6,0.0
2022-03-05,30.38542407016608,12.8,33.2,0.0
2022-03-06,32.69247715025081,14.600000000000001,33.5,0.0
2022-03-07,30.044811771428186,39.0,33.5,0.0
2022-03-08,32.721258375501094,58.599999999999994,33.5,0.0
2022-03-09,30.34235709757867,57.0,33.1,0.0
2022-03-10,32.749130097286,20.8,33.1,0.0
2022-03-11,33.11180537252737,4.0,33.1,0.0
2022-03-12,27.0150545961824,3.4,33.1,0.0
2022-03-13,28.280298287190824,45.8,32.1,0.0
2022-03-14,32.489885327998934,42.8,33.1,0.0
2022-03-15,33.07797598525987,45.8,33.1,0.0
2022-03-16,33.15483698849016,34.599999999999994,33.1,0.0
2022-03-17,33.16479481202214,49.0,31.7,0.0
2022-03-18,26.87754796313789,46.8,32.9,0.0
2022-03-19,32.27735253801261,28.400000000000002,32.9,0.0
2022-03-20,33.04990419121701,17.200000000000003,32.9,0.0
2022-03-21,28.01606724896203,28.8,32.0,0.0
2022-03-22,28.090556261456285,16.4,32.9,0.0
2022-03-23,32.43164140431206,13.0,33.0,0.0
2022-03-24,30.5864867987409,2.8000000000000003,33.0,0.0
2022-03-25,32.72865533816943,28.4,33.0,0.0
2022-03-26,30.21275080738827,149.2,32.2,0.0
2022-03-27,32.744050088133704,163.0,32.3,0.0
2022-03-28,33.11132173471747,138.0,32.3,0.0
2022-03-29,33.1591592791539,17.2,33.0,0.0
2022-03-30,28.910549258125325,7.2,34.0,0.0
2022-03-31,26.634534051136377,12.2,34.0,0.0
2022-04-01,28.13401158135676,31.8,34.0,0.0
2022-04-02,32.34637645120288,29.2,32.3,0.0
2022-04-03,33.05905350079014,24.0,32.3,0.0
2022-04-04,33.15238265701612,4.2,32.1,0.0
2022-04-05,33.164477151858954,0.8,33.1,0.0
2022-04-06,29.374356220622637,7.8,33.1,0.0
2022-04-07,32.24375117502094,13.8,33.1,0.0
