tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap,classe_irrigacao,irr_mm,ano,cenario
747.0959682095363,22.4,33.0,14,0,0.0,2019,cenario3_excesso_v3
469.0596921485455,2.4000000000000004,33.1,15,0,0.0,2019,cenario3_excesso_v3
644.4165957370307,1.6,33.9,16,1,3.1902979983286306,2019,cenario3_excesso_v3
667.1202208316219,0.0,34.3,17,3,7.682241303493457,2019,cenario3_excesso_v3
618.1918598840642,0.0,34.3,18,3,7.887892535158999,2019,cenario3_excesso_v3
523.5323038461353,0.0,34.3,19,3,8.151629860218645,2019,cenario3_excesso_v3
482.5120922288449,0.0,34.2,20,3,8.050609078159079,2019,cenario3_excesso_v3
412.7034124931972,0.0,34.7,21,3,8.252938331718852,2019,cenario3_excesso_v3
383.7663583902778,0.0,34.7,22,3,8.661793664008943,2019,cenario3_excesso_v3
357.1120608182403,0.0,34.7,23,3,8.955032847297712,2019,cenario3_excesso_v3
309.12200163921904,0.0,35.1,24,3,8.60590805507657,2019,cenario3_excesso_v3
288.05398420138124,0.0,35.1,25,3,9.218438497356312,2019,cenario3_excesso_v3
268.51185507469444,0.2,35.1,26,4,9.425754017410448,2019,cenario3_excesso_v3
249.635877505312,0.2,34.0,27,3,8.946776188282218,2019,cenario3_excesso_v3
217.15582672472004,0.2,35.2,28,3,7.302487018263531,2019,cenario3_excesso_v3
203.541412461956,3.8,35.2,29,3,7.975825741949103,2019,cenario3_excesso_v3
191.06173841208735,3.8,35.2,30,3,8.653658986264501,2019,cenario3_excesso_v3
179.4370502148716,3.8,35.2,31,2,6.049551040070548,2019,cenario3_excesso_v3
168.4998009075164,0.0,35.2,32,3,9.306543790932421,2019,cenario3_excesso_v3
148.76165063258273,0.0,35.2,33,4,10.064644236540632,2019,cenario3_excesso_v3
139.90024157276278,0.0,34.6,34,3,9.31280092952055,2019,cenario3_excesso_v3
131.24818608333658,0.0,34.6,35,4,9.658132073573217,2019,cenario3_excesso_v3
123.40901738826102,0.0,34.6,36,4,10.463025042308567,2019,cenario3_excesso_v3
116.2912511135696,0.0,34.0,37,4,10.20138537220129,2019,cenario3_excesso_v3
109.78482415976781,0.0,34.2,38,4,10.600155649258852,2019,cenario3_excesso_v3
103.79790699069997,0.0,34.2,39,4,10.681344470295024,2019,cenario3_excesso_v3
98.17318944948951,0.0,34.2,40,4,11.114075971707045,2019,cenario3_excesso_v3
87.82199984146988,0.0,34.2,41,4,10.702213690692181,2019,cenario3_excesso_v3
83.13026439525962,0.0,34.5,42,4,11.142672724487385,2019,cenario3_excesso_v3
78.71669904387687,0.0,34.5,43,4,11.106256551176097,2019,cenario3_excesso_v3
74.37114208908811,0.0,34.5,44,4,11.538090241656748,2019,cenario3_excesso_v3
70.40103716946548,0.0,34.4,45,4,11.711133862355727,2019,cenario3_excesso_v3
66.76762103677886,0.0,34.5,46,4,10.658473178923817,2019,cenario3_excesso_v3
63.42102524040993,0.0,34.5,47,4,10.984693699992642,2019,cenario3_excesso_v3
60.31913880528305,0.0,34.5,48,4,11.87609048381393,2019,cenario3_excesso_v3
57.38418727012897,0.0,34.3,49,4,11.871643252609696,2019,cenario3_excesso_v3
54.57994977392029,0.0,34.3,50,4,12.148452741609377,2019,cenario3_excesso_v3
51.93917482736377,0.0,34.3,51,4,12.908402080743087,2019,cenario3_excesso_v3
49.42737816474388,0.0,34.7,52,4,12.10999420811233,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.1,53,4,12.690055978809585,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.1,54,4,12.68975710041944,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.1,55,4,13.071088710815607,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.1,56,4,12.814221386467292,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.6,57,4,12.721076337715271,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.6,58,4,12.399531731045064,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.6,59,4,13.191413892786889,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.4,60,4,12.698435103450901,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.4,61,4,12.948231017956227,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.4,62,4,13.052751653069855,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.0,63,4,11.96870477146999,2019,cenario3_excesso_v3
47.060491985210405,24.6,35.0,64,4,12.569363718437184,2019,cenario3_excesso_v3
47.060491985210405,24.8,32.5,65,4,9.357093110125376,2019,cenario3_excesso_v3
47.060491985210405,24.8,32.5,66,0,0.0,2019,cenario3_excesso_v3
35.25155432417243,0.2,33.2,67,0,0.0,2019,cenario3_excesso_v3
44.94361272666417,0.0,34.1,68,3,8.549321376460455,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.1,69,4,11.348715535483429,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.1,70,4,12.077487610706111,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.1,71,4,11.87181932892847,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.1,72,4,11.471069325031536,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.1,73,4,12.406522059236073,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.0,74,4,12.001425086051626,2019,cenario3_excesso_v3
47.060491985210405,0.0,33.9,75,4,11.087848547649203,2019,cenario3_excesso_v3
47.060491985210405,0.0,33.9,76,4,11.248184787903485,2019,cenario3_excesso_v3
47.060491985210405,0.0,33.9,77,4,12.402853303572767,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.4,78,4,12.473088919521535,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.4,79,4,12.041460057594353,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.5,80,4,12.643975227532684,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.3,81,4,12.484868520182967,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.0,82,4,12.789588659489048,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.0,83,4,13.091334679492808,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.0,84,4,14.033120450211067,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.8,85,4,13.052653961017825,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.1,86,4,12.91589408003622,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.1,87,4,13.050709119115668,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.1,88,4,13.880144650517293,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.0,89,4,14.152437583952976,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.1,90,4,13.190427071473604,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.1,91,4,12.557271158731979,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.1,92,4,13.31914306196107,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.2,93,4,12.904450631321419,2019,cenario3_excesso_v3
47.060491985210405,0.0,34.7,94,4,11.998384253906273,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.0,95,4,12.287731132584238,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.4,96,4,11.843211799705388,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.0,97,4,12.692681150971454,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.7,98,4,12.730376395468651,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.7,99,4,12.925684659731303,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.7,100,4,13.545860619584763,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.6,101,4,12.74441119390242,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.6,102,4,12.253328072534718,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.6,103,4,11.80414507306721,2019,cenario3_excesso_v3
47.060491985210405,0.0,35.9,104,4,11.347684094614614,2019,cenario3_excesso_v3
47.060491985210405,0.0,36.5,105,4,11.084323120686282,2019,cenario3_excesso_v3
47.060491985210405,0.0,37.0,106,4,11.717882568452467,2019,cenario3_excesso_v3
47.060491985210405,0.0,37.0,107,4,11.348044519587033,2019,cenario3_excesso_v3
943.8504032133353,2.0,34.5,14,2,5.74027375839287,2020,cenario3_excesso_v3
866.4414692686531,2.6,34.5,15,2,6.081666892610518,2020,cenario3_excesso_v3
730.3344569056219,2.6,34.2,16,2,5.1182413216833345,2020,cenario3_excesso_v3
672.2653850214581,0.6,34.6,17,2,6.001968643952298,2020,cenario3_excesso_v3
618.6839181556036,0.0,35.0,18,3,6.3758303166087344,2020,cenario3_excesso_v3
523.5323038461353,0.0,35.0,19,3,6.274942501429941,2020,cenario3_excesso_v3
482.5120922288449,9.0,35.0,20,3,6.329757920749988,2020,cenario3_excesso_v3
412.7034124931972,9.0,33.9,21,3,6.520392877139035,2020,cenario3_excesso_v3
383.7663583902778,9.2,33.0,22,0,0.0,2020,cenario3_excesso_v3
347.98750810273145,0.4,33.0,23,1,3.2826004622664655,2020,cenario3_excesso_v3
308.90870358655525,2.4,33.4,24,3,6.730043305536796,2020,cenario3_excesso_v3
288.05398420138124,2.1999999999999997,33.4,25,3,6.938672527865475,2020,cenario3_excesso_v3
268.51185507469444,2.0,33.4,26,2,5.923235955942393,2020,cenario3_excesso_v3
249.635877505312,0.0,33.4,27,3,7.2012107668619505,2020,cenario3_excesso_v3
217.15582672472004,0.0,34.1,28,3,7.573300159439434,2020,cenario3_excesso_v3
203.541412461956,0.0,34.2,29,3,7.635686200992821,2020,cenario3_excesso_v3
191.06173841208735,0.0,34.5,30,3,8.239515486127955,2020,cenario3_excesso_v3
179.4370502148716,0.0,34.5,31,3,8.659945032010514,2020,cenario3_excesso_v3
168.4998009075164,0.0,34.5,32,3,9.179034554312292,2020,cenario3_excesso_v3
148.76165063258273,0.0,34.6,33,3,8.753963574194918,2020,cenario3_excesso_v3
139.90024157276278,0.0,34.7,34,4,9.685930376561412,2020,cenario3_excesso_v3
131.24818608333658,0.0,34.7,35,4,10.466831062441464,2020,cenario3_excesso_v3
123.40901738826102,0.0,34.7,36,4,10.605251336373835,2020,cenario3_excesso_v3
116.2912511135696,0.0,34.7,37,4,10.279333163911495,2020,cenario3_excesso_v3
109.78482415976781,0.0,34.7,38,4,10.363933402735467,2020,cenario3_excesso_v3
103.79790699069997,0.0,34.7,39,4,10.926373373428802,2020,cenario3_excesso_v3
98.17318944948951,0.0,34.5,40,4,10.879207821425263,2020,cenario3_excesso_v3
87.82199984146988,0.0,34.5,41,4,11.608579765971273,2020,cenario3_excesso_v3
83.13026439525962,0.0,34.5,42,4,12.04930907969489,2020,cenario3_excesso_v3
78.71669904387687,0.0,34.5,43,4,11.305001421346814,2020,cenario3_excesso_v3
74.37114208908811,0.0,34.3,44,4,11.721296183485736,2020,cenario3_excesso_v3
70.40103716946548,0.0,34.3,45,4,11.43583751247392,2020,cenario3_excesso_v3
66.76762103677886,0.0,34.3,46,4,11.511047345782524,2020,cenario3_excesso_v3
