tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap,classe_irrigacao,irr_mm,ano,cenario
100.67560334999719,0.0,34.4,78,1,5.232066779761311,2019,cenario1_otimo_v5
100.67560334999719,0.0,34.4,79,1,5.066357576891861,2019,cenario1_otimo_v5
100.67560334999719,0.0,34.5,80,1,5.306561805608812,2019,cenario1_otimo_v5
100.67560334999719,0.0,35.3,81,1,5.2480805832268365,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.0,82,1,5.37143266287378,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.0,83,1,5.493498022782862,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.0,84,2,5.864311573489492,2019,cenario1_otimo_v5
100.67560334999719,0.0,34.8,85,1,5.486658392867442,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.1,86,1,5.437245989016751,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.1,87,1,5.494291832427954,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.1,88,2,5.822792576189185,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.0,89,2,5.9373102815586005,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.1,90,2,5.570376974289454,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.1,91,1,5.330022550647329,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.1,92,2,5.639747492204306,2019,cenario1_otimo_v5
100.67560334999719,0.0,35.2,93,1,5.486625340892239,2019,cenario1_otimo_v5
100.67560334999719,0.0,34.7,94,1,5.137699326981327,2019,cenario1_otimo_v5
100.67560334999719,0.0,35.0,95,1,5.264060542104055,2019,cenario1_otimo_v5
100.67560334999719,0.0,35.4,96,1,5.098449113983869,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.0,97,1,5.450242183952402,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.7,98,1,5.479433495350914,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.7,99,2,5.572645507785385,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.7,100,2,5.835985522297591,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.6,101,1,5.535816057182039,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.6,102,1,5.3588707165464875,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.6,103,1,5.199163101298074,2019,cenario1_otimo_v5
100.67560334999719,0.0,35.9,104,1,5.037097603013491,2019,cenario1_otimo_v5
100.67560334999719,0.0,36.5,105,1,4.955371647891972,2019,cenario1_otimo_v5
100.67560334999719,0.0,37.0,106,1,5.245700291335023,2019,cenario1_otimo_v5
100.67560334999719,0.0,37.0,107,1,5.1276190003983295,2019,cenario1_otimo_v5
1500.0,2.0,34.5,14,1,4.3731372723030315,2020,cenario1_otimo_v5
1500.0,2.6,34.5,15,1,4.837226024862417,2020,cenario1_otimo_v5
1500.0,2.6,34.2,16,1,4.3421550383181895,2020,cenario1_otimo_v5
1435.3492579590923,0.6,34.6,17,1,5.184667275787513,2020,cenario1_otimo_v5
1322.9234256882294,0.0,35.0,18,1,5.143186422187976,2020,cenario1_otimo_v5
1105.7089164451302,0.0,35.0,19,1,4.747383263286514,2020,cenario1_otimo_v5
1011.7478985439814,9.0,35.0,20,1,4.361870387265316,2020,cenario1_otimo_v5
862.3902086833929,9.0,33.9,21,1,4.665042325651001,2020,cenario1_otimo_v5
809.3593974002383,9.2,33.0,22,0,0.0,2020,cenario1_otimo_v5
718.7231450001387,0.4,33.0,23,1,1.3134966543274276,2020,cenario1_otimo_v5
657.7659122516523,2.4,33.4,24,1,5.191869029532697,2020,cenario1_otimo_v5
615.7386293567805,2.1999999999999997,33.4,25,1,5.357856257226906,2020,cenario1_otimo_v5
574.4222356359412,2.0,33.4,26,1,4.1702439365861865,2020,cenario1_otimo_v5
528.1866639740381,0.0,33.4,27,1,4.436129355548893,2020,cenario1_otimo_v5
454.35584212363716,0.0,34.1,28,1,4.605177432058982,2020,cenario1_otimo_v5
427.6820460899176,0.0,34.2,29,1,4.75041382399424,2020,cenario1_otimo_v5
404.19625390394253,0.0,34.5,30,1,5.2234733796286505,2020,cenario1_otimo_v5
381.83384842439193,0.0,34.5,31,1,5.526922245472616,2020,cenario1_otimo_v5
359.7901411467654,0.0,34.5,32,2,5.760437501140149,2020,cenario1_otimo_v5
318.1324571174797,0.0,34.6,33,1,5.50368681349524,2020,cenario1_otimo_v5
299.2858900322282,0.0,34.7,34,1,5.433991867430046,2020,cenario1_otimo_v5
278.07618744765057,0.0,34.7,35,1,5.321750222342029,2020,cenario1_otimo_v5
260.0329879404036,0.0,34.7,36,1,5.128153900962652,2020,cenario1_otimo_v5
244.82668184546648,0.0,34.7,37,1,4.977454749849192,2020,cenario1_otimo_v5
231.95803049010087,0.0,34.7,38,1,5.140358589680574,2020,cenario1_otimo_v5
220.3208057153278,0.0,34.7,39,1,5.527778276766501,2020,cenario1_otimo_v5
209.2464156804223,0.0,34.5,40,2,5.6308808291806836,2020,cenario1_otimo_v5
187.6919002951266,0.0,34.5,41,2,5.994214357841018,2020,cenario1_otimo_v5
177.83897217368042,0.0,34.5,42,2,6.148535761701935,2020,cenario1_otimo_v5
168.39711689484622,0.0,34.5,43,1,5.494155867234372,2020,cenario1_otimo_v5
157.73770140330544,0.0,34.3,44,1,5.313282597187433,2020,cenario1_otimo_v5
148.58496921376616,0.0,34.3,45,1,5.066432337762674,2020,cenario1_otimo_v5
140.80684988708373,0.0,34.3,46,1,5.138109900986165,2020,cenario1_otimo_v5
134.17568061745607,0.0,34.3,47,1,5.542516863141008,2020,cenario1_otimo_v5
128.13849329943574,0.0,34.3,48,2,5.68581141016818,2020,cenario1_otimo_v5
