tensao_solo_kpa,chuva_acum_3d_mm,tmax_max_3d_c,dap,delta_tensao_kpa,classe_irrigacao,IrrDay,year,janela,cenario,grupo_id
22.511898397065025,1.34,29.97,14.0,0.0,0,0.0,2001,chuva,excesso,1
22.511898397065025,3.6500000000000004,30.62,15.0,0.0,0,0.0,2001,chuva,excesso,1
24.24757203477324,10.209999999999999,30.62,16.0,1.7356736377082136,0,0.0,2001,chuva,excesso,1
20.06009178605178,11.79,30.62,17.0,-4.18748024872146,0,0.0,2001,chuva,excesso,1
20.519670598638047,12.079999999999998,29.93,18.0,0.459578812586269,0,0.0,2001,chuva,excesso,1
20.139414621528235,12.259999999999998,28.52,19.0,-0.38025597710981174,0,0.0,2001,chuva,excesso,1
18.164278498919735,12.479999999999999,30.0,20.0,-1.9751361226085002,0,0.0,2001,chuva,excesso,1
17.569867877019007,18.08,30.0,21.0,-0.5944106219007281,0,0.0,2001,chuva,excesso,1
15.326080810764779,13.259999999999998,30.56,22.0,-2.243787066254228,0,0.0,2001,chuva,excesso,1
15.932666222887661,12.159999999999997,30.62,23.0,0.6065854121228824,0,0.0,2001,chuva,excesso,1
17.408851235175664,11.889999999999997,30.7,24.0,1.4761850122880027,0,0.0,2001,chuva,excesso,1
14.31502129566665,17.889999999999997,30.83,25.0,-3.093829939509014,0,0.0,2001,chuva,excesso,1
12.889727992265712,50.94,30.83,26.0,-1.425293303400938,0,0.0,2001,chuva,excesso,1
6.645026271597686,55.199999999999996,30.83,27.0,-6.244701720668026,0,0.0,2001,chuva,excesso,1
10.436707044587985,81.10999999999999,27.98,28.0,3.791680772990299,0,0.0,2001,chuva,excesso,1
7.1270370697195125,60.45999999999999,27.98,29.0,-3.3096699748684726,0,0.0,2001,chuva,excesso,1
9.75318501525552,58.17999999999999,29.67,30.0,2.6261479455360073,0,0.0,2001,chuva,excesso,1
11.376972472702112,37.44999999999999,29.67,31.0,1.6237874574465927,0,0.0,2001,chuva,excesso,1
10.944940224149443,29.059999999999995,30.01,32.0,-0.43203224855266953,0,0.0,2001,chuva,excesso,1
13.37495275268356,20.01999999999999,30.01,33.0,2.4300125285341174,0,0.0,2001,chuva,excesso,1
15.456699514834447,7.569999999999993,30.52,34.0,2.081746762150887,0,0.0,2001,chuva,excesso,1
17.615297748852168,4.329999999999993,31.22,35.0,2.1585982340177203,0,0.0,2001,chuva,excesso,1
18.742469725704787,17.679999999999993,31.22,36.0,1.127171976852619,0,0.0,2001,chuva,excesso,1
14.5120189542444,24.279999999999994,31.22,37.0,-4.2304507714603865,0,0.0,2001,chuva,excesso,1
12.921259392035081,22.069999999999993,30.65,38.0,-1.5907595622093194,0,0.0,2001,chuva,excesso,1
15.387548953646144,16.129999999999995,29.12,39.0,2.466289561611063,0,0.0,2001,chuva,excesso,1
14.20656247100103,15.869999999999994,29.53,40.0,-1.180986482645114,0,0.0,2001,chuva,excesso,1
13.648751209087408,20.389999999999993,29.53,41.0,-0.5578112619136224,0,0.0,2001,chuva,excesso,1
14.268825139034076,34.769999999999996,29.53,42.0,0.6200739299466687,0,0.0,2001,chuva,excesso,1
9.682443643492274,68.76999999999998,29.1,43.0,-4.5863814955418025,0,0.0,2001,chuva,excesso,1
7.107686309423656,68.97,29.1,44.0,-2.574757334068618,0,0.0,2001,chuva,excesso,1
12.706341671696915,53.23,29.1,45.0,5.598655362273259,0,0.0,2001,chuva,excesso,1
13.41367121141685,18.249999999999986,29.55,46.0,0.7073295397199342,0,0.0,2001,chuva,excesso,1
13.665910477821754,14.839999999999986,29.55,47.0,0.2522392664049047,0,0.0,2001,chuva,excesso,1
14.94691480391575,8.369999999999985,29.55,48.0,1.2810043260939956,0,0.0,2001,chuva,excesso,1
16.2672006161576,4.809999999999986,29.28,49.0,1.320285812241849,0,0.0,2001,chuva,excesso,1
